date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,87179070782.58,2.0782,,,,,2.2370,,,,,2.2199,,,,,17.6393,,,,,0.0533,16.5861,,,,
2026-07-02,87000644522.28,2.0740,,,,,2.2324,,,,,2.2153,,,,,17.6031,,,,,0.0534,16.5521,,,,
2026-07-01,85591077065.91,2.0404,,,,,2.1963,,,,,2.1794,,,,,17.3179,,,,,0.0542,16.2840,,,,
2026-06-30,84520519504.11,2.0149,,,,,2.1688,,,,,2.1522,,,,,17.1013,,,,,0.0549,16.0803,,,,
2026-06-29,86590264123.59,2.0642,,,,,2.2219,,,,,2.2049,,,,,17.5201,,,,,0.0536,16.4741,,,,
2026-06-26,83860342341.0,1.9991,,,,,2.1519,,,,,2.1354,,,,,16.9678,,,,,0.0554,15.9547,,,,
2026-06-25,84127981731.45,2.0055,,,,,2.1587,,,,,2.1422,,,,,17.0219,,,,,0.0552,16.0056,,,,
2026-06-24,84984427780.89,2.0259,,,,,2.1807,,,,,2.1640,,,,,17.1952,,,,,0.0546,16.1686,,,,
2026-06-23,86590264123.59,2.0642,,,,,2.2219,,,,,2.2049,,,,,17.5201,,,,,0.0536,16.4741,,,,
2026-06-22,86822218261.98,2.0697,,,,,2.2279,,,,,2.2108,,,,,17.5670,,,,,0.0535,16.5182,,,,
2026-06-18,86411837863.29,2.0600,,,,,2.2173,,,,,2.2003,,,,,17.4840,,,,,0.0537,16.4401,,,,
2026-06-17,87268283912.73,2.0804,,,,,2.2393,,,,,2.2222,,,,,17.6573,,,,,0.0532,16.6031,,,,
2026-06-16,88160415214.23,2.1016,,,,,2.2622,,,,,2.2449,,,,,17.8378,,,,,0.0527,16.7728,,,,
2026-06-15,89480769540.45,2.1331,,,,,2.2961,,,,,2.2785,,,,,18.1050,,,,,0.0519,17.0240,,,,
2026-06-12,90283687711.8,2.1523,,,,,2.3167,,,,,2.2989,,,,,18.2674,,,,,0.0514,17.1768,,,,
2026-06-11,90194474581.65,2.1501,,,,,2.3144,,,,,2.2967,,,,,18.2494,,,,,0.0515,17.1598,,,,
2026-06-10,89462926914.42,2.1327,,,,,2.2956,,,,,2.2780,,,,,18.1014,,,,,0.0519,17.0206,,,,
2026-06-09,88178257840.26,2.1021,,,,,2.2627,,,,,2.2453,,,,,17.8414,,,,,0.0527,16.7762,,,,
2026-06-08,88320998848.5,2.1055,,,,,2.2663,,,,,2.2490,,,,,17.8703,,,,,0.0526,16.8033,,,,
2026-06-05,87089857652.43,2.0761,,,,,2.2347,,,,,2.2176,,,,,17.6212,,,,,0.0533,16.5691,,,,
2026-06-04,86715162505.8,2.0672,,,,,2.2251,,,,,2.2081,,,,,17.5454,,,,,0.0535,16.4978,,,,
2026-06-03,87696506937.45,2.0906,,,,,2.2503,,,,,2.2331,,,,,17.7439,,,,,0.0529,16.6845,,,,
2026-06-02,88249628344.38,2.1038,,,,,2.2645,,,,,2.2471,,,,,17.8559,,,,,0.0526,16.7898,,,,
2026-06-01,88891962881.46,2.1191,,,,,2.2810,,,,,2.2635,,,,,17.9858,,,,,0.0522,16.9120,,,,
2026-05-29,89106074393.82,2.1242,,,,,2.2865,,,,,2.2689,,,,,18.0291,,,,,0.0521,16.9527,,,,
2026-05-28,87107700278.46,2.0765,,,,,2.2352,,,,,2.2181,,,,,17.6248,,,,,0.0533,16.5725,,,,
2026-05-27,88731379247.19,2.1153,,,,,2.2768,,,,,2.2594,,,,,17.9533,,,,,0.0523,16.8814,,,,
2026-05-26,87161228156.55,2.0778,,,,,2.2366,,,,,2.2194,,,,,17.6356,,,,,0.0533,16.5827,,,,
2026-05-25,88267470970.41,2.1042,,,,,2.2649,,,,,2.2476,,,,,17.8595,,,,,0.0526,16.7932,,,,
2026-05-22,88856277629.4,2.1182,,,,,2.2801,,,,,2.2626,,,,,17.9786,,,,,0.0522,16.9052,,,,
2026-05-21,89445084288.39,2.1323,,,,,2.2952,,,,,2.2776,,,,,18.0977,,,,,0.0519,17.0172,,,,
2026-05-20,90604854980.34,2.1599,,,,,2.3249,,,,,2.3071,,,,,18.3324,,,,,0.0512,17.2379,,,,
2026-05-19,90783281240.64,2.1642,,,,,2.3295,,,,,2.3117,,,,,18.3685,,,,,0.0511,17.2718,,,,
2026-05-18,90747595988.58,2.1633,,,,,2.3286,,,,,2.3107,,,,,18.3613,,,,,0.0512,17.2650,,,,
2026-05-15,90818966492.7,2.1650,,,,,2.3304,,,,,2.3126,,,,,18.3757,,,,,0.0511,17.2786,,,,
2026-05-14,91889524054.5,2.1905,,,,,2.3579,,,,,2.3398,,,,,18.5923,,,,,0.0505,17.4823,,,,
2026-05-13,92157163444.95,2.1969,,,,,2.3648,,,,,2.3466,,,,,18.6465,,,,,0.0504,17.5332,,,,
2026-05-12,92442645461.43,2.2037,,,,,2.3721,,,,,2.3539,,,,,18.7042,,,,,0.0502,17.5875,,,,
2026-05-11,93887898169.86,2.2382,,,,,2.4092,,,,,2.3907,,,,,18.9967,,,,,0.0494,17.8625,,,,
2026-05-08,93887898169.86,2.2382,,,,,2.4092,,,,,2.3907,,,,,18.9967,,,,,0.0494,17.8625,,,,
2026-05-07,93852212917.8,2.2373,,,,,2.4082,,,,,2.3898,,,,,18.9895,,,,,0.0495,17.8557,,,,
2026-05-06,93941426047.95,2.2395,,,,,2.4105,,,,,2.3921,,,,,19.0075,,,,,0.0494,17.8727,,,,
2026-04-30,94655131089.15,2.2565,,,,,2.4288,,,,,2.4102,,,,,19.1519,,,,,0.0490,18.0084,,,,
2026-04-29,97474266001.89,2.3666,,,,,2.4526,,,,,2.4342,,,,,20.0376,,,,,0.0476,18.9142,,,,
2026-04-28,97848961148.52,2.3757,,,,,2.4620,,,,,2.4435,,,,,20.1146,,,,,0.0474,18.9869,,,,
2026-04-27,96867616716.87,2.3519,,,,,2.4373,,,,,2.4190,,,,,19.9129,,,,,0.0479,18.7965,,,,
