date,metric,value
2026-03-31,流动负债合计,1598214522
2026-03-31,净利润率,0.1262
2026-03-31,所有者权益合计,42169643419
2026-03-31,毛利率(GM),0.2929
2026-03-31,负债合计,14287585059
2026-03-31,有息负债率,0.0057
2026-03-31,速动比率,2.2501
2026-03-31,基本每股收益,1.14
2026-03-31,总资产收益率(ROA),0.0956
2026-03-31,货币资金,97884646400.58
2026-03-31,净资产收益率(ROE),0.1276
2026-03-31,营业收入,11602596895
2026-03-31,长期负债合计,86569401
2026-03-31,归属于母公司普通股股东的净利润,2037306990
2026-03-31,经营活动产生的现金流量净额,829016119
2026-03-31,资本回报率(ROIC),0.1274
2026-03-31,资产负债率,0.2531
2026-03-31,应收账款,11919208586
2026-03-31,流动资产合计,0
2026-03-31,流动比率,2.7421
2026-03-31,自由现金流量,4225970381
2026-03-31,资产合计,56457228478
2026-03-31,经营活动产生的现金流量净额对净利润的比率,0.8908
