date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,2037306990,0.0531,11602596895,1.14
2025-12-31,5153486839,0.0851,41186999090,2.89
2025-09-30,4777119657,0.1041,30654214209,2.68
2025-06-30,3632911303,0.1393,21257102896,2.04
2025-03-31,1934639585,0.1367,10841237721,1.08
2024-12-31,4749415500,0.1602,40033300815,2.66
2024-09-30,4326728068,0.0493,29915155070,2.42
2024-06-30,3188829903,0.1276,20455286288,1.79
2024-03-31,1701931446,0.1212,10774290921,0.95
2023-12-31,4093782074,0.3641,39111292156,2.29
2023-09-30,4123477414,0.789,29688532074,2.31
2023-06-30,2828011615,0.8847,20309372850,1.58
2023-03-31,1517988357,0.6601,10512750996,0.85
2022-12-31,3001125887,0.07,36488372650,1.9
2022-09-30,2304896295,-0.0594,26915689707,1.53
2022-06-30,1500494604,-0.1672,18016738609,1.1
2022-03-31,914368241,0.1981,9429539929,0.71
2021-12-31,2803621557,-0.4917,36373919016,2.21
2021-09-30,2450534048,-0.4238,28362522490,1.92
2021-06-30,1801667011,-0.2657,19083116729,1.41
2021-03-31,763157801,-0.4048,10327715582,0.6
2020-12-31,5516072179,0.3185,32742766764,4.32
2020-09-30,4252918292,0.2008,23931064092,3.33
2020-06-30,2453671221,0.092,15493464941,1.92
2020-03-31,1282090210,-0.3448,7743346885,1
2019-12-31,4183727553,0.1975,29664673869,3.28
2019-09-30,3541872761,0.0746,21646165513,2.77
2019-06-30,2247004753,0.0859,13897383378,2.16
2019-03-31,846304198,0.0497,6973436529,0.81
2018-12-31,3306564317,0.0514,26708213488,3.18
2018-09-30,2732153730,0.0488,19723663129,2.62
2018-06-30,1633063580,0.0435,12973588155,1.57
2018-03-31,806245260,0.1118,6337444218,0.77
2017-12-31,3144981430,0.0771,24314614044,3.02
2017-09-30,2605028868,0.1039,18007792023,2.5
2017-06-30,1565049363,0.1275,11960320334,1.5
2017-03-31,725141944,0.166,5908715880,0.7
2016-12-31,2919876813,0.0538,22410654404,2.8
2016-09-30,2359847913,0.1016,16287679739,2.27
