date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,87179070782.58,2.2199,,,,,16.5861,,,,,2.0782,,,,,17.6393,,,,,0.0533,2.2370,,,,
2026-07-02,87000644522.28,2.2153,,,,,16.5521,,,,,2.0740,,,,,17.6031,,,,,0.0534,2.2324,,,,
2026-07-01,85591077065.91,2.1794,,,,,16.2840,,,,,2.0404,,,,,17.3179,,,,,0.0542,2.1963,,,,
2026-06-30,84520519504.11,2.1522,,,,,16.0803,,,,,2.0149,,,,,17.1013,,,,,0.0549,2.1688,,,,
2026-06-29,86590264123.59,2.2049,,,,,16.4741,,,,,2.0642,,,,,17.5201,,,,,0.0536,2.2219,,,,
2026-06-26,83860342341.0,2.1354,,,,,15.9547,,,,,1.9991,,,,,16.9678,,,,,0.0554,2.1519,,,,
2026-06-25,84127981731.45,2.1422,,,,,16.0056,,,,,2.0055,,,,,17.0219,,,,,0.0552,2.1587,,,,
2026-06-24,84984427780.89,2.1640,,,,,16.1686,,,,,2.0259,,,,,17.1952,,,,,0.0546,2.1807,,,,
2026-06-23,86590264123.59,2.2049,,,,,16.4741,,,,,2.0642,,,,,17.5201,,,,,0.0536,2.2219,,,,
2026-06-22,86822218261.98,2.2108,,,,,16.5182,,,,,2.0697,,,,,17.5670,,,,,0.0535,2.2279,,,,
2026-06-18,86411837863.29,2.2003,,,,,16.4401,,,,,2.0600,,,,,17.4840,,,,,0.0537,2.2173,,,,
2026-06-17,87268283912.73,2.2222,,,,,16.6031,,,,,2.0804,,,,,17.6573,,,,,0.0532,2.2393,,,,
2026-06-16,88160415214.23,2.2449,,,,,16.7728,,,,,2.1016,,,,,17.8378,,,,,0.0527,2.2622,,,,
2026-06-15,89480769540.45,2.2785,,,,,17.0240,,,,,2.1331,,,,,18.1050,,,,,0.0519,2.2961,,,,
2026-06-12,90283687711.8,2.2989,,,,,17.1768,,,,,2.1523,,,,,18.2674,,,,,0.0514,2.3167,,,,
2026-06-11,90194474581.65,2.2967,,,,,17.1598,,,,,2.1501,,,,,18.2494,,,,,0.0515,2.3144,,,,
2026-06-10,89462926914.42,2.2780,,,,,17.0206,,,,,2.1327,,,,,18.1014,,,,,0.0519,2.2956,,,,
2026-06-09,88178257840.26,2.2453,,,,,16.7762,,,,,2.1021,,,,,17.8414,,,,,0.0527,2.2627,,,,
2026-06-08,88320998848.5,2.2490,,,,,16.8033,,,,,2.1055,,,,,17.8703,,,,,0.0526,2.2663,,,,
