date,流动负债合计,速动比率,所有者权益合计,有息负债率,资产合计,货币资金,负债合计,长期负债合计,资产负债率,流动资产合计,流动比率,应收账款
2026-03-31,1598214522,2.2501,42169643419,0.0057,56457228478,97884646400.58,14287585059,86569401,0.2531,0,2.7421,11919208586
2025-12-31,1505826938,2.1232,40147500828,0.009,54268581132,101274745346.28,14121080303,86569401,0.2602,0,2.6403,10160059223
2025-09-30,2073196426,2.2422,39817873611,0.0054,53343484721,101256902720.25,13525611111,2100000,0.2536,0,2.7314,10255633036
2025-06-30,1607722043,2.263,40500973636,0.0055,54535490704,99544010621.37,14034517068,2100000,0.2573,0,2.7373,10513898708
2025-03-31,1732926055,2.388,40794969166,0.0059,54253026318,101346115850.4,13458057152,2100000,0.2481,0,2.8951,10923656862
2024-12-31,1916123387,2.1428,38866084562,0.0133,52914181333,106966543049.85,14048096771,2100000,0.2655,0,2.6559,9923361104
2024-09-30,2490782806,2.2312,40543386551,0.0149,55612519130,108840018783,15069132579,2100000,0.271,0,2.6899,10319212966
2024-06-30,1762470306,2.1842,39390167781,0.0259,54367545232,91265032143.45,14977377452,2100000,0.2755,0,2.6405,10105457471
2024-03-31,1744645111,2.3109,41603517155,0.0346,56874351095,91280617489.2,15270833941,2100000,0.2685,0,2.7658,11580081130
2023-12-31,1739865229,2.3207,39905360382,0.0371,53784293184,88315794283.35,13878932802,2100000,0.258,0,2.851,9966170447
2023-09-30,1462134202,2.2793,39887462624,0.0321,53332349176,95772773861.7,13444886553,2100000,0.2521,0,2.8757,9757053744
2023-06-30,1553057007,2.1995,38596434418,0.0345,51926448675,94299346571.52,13330014257,2100000,0.2567,0,2.8032,9663208605
2023-03-31,1912780348,2.1702,40052108942,0.0407,54732796774,98288381430.3,14680687832,2100000,0.2682,0,2.7315,9825131914
2022-12-31,2578264621,2.0018,38526997262,0.0419,53320943869,97677448163.64,14793946607,2100000,0.2775,0,2.6314,9089822152
2022-09-30,1676579295,1.9757,37913264599,0.0401,51684483476,94065754440.15,13771218876,85100000,0.2664,0,2.718,7998432089
2022-06-30,1263997779,2.0494,37189881357,0.0439,49901223329,108486910024.02,12711341972,85100000,0.2547,0,2.8219,7769684781
2022-03-31,1545486005,2.0835,39480662422,0.0431,53119993188,104658974939.68,13639330765,105100000,0.2568,0,2.8408,8075660363
2021-12-31,2398213123,2.8772,38433817846,0.0398,52292765646,133861668631.6,13858947801,89600000,0.265,0,3.5778,7184433954
2021-09-30,614485391,2.8812,38154829645,0.0414,52233707941,125086790018.96,14078878297,66600000,0.2695,0,3.5576,6640354616
2021-06-30,737414635,3.0694,37247624199,0.0324,49600280370,147821111843.24,12352656171,66600000,0.249,0,3.9008,5775282677
2021-03-31,1069422601,2.8239,39296709629,0.028,53797491345,153939873731.67,14500781716,66600000,0.2695,0,3.5918,5918580877
2020-12-31,2076079331,2.4177,38344020411,0.0529,55219448243,145113016811.2,16875427832,36600000,0.3056,0,3.1504,3554161411
2020-09-30,422802072,2.9313,38502012827,0.041,52161285723,130244042507.2,13659272895,43600000,0.2619,0,4.0675,2814607639
2020-06-30,764153421,3.0364,36496682499,0.0436,48813554255,119833205449.2,12316871756,43600000,0.2523,0,4.2515,2462294683
2020-03-31,567291876,3.3351,39339542763,0.0395,51555555783,109281854026,12216013020,3600000,0.2369,0,4.563,2679802563
2019-12-31,0,3.3675,38099907837,0.0185,49658049119,114238178907.6,11558141282,3600000,0.2328,0,4.6493,2037970725
2019-09-30,0,2.664,37555757495,0.0183,49437882495,97146522486,11882125000,3600000,0.2403,0,3.8483,1910449813
2019-06-30,0,2.6913,35955889417,0.019,47628858674,86873564642.4,11672969257,3600000,0.2451,0,3.8138,2186357378
2019-03-31,0,1.711,20881753377,0.0584,30869900033,89039676060,9988146657,2500000,0.3236,0,2.8339,2583036839
2018-12-31,0,1.6382,19922489464,0.0593,30377590085,77021923291.2,10455100621,2500000,0.3442,0,2.6784,1853377809
2018-09-30,0,2.0162,19338587367,0.0617,29206608286,73137502335.6,9868020919,2500000,0.3379,0,3.3689,2012797715
2018-06-30,0,2.2039,19789586753,0.0608,29592361118,111388114051.2,9802774365,2500000,0.3313,0,3.4515,1767108589
2018-03-31,0,2.1661,18953706117,0.0629,28606248561,103098572280,9652542444,2500000,0.3374,0,3.4093,1549253580
2017-12-31,0,2.1294,18142917483,0.065,27702530540,106004077498.8,9559613057,2500000,0.3451,0,3.3363,1233810339
2017-09-30,0,2.1292,17606902432,0.0678,26685400632,94454954604,9078498200,2500000,0.3402,0,3.4111,1509679145
2017-06-30,0,2.2786,17398584485,0.0695,26042482296,97735363722,8643897811,2500000,0.3319,0,3.5314,1152438019
2017-03-31,0,2.1927,16561389413,0.0716,25265687462,88643944166.4,8704298049,2500000,0.3445,0,3.393,1239742819
2016-12-31,0,2.1803,15843526625,0.0737,24586646034,79302588678,8743119409,6100000,0.3556,0,3.2768,1012036372
2016-09-30,0,2.4015,15264930419,0.0797,22839421142,72096102615.6,7574490722,6100000,0.3316,0,3.6607,1644287394
