date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.6924,93457000000,15350000000,-0.58
2025-12-31,1.883,114611000000,118689000000,0.3489
2025-09-30,1.415,99543000000,95796000000,0.1825
2025-06-30,1.467,89283000000,74845000000,0.0685
2025-03-31,1.4457,87629000000,36549000000,0.1024
2024-12-31,1.5218,84071000000,87990000000,0.2472
2024-09-30,1.673,84296000000,81011000000,0.27
2024-06-30,2.2942,77518000000,70044000000,0.1689
2024-03-31,2.2741,59294000000,33154000000,-0.1955
2023-12-31,2.2421,67274000000,70549000000,-0.008
2023-09-30,2.8768,77234000000,63789000000,0.2225
2023-06-30,2.2568,75998000000,59921000000,0.2119
2023-03-31,2.3451,83281000000,41213000000,0.7514
2022-12-31,2.0874,65539000000,71651000000,133.1779
2022-09-30,2.2398,75222000000,52471000000,0.1179
2022-06-30,2.3058,70790000000,49705000000,0.0279
2022-03-31,2.5159,69804000000,23618000000,0.0181
2021-12-31,2.3767,69570000000,72731000000,114.0807
2021-09-30,2.0062,57567000000,46936000000,1.8297
2021-06-30,1.7895,51465000000,48355000000,1.4632
2021-03-31,1.6469,43244000000,23198000000,10.8056
2020-12-31,1.1271,20453000000,31867000000,-0.1342
2020-09-30,1.3337,26390000000,16587000000,0.0133
2020-06-30,1.6306,39512000000,19631000000,0.7456
2020-03-31,1.5079,44113000000,1965000000,1.1691
2019-12-31,1.1613,31910000000,36808000000,3.1906
2019-09-30,0.9383,25320000000,16369000000,1.534
2019-06-30,0.7068,13387000000,11246000000,1.4535
2019-03-31,0.0938,-2636000000,-11621000000,0.6016
2018-12-31,-0.8617,-21556000000,-16803000000,-25.8848
2018-09-30,-1.2221,-28692000000,-30655000000,-2.8502
2018-06-30,,,-24799000000,
2018-03-31,,,-30324000000,
2017-12-31,-0.0852,-4896000000,-2025000000,-1.085
2017-09-30,,,-7962000000,
2016-12-31,1.1456,20511000000,23831000000,0.1658
