date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,320623931726.75,0.0303,0.4851,,,,,1.0040,,,,,1.0040,,,,,7.3554,,,,,7.5244,,,,
2026-07-02,319297212009.26,0.0305,0.4831,,,,,0.9998,,,,,0.9998,,,,,7.3250,,,,,7.4933,,,,
2026-07-01,320623931726.75,0.0303,0.4851,,,,,1.0040,,,,,1.0040,,,,,7.3554,,,,,7.5244,,,,
2026-06-30,298954176341.08,0.0325,0.4523,,,,,0.9361,,,,,0.9361,,,,,6.8583,,,,,7.0159,,,,
2026-06-29,309567934081.0,0.0314,0.4683,,,,,0.9694,,,,,0.9694,,,,,7.1018,,,,,7.2650,,,,
2026-06-26,305587774928.53,0.0318,0.4623,,,,,0.9569,,,,,0.9569,,,,,7.0105,,,,,7.1716,,,,
2026-06-25,319297212009.26,0.0305,0.4831,,,,,0.9998,,,,,0.9998,,,,,7.3250,,,,,7.4933,,,,
2026-06-24,306472254740.19,0.0317,0.4637,,,,,0.9597,,,,,0.9597,,,,,7.0308,,,,,7.1923,,,,
2026-06-23,310010173986.83,0.0314,0.4690,,,,,0.9707,,,,,0.9707,,,,,7.1120,,,,,7.2754,,,,
2026-06-22,314874812950.96,0.0309,0.4764,,,,,0.9860,,,,,0.9860,,,,,7.2236,,,,,7.3895,,,,
2026-06-18,294089537376.95,0.0331,0.4449,,,,,0.9209,,,,,0.9209,,,,,6.7467,,,,,6.9017,,,,
2026-06-17,309567934081.0,0.0314,0.4683,,,,,0.9694,,,,,0.9694,,,,,7.1018,,,,,7.2650,,,,
2026-06-16,307356734551.8501,0.0317,0.4650,,,,,0.9624,,,,,0.9624,,,,,7.0511,,,,,7.2131,,,,
2026-06-15,316643772574.28,0.0307,0.4790,,,,,0.9915,,,,,0.9915,,,,,7.2641,,,,,7.4310,,,,
2026-06-12,310452413892.66,0.0313,0.4697,,,,,0.9721,,,,,0.9721,,,,,7.1221,,,,,7.2857,,,,
2026-06-11,297627456623.59,0.0327,0.4503,,,,,0.9320,,,,,0.9320,,,,,6.8279,,,,,6.9848,,,,
2026-06-10,299838656152.74,0.0324,0.4536,,,,,0.9389,,,,,0.9389,,,,,6.8786,,,,,7.0366,,,,
2026-06-09,292320577753.63,0.0333,0.4422,,,,,0.9153,,,,,0.9153,,,,,6.7061,,,,,6.8602,,,,
2026-06-08,288782658506.99,0.0337,0.4369,,,,,0.9043,,,,,0.9043,,,,,6.6250,,,,,6.7772,,,,
