date,内含价值(EV),新业务价值(NBV)
2026-03-31,,
2025-12-31,159518000000.0,15616000000.0
2025-09-30,,
2025-06-30,166223000000.0,8815000000.0
2025-03-31,,
2024-12-31,149848000000.0,11537000000.0
2024-09-30,,
2024-06-30,155118000000.0,6960000000.0
2024-03-31,,
2023-12-31,123965000000.0,6490000000.0
2023-09-30,,
2023-06-30,135829000000.0,3845000000.0
2023-03-31,,
2022-12-31,122011000000.0,3704000000.0
2022-09-30,,
2022-06-30,130169000000.0,2347000000.0
2022-03-31,,
2021-12-31,127607000000.0,3992000000.0
2021-09-30,,
2021-06-30,125459000000.0,3123000000.0
2021-03-31,,
2020-12-31,117244000000.0,6132000000.0
2020-09-30,,
2020-06-30,113430000000.0,4559000000.0
2020-03-31,,
2019-12-31,100518000000.0,6791000000.0
2019-09-30,,
2019-06-30,92887000000.0,4194000000.0
2019-03-31,,
2018-12-31,79321000000.0,6242000000.0
2018-09-30,,
2018-06-30,,
2018-03-31,,
2017-12-31,69740000000.0,
2017-09-30,,
2016-12-31,64676000000.0,
