date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-06-02,422323682874.24,1.8598,0.5825,5.9530,1.1102,0.7369,5.1038,0.9641,3.9874,2.8203,2.1662,17.4855,0.2149,56.5114,29.6356,17.0150,0.0145
2026-06-01,394083193441.9201,1.7354,0.5644,5.9672,1.1102,0.7369,4.7625,0.9352,3.9874,2.8203,2.1662,16.3163,0.1757,56.5551,29.6915,17.0150,0.0155
2026-05-29,396008681357.76,1.7439,0.5651,6.0109,1.1113,0.7369,4.7858,0.9373,3.9874,2.8217,2.1662,16.3960,0.1793,57.0071,29.7420,17.0377,0.0155
2026-05-28,402213031308.8,1.7712,0.5682,6.0109,1.1108,0.7369,4.8607,0.9468,3.9863,2.8210,2.1662,16.6529,0.1872,57.0071,29.7420,17.0409,0.0152
2026-05-27,413338072600.32,1.8202,0.5734,6.0109,1.1102,0.7369,4.9952,0.9592,3.9863,2.8203,2.1662,17.1135,0.2026,57.0071,29.7420,17.0409,0.0148
2026-05-26,436229984488.64,1.9210,0.5924,6.0116,1.1102,0.7369,4.9088,0.9509,3.9848,2.8203,2.1662,18.0613,0.2323,57.0071,29.7420,17.0409,0.0140
2026-05-25,413765958803.84,1.8221,0.5738,6.0401,1.1102,0.7369,4.6561,0.9262,3.9834,2.8203,2.1662,17.1312,0.2030,57.1357,29.7925,17.0409,0.0148
2026-05-22,396436567561.28,1.7458,0.5662,6.0401,1.1102,0.7369,4.4611,0.8952,3.9811,2.8201,2.1662,16.4137,0.1795,57.1357,29.8177,17.0409,0.0154
2026-05-21,377395631504.64,1.6619,0.5574,6.0535,1.1102,0.7369,4.2468,0.8534,3.9811,2.8199,2.1662,15.6253,0.1449,57.2446,29.8430,17.0409,0.0162
2026-05-20,384241810760.96,1.6921,0.5613,6.0535,1.1102,0.7369,4.3238,0.8691,3.9793,2.8188,2.1662,15.9088,0.1561,57.2446,29.8430,17.0409,0.0159
2026-05-19,388948558999.68,1.7128,0.5624,6.0535,1.1102,0.7369,4.3768,0.8789,3.9781,2.8177,2.1662,16.1037,0.1665,57.2446,29.8430,17.0820,0.0157
2026-05-18,391729819322.56,1.7251,0.5635,6.0535,1.1102,0.7369,4.4081,0.8851,3.9771,2.8170,2.1662,16.2188,0.1707,57.2446,29.8682,17.0820,0.0156
2026-05-15,403924576122.88,1.7788,0.5682,6.0535,1.1101,0.7369,4.5453,0.9074,3.9761,2.8162,2.1662,16.7237,0.1886,57.2446,29.8935,17.0820,0.0151
2026-05-14,428955919028.8,1.8890,0.5871,6.0693,1.1099,0.7367,4.8270,0.9425,3.9761,2.8161,2.1636,17.7601,0.2218,57.4390,29.9187,17.0820,0.0143
