date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,21907443675,11329218827,7.623,1.085
2025-12-31,13260351082,20843060709,-0.3564,0.8675
2025-09-30,26058590644,15864160180,-0.082,1.381
2025-06-30,28687703472,12008668320,0.114,1.7719
2025-03-31,24710996268,1313844804,-0.7602,1.6092
2024-12-31,27672516035,32386655542,1.0838,2.0949
2024-09-30,13852966054,17280881607,0.711,1.4401
2024-06-30,7605037013,10779292190,0.2302,1.2326
2024-03-31,4898933252,5477822705,0.1798,1.5465
2023-12-31,3015140527,15542003496,0.0057,1.8219
2023-09-30,1490452599,10099780928,-0.0653,4.5521
2023-06-30,2497443380,8761937140,0.0306,5.2576
2023-03-31,9608504559,4643002835,5.2278,3.798
2022-12-31,4984039142,15453761073,1.4963,2.1488
2022-09-30,7017173819,10805720900,3.2969,1.9473
2022-06-30,6721489614,8501505218,5.4471,1.8042
2022-03-31,-2615779468,-1098206575,-1.4273,0.4144
2021-12-31,1930255098,6190648052,-0.271,1.1406
2021-09-30,-6998924053,2514763641,-0.7397,0.2701
2021-06-30,-2220101201,1318661760,-0.6898,1.29
2021-03-31,-2515716760,2569906911,-0.5635,1.5761
2020-12-31,984770244,8492453630,3.9814,3.4263
2020-09-30,7325740140,9660164870,5.8874,4.3402
2020-06-30,1019311663,4251397721,0.9066,1.8683
2020-03-31,4419122129,5887743222,11.3597,3.6859
2019-12-31,-989377167,1704827884,-0.9998,0.9654
2019-09-30,-473391657,1402583365,-0.8289,1.6011
2019-06-30,3320058249,2229813555,-0.588,2.6921
2019-03-31,4356688586,476366544,-0.8148,2.0676
2018-12-31,6670796603,9434533590,0.1193,1.8319
2018-09-30,9098638155,8195409000,0.4463,1.8285
2018-06-30,8813037555,5411708000,0.5545,1.7777
2018-03-31,8411066904,2571731500,0.8019,2.1499
2017-12-31,7389326255,8428811928,1.8917,2.3442
2017-09-30,6556220838,5666456300,5.5466,2.8241
2017-06-30,4789382017,3481411500,5.5078,3.1059
2017-03-31,3166113033,1427245428,4.3898,2.165
2016-12-31,2089864420,2914826436,1.1452,2.8598
2016-09-30,147373140,865557630,-0.4834,0.8155
2016-06-30,137311932,534957516,-0.5718,0.84
