日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2025-12-10,=28.2100,=28.2100,=28.2100,=28.2100,=1340820001888.64,=84347900000.0,=84347900000.0,,=0.0451
2025-12-09,=28.2200,=28.2200,=28.2200,=28.2200,=1341295301428.48,=84377800000.0,=84377800000.0,,=0.0450
2025-12-08,=28.5400,=28.5400,=28.5400,=28.5400,=1356504886703.36,=85334600000.0,=85334600000.0,,=0.0445
2025-12-05,=28.9400,=28.9400,=28.9400,=28.9400,=1375516868296.96,=86530600000.0,=86530600000.0,,=0.0439
2025-12-04,=29.0800,=29.0800,=29.0800,=29.0800,=1382171061854.72,=86949200000.0,=86949200000.0,,=0.0437
2025-12-03,=28.7200,=28.7200,=28.7200,=28.7200,=1365060278420.48,=85872800000.0,=85872800000.0,,=0.0443
2025-12-02,=28.7600,=28.7600,=28.7600,=28.7600,=1366961476579.84,=85992400000.0,=85992400000.0,,=0.0442
2025-12-01,=28.4800,=28.4800,=28.4800,=28.4800,=1353653089464.32,=85155200000.0,=85155200000.0,,=0.0446
2025-11-28,=27.7900,=27.7900,=27.7900,=27.7900,=1320857421215.36,=83092100000.0,=83092100000.0,,=0.0457
2025-11-27,=28.0800,=28.0800,=28.0800,=28.0800,=1334641107870.72,=83959200000.0,=83959200000.0,,=0.0453
2025-11-26,=27.8100,=27.8100,=27.8100,=27.8100,=1321808020295.04,=83151900000.0,=83151900000.0,,=0.0457
2025-11-25,=28.1600,=28.1600,=28.1600,=28.1600,=1338443504189.44,=84198400000.0,=84198400000.0,,=0.0451
2025-11-24,=28.0000,=28.0000,=28.0000,=28.0000,=1330838711552.0,=83720000000.0,=83720000000.0,,=0.0454
2025-11-21,=28.9100,=28.9100,=28.9100,=28.9100,=1374090969677.44,=86440900000.0,=86440900000.0,,=0.0440
2025-11-20,=29.2000,=29.2000,=29.2000,=29.2000,=1387874656332.8,=87308000000.0,=87308000000.0,,=0.0435
2025-11-19,=29.5200,=29.5200,=29.5200,=29.5200,=1403084241607.68,=88264800000.0,=88264800000.0,,=0.0431
2025-11-18,=28.5800,=28.5800,=28.5800,=28.5800,=1358406084862.72,=85454200000.0,=85454200000.0,,=0.0445
2025-11-17,=28.9600,=28.9600,=28.9600,=28.9600,=1376467467376.64,=86590400000.0,=86590400000.0,,=0.0439
2025-11-14,=29.0200,=29.0200,=29.0200,=29.0200,=1379319264615.68,=86769800000.0,=86769800000.0,,=0.0438
2025-11-13,=28.9700,=28.9700,=28.9700,=28.9700,=1376942766916.48,=86620300000.0,=86620300000.0,,=0.0439
2025-11-12,=29.5900,=29.5900,=29.5900,=29.5900,=1406411338386.56,=88474100000.0,=88474100000.0,,=0.0430
2025-11-11,=28.8600,=28.8600,=28.8600,=28.8600,=1371714471978.24,=86291400000.0,=86291400000.0,,=0.0440
2025-11-10,=29.0400,=29.0400,=29.0400,=29.0400,=1380269863695.36,=86829600000.0,=86829600000.0,,=0.0438
2025-11-07,=28.4500,=28.4500,=28.4500,=28.4500,=1352227190844.8,=85065500000.0,=85065500000.0,,=0.0447
2025-11-06,=28.3000,=28.3000,=28.3000,=28.3000,=1345097697747.2,=84617000000.0,=84617000000.0,,=0.0449
2025-11-05,=27.7900,=27.7900,=27.7900,=27.7900,=1320857421215.36,=83092100000.0,=83092100000.0,,=0.0457
2025-11-04,=28.1400,=28.1400,=28.1400,=28.1400,=1337492905109.76,=84138600000.0,=84138600000.0,,=0.0452
2025-11-03,=28.4200,=28.4200,=28.4200,=28.4200,=1350801292225.28,=84975800000.0,=84975800000.0,,=0.0447
2025-10-31,=27.1100,=27.1100,=27.1100,=27.1100,=1288537052506.24,=81058900000.0,=81058900000.0,,=0.0469
2025-10-30,=27.0100,=27.0100,=27.0100,=27.0100,=1283784057107.84,=80759900000.0,=80759900000.0,,=0.0471
2025-10-29,=27.1500,=27.1500,=27.1500,=27.1500,=1290438250665.6,=81178500000.0,=81178500000.0,,=0.0468
2025-10-28,=27.1600,=27.1600,=27.1600,=27.1600,=1290913550205.44,=81208400000.0,=81208400000.0,,=0.0468
2025-10-27,=27.7300,=27.7300,=27.7300,=27.7300,=1318005623976.32,=82912700000.0,=82912700000.0,,=0.0458
2025-10-24,=27.3100,=27.3100,=27.3100,=27.3100,=1298043043303.04,=81656900000.0,=81656900000.0,,=0.0465
2025-10-23,=27.4900,=27.4900,=27.4900,=27.4900,=1306598435020.16,=82195100000.0,=82195100000.0,,=0.0462
2025-10-22,=27.1300,=27.1300,=27.1300,=27.1300,=1289487651585.92,=81118700000.0,=81118700000.0,,=0.0469
2025-10-21,=26.2100,=26.2100,=26.2100,=26.2100,=1245760093920.64,=78367900000.0,=78367900000.0,,=0.0485
2025-10-20,=26.1000,=26.1000,=26.1000,=26.1000,=1240531798982.4,=78039000000.0,=78039000000.0,,=0.0487
2025-10-17,=25.5900,=25.5900,=25.5900,=25.5900,=1216291522450.56,=76514100000.0,=76514100000.0,,=0.0497
2025-10-16,=26.4100,=26.4100,=26.4100,=26.4100,=1255266084717.44,=78965900000.0,=78965900000.0,,=0.0481
2025-10-15,=26.4900,=26.4900,=26.4900,=26.4900,=1259068481036.16,=79205100000.0,=79205100000.0,,=0.0480
2025-10-14,=26.5200,=26.5200,=26.5200,=26.5200,=1260494379655.68,=79294800000.0,=79294800000.0,,=0.0479
2025-10-13,=26.3200,=26.3200,=26.3200,=26.3200,=1250988388858.88,=78696800000.0,=78696800000.0,,=0.0483
2025-10-10,=26.7700,=26.7700,=26.7700,=26.7700,=1272376868151.68,=80042300000.0,=80042300000.0,,=0.0475
2025-10-09,=26.4700,=26.4700,=26.4700,=26.4700,=1258117881956.48,=79145300000.0,=79145300000.0,,=0.0480
2025-09-30,=26.1300,=26.1300,=26.1300,=26.1300,=1241957697601.92,=78128700000.0,=78128700000.0,,=0.0486
2025-09-29,=26.4000,=26.4000,=26.4000,=26.4000,=1254790785177.6,=78936000000.0,=78936000000.0,,=0.0482
2025-09-26,=26.5000,=26.5000,=26.5000,=26.5000,=1259543780576.0,=79235000000.0,=79235000000.0,,=0.0480
2025-09-25,=26.6000,=26.6000,=26.6000,=26.6000,=1264296775974.4,=79534000000.0,=79534000000.0,,=0.0478
2025-09-24,=26.3300,=26.3300,=26.3300,=26.3300,=1251463688398.72,=78726700000.0,=78726700000.0,,=0.0483
2025-09-23,=26.1100,=26.1100,=26.1100,=26.1100,=1241007098522.24,=78068900000.0,=78068900000.0,,=0.0487
2025-09-22,=26.1600,=26.1600,=26.1600,=26.1600,=1243383596221.44,=78218400000.0,=78218400000.0,,=0.0486
2025-09-19,=26.4000,=26.4000,=26.4000,=26.4000,=1254790785177.6,=78936000000.0,=78936000000.0,,=0.0482
2025-09-18,=26.1600,=26.1600,=26.1600,=26.1600,=1243383596221.44,=78218400000.0,=78218400000.0,,=0.0486
2025-09-17,=26.8100,=26.8100,=26.8100,=26.8100,=1274278066311.04,=80161900000.0,=80161900000.0,,=0.0474
2025-09-16,=26.5000,=26.5000,=26.5000,=26.5000,=1259543780576.0,=79235000000.0,=79235000000.0,,=0.0480
2025-09-15,=26.2700,=26.2700,=26.2700,=26.2700,=1248611891159.68,=78547300000.0,=78547300000.0,,=0.0484
2025-09-12,=26.3000,=26.3000,=26.3000,=26.3000,=1250037789779.2,=78637000000.0,=78637000000.0,,=0.0483
2025-09-11,=26.2200,=26.2200,=26.2200,=26.2200,=1246235393460.48,=78397800000.0,=78397800000.0,,=0.0485
2025-09-10,=26.1200,=26.1200,=26.1200,=26.1200,=1241482398062.08,=78098800000.0,=78098800000.0,,=0.0487
2025-09-09,=25.9500,=25.9500,=25.9500,=25.9500,=1233402305884.8,=77590500000.0,=77590500000.0,,=0.0490
2025-09-08,=26.1500,=26.1500,=26.1500,=26.1500,=1242908296681.6,=78188500000.0,=78188500000.0,,=0.0486
2025-09-05,=25.7400,=25.7400,=25.7400,=25.7400,=1223421015548.16,=76962600000.0,=76962600000.0,,=0.0494
2025-09-04,=25.6400,=25.6400,=25.6400,=25.6400,=1218668020149.76,=76663600000.0,=76663600000.0,,=0.0496
2025-09-03,=26.2400,=26.2400,=26.2400,=26.2400,=1247185992540.16,=78457600000.0,=78457600000.0,,=0.0484
2025-09-02,=26.3800,=26.3800,=26.3800,=26.3800,=1253840186097.92,=78876200000.0,=78876200000.0,,=0.0482
