date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,208830300000.0,0.0440,1.3304,,,,,2.2396,,,,,13.9171,,,,,2.2386,,,,,12.9147,,,,
2026-07-02,208442500000.0,0.0441,1.3279,,,,,2.2354,,,,,13.8912,,,,,2.2344,,,,,12.8907,,,,
2026-07-01,203304150000.0,0.0452,1.2952,,,,,2.1803,,,,,13.5488,,,,,2.1793,,,,,12.5729,,,,
2026-06-30,197293250000.0,0.0466,1.2569,,,,,2.1158,,,,,13.1482,,,,,2.1149,,,,,12.2012,,,,
2026-06-29,203595000000.0,0.0451,1.2970,,,,,2.1834,,,,,13.5682,,,,,2.1825,,,,,12.5909,,,,
2026-06-26,200686500000.0,0.0458,1.2785,,,,,2.1522,,,,,13.3744,,,,,2.1513,,,,,12.4111,,,,
2026-06-25,209508950000.0,0.0439,1.3347,,,,,2.0528,,,,,13.9623,,,,,2.0520,,,,,12.9567,,,,
2026-06-24,213677800000.0,0.0430,1.3613,,,,,2.0937,,,,,14.2401,,,,,2.0928,,,,,13.2145,,,,
2026-06-23,218913100000.0,0.0420,1.3946,,,,,2.1450,,,,,14.5890,,,,,2.1441,,,,,13.5382,,,,
2026-06-22,225893500000.0,0.0407,1.4391,,,,,2.2134,,,,,15.0542,,,,,2.2125,,,,,13.9699,,,,
2026-06-18,222694150000.0,0.0413,1.4187,,,,,2.1820,,,,,14.8410,,,,,2.1812,,,,,13.7721,,,,
2026-06-17,228608100000.0,0.0402,1.4564,,,,,2.2400,,,,,15.2351,,,,,2.2391,,,,,14.1378,,,,
2026-06-16,236558000000.0,0.0389,1.5070,,,,,2.3179,,,,,15.7649,,,,,2.3169,,,,,14.6295,,,,
2026-06-15,244895700000.0,0.0375,1.5601,,,,,2.3996,,,,,16.3206,,,,,2.3986,,,,,15.1451,,,,
2026-06-12,261765000000.0,0.0351,1.6676,,,,,2.5649,,,,,17.4448,,,,,2.5638,,,,,16.1883,,,,
2026-06-11,261086350000.0,0.0352,1.6633,,,,,2.5582,,,,,17.3996,,,,,2.5572,,,,,16.1464,,,,
2026-06-10,258177850000.0,0.0356,1.6448,,,,,2.5297,,,,,17.2058,,,,,2.5287,,,,,15.9665,,,,
2026-06-09,261765000000.0,0.0351,1.6676,,,,,2.5649,,,,,17.4448,,,,,2.5638,,,,,16.1883,,,,
2026-06-08,269521000000.0,0.0341,1.7170,,,,,2.6408,,,,,17.9617,,,,,2.6398,,,,,16.6680,,,,
