date,资产负债率,负债合计,流动比率,应收账款,所有者权益合计,流动负债合计,速动比率,长期负债合计,流动资产合计,资产合计,货币资金,有息负债率
2026-03-31,0.401,97627407285,1.187,5674906527,145830974745,7467034145,1.0297,21451266762,661139753,243458382030,248095050000,0.1068
2025-12-31,0.4184,98861860139,0.9854,5925066139,137407429775,7384159490,0.8481,19822081010,560079574,236269289914,206697400000,0.1083
2025-09-30,0.4217,100492785899,1.0449,4822528429,137811976509,10434204503,0.8479,19056227342,1458573568,238304762408,193900000000,0.0944
2025-06-30,0.4288,100065852140,0.9608,5025079402,133316174478,8463902776,0.7571,17303447650,1549352141,233382026618,186531800000,0.0888
2025-03-31,0.418,99127520011,1.0826,4793347463,138040124745,7982093761,0.8618,17314371667,1561698642,237167644756,192057950000,0.0857
2024-12-31,0.4371,99905953361,0.9024,4659065448,128646907757,7811975694,0.7288,13874859276,929772649,228552861118,225505700000,0.0819
2024-09-30,0.3429,72113908199,1.4382,3149904903,138176012963,15274536657,1.1432,2461866685,903435773,210289921162,267388100000,0.0183
2024-06-30,0.3544,71280732370,1.2533,3124681089,129848041431,10457645582,1.0018,3012430022,618022795,201128773802,249840150000,0.0219
2024-03-31,0.3401,68683559026,1.4818,2825977842,133282025054,12137275025,1.2008,2898755111,471294818,201965584080,243247550000,0.0224
2023-12-31,0.3601,69814788211,1.2216,2937948435,124087045813,8222040775,1.0424,2897116297,696351349,193901834023,202528550000,0.0264
2023-09-30,0.3825,78306574085,1.339,3362796039,126439915390,17188773256,1.0791,4309751328,959492155,204746489475,178969700000,0.0259
2023-06-30,0.3974,91363249666,1.4356,3039762590,138518547051,12497897811,1.2731,4352684697,965994088,229881796717,176352050000,0.0255
2023-03-31,0.3293,74022005144,1.9318,2989645235,150743887204,14881111890,1.684,4149334916,540652521,224765892348,197196300000,0.0275
2022-12-31,0.3593,77342700385,1.6168,2598420205,137917133108,13954474264,1.44,4163350947,371294151,215259833493,180133100000,0.0337
2022-09-30,0.3459,73260340972,2.0482,2109275845,138531342432,19892131492,1.839,5184373670,742160533,211791683405,220755150000,0.0337
2022-06-30,0.3694,77848756225,1.7997,1918911935,132893314972,13456949626,1.622,5795729690,848894953,210742071198,205340100000,0.0349
2022-03-31,0.3298,60038171487,2.0918,1846261136,121988339340,11021944542,1.9096,6581242600,374394622,182026510827,159482750000,0.0442
2021-12-31,0.3818,70790344571,1.7677,7104541211,114616983920,10219469438,1.5874,7055355651,233114557,185407328492,118279000000,0.0437
2021-09-30,0.3799,65307249133,1.6811,7173653374,106598095684,14978376730,1.4063,6842857400,323680556,171905344817,143486000000,0.0597
2021-06-30,0.4061,65869563589,1.4848,6855399546,96350345897,9354172221,1.2382,7048104973,190033895,162219909486,118500000000,0.063
2021-03-31,0.3688,56108441988,1.6326,7347905856,96047721370,7504509913,1.3837,6859519563,146480445,152156163359,110600000000,0.0839
2020-12-31,0.3978,59242899014,1.4114,6918998600,89669446816,7886973716,1.1823,6791520493,111916870,148912345830,93400000000,0.0855
2020-09-30,0.383,54782406538,1.5493,7729719602,88250204874,7105245114,1.3013,8867342380,0,143032611412,83900000000,0.1037
2020-06-30,0.3973,53554170306,1.4246,7861015933,81242108286,4516937918,1.2409,10694217380,0,134796278592,72100000000,0.118
2020-03-31,0.3861,50478070171,1.1981,6863682891,80266244243,0,1.0487,4459207380,0,130744314414,74800000000,0.1243
2019-12-31,0.3987,50513655763,1.2475,5868488962,76169866149,0,1.1235,9071092380,0,126683521912,89900000000,0.1225
2019-09-30,0.389,48453133010,1.3138,4157768823,76106857371,0,1.1576,9559584474,0,124559990382,87300000000,0.1273
2019-06-30,0.4221,51438332368,1.2193,3772344261,70412511859,0,1.0993,10031084474,0,121850844227,92400000000,0.1335
2019-03-31,0.4168,49670848833,1.2442,3663845193,69496433034,0,1.116,10521084474,0,119167281867,89100000000,0.1398
2018-12-31,0.4492,54140743763,1.0985,4150732488,66388890734,0,0.9984,11941084474,0,120529634497,74400000000,0.1453
2018-09-30,0.4413,53722631264,1.1483,3839708611,68021336392,0,1.0152,10013035593,0,121743967657,87000000000,0.1563
2018-06-30,0.4486,51424907247,1.0791,4313626686,63201280383,0,0.9714,10903535593,0,114626187630,82200000000,0.1673
2018-03-31,0.418,45641660383,1.0551,4836634956,63553883827,0,0.9494,10646065213,0,109195544210,77100000000,0.1672
2017-12-31,0.4443,46837197644,0.9321,4619441278,58570011231,0,0.8591,10722065213,0,105407208875,81600000000,0.1704
2017-09-30,0.4505,46349099210,1.0727,5180252390,56526664200,0,0.9534,11438197757,0,102875763409,88000000000,0.1891
2017-06-30,0.4734,47117976287,0.9271,6373588880,52420068092,0,0.8384,9802697757,0,99538044379,70700000000,0.2101
2017-03-31,0.508,50729625934,0.8409,5392957715,49135554311,0,0.7565,9293697757,0,99865180245,61800000000,0.2355
2016-12-31,0.5243,49120406887,0.6936,4523474718,44568698050,0,0.6438,9108697757,0,93689104937,48500000000,0.2564
2016-09-30,0.5382,48914697639,0.7214,4366468398,41966194129,0,0.6341,13316466256,0,90880891768,56900000000,0.2716
