date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,208830300000.0,0.0440,1.3304,,,,,13.9171,,,,,12.9147,,,,,2.2396,,,,,2.2386,,,,
2026-07-02,208442500000.0,0.0441,1.3279,,,,,13.8912,,,,,12.8907,,,,,2.2354,,,,,2.2344,,,,
2026-07-01,203304150000.0,0.0452,1.2952,,,,,13.5488,,,,,12.5729,,,,,2.1803,,,,,2.1793,,,,
2026-06-30,197293250000.0,0.0466,1.2569,,,,,13.1482,,,,,12.2012,,,,,2.1158,,,,,2.1149,,,,
2026-06-29,203595000000.0,0.0451,1.2970,,,,,13.5682,,,,,12.5909,,,,,2.1834,,,,,2.1825,,,,
2026-06-26,200686500000.0,0.0458,1.2785,,,,,13.3744,,,,,12.4111,,,,,2.1522,,,,,2.1513,,,,
2026-06-25,209508950000.0,0.0439,1.3347,,,,,13.9623,,,,,12.9567,,,,,2.0528,,,,,2.0520,,,,
2026-06-24,213677800000.0,0.0430,1.3613,,,,,14.2401,,,,,13.2145,,,,,2.0937,,,,,2.0928,,,,
2026-06-23,218913100000.0,0.0420,1.3946,,,,,14.5890,,,,,13.5382,,,,,2.1450,,,,,2.1441,,,,
2026-06-22,225893500000.0,0.0407,1.4391,,,,,15.0542,,,,,13.9699,,,,,2.2134,,,,,2.2125,,,,
2026-06-18,222694150000.0,0.0413,1.4187,,,,,14.8410,,,,,13.7721,,,,,2.1820,,,,,2.1812,,,,
2026-06-17,228608100000.0,0.0402,1.4564,,,,,15.2351,,,,,14.1378,,,,,2.2400,,,,,2.2391,,,,
2026-06-16,236558000000.0,0.0389,1.5070,,,,,15.7649,,,,,14.6295,,,,,2.3179,,,,,2.3169,,,,
2026-06-15,244895700000.0,0.0375,1.5601,,,,,16.3206,,,,,15.1451,,,,,2.3996,,,,,2.3986,,,,
2026-06-12,261765000000.0,0.0351,1.6676,,,,,17.4448,,,,,16.1883,,,,,2.5649,,,,,2.5638,,,,
2026-06-11,261086350000.0,0.0352,1.6633,,,,,17.3996,,,,,16.1464,,,,,2.5582,,,,,2.5572,,,,
2026-06-10,258177850000.0,0.0356,1.6448,,,,,17.2058,,,,,15.9665,,,,,2.5297,,,,,2.5287,,,,
2026-06-09,261765000000.0,0.0351,1.6676,,,,,17.4448,,,,,16.1883,,,,,2.5649,,,,,2.5638,,,,
2026-06-08,269521000000.0,0.0341,1.7170,,,,,17.9617,,,,,16.6680,,,,,2.6408,,,,,2.6398,,,,
