date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,188706000000,3.4476,61263000000,-0.051
2025-12-31,191372000000,3.5294,195523000000,0.2663
2025-09-30,190601000000,3.605,169397000000,0.3157
2025-06-30,180497000000,3.7454,120503000000,0.34
2025-03-31,164959000000,3.8113,64558000000,0.2941
2024-12-31,150562000000,3.3247,154404000000,0.12
2024-09-30,151517000000,3.5619,128747000000,0.16
2024-06-30,138300000000,4.0697,89925000000,0.0547
2024-03-31,134111000000,4.9243,49887000000,0.0114
2023-12-31,134056000000,4.9394,137863000000,-0.0727
2023-09-30,144504000000,5.2783,110992000000,0.0035
2023-06-30,140289000000,4.7541,85259000000,-0.0411
2023-03-31,141001000000,4.5926,49324000000,-0.0643
2022-12-31,138923000000,5.8602,147911000000,0.3644
2022-09-30,135424000000,5.7384,110304000000,0.4757
2022-06-30,129793000000,5.8906,88855000000,0.5034
2022-03-31,115893000000,5.1084,52389000000,0.453
2021-12-31,104745000000,3.9252,108407000000,0.0032
2021-09-30,97246000000,3.5448,74746000000,-0.0871
2021-06-30,96111000000,3.4978,59104000000,-0.1216
2021-03-31,96701000000,3.9333,36055000000,-0.1734
2020-12-31,104456000000,4.2625,108063000000,-0.0334
2020-09-30,100852000000,4.1522,81875000000,-0.0831
2020-06-30,110913000000,4.3255,67285000000,0.0383
2020-03-31,105988000000,3.4807,43621000000,-0.0581
2019-12-31,108381000000,3.9428,111795000000,0.2498
2019-09-30,101198000000,3.6514,89297000000,0.2142
2019-06-30,96331000000,3.7904,64805000000,0.2053
2019-03-31,88277000000,4.5765,46314000000,0.0693
2018-12-31,85331000000,4.8524,89449000000,0.0395
2018-09-30,91016000000,5.5994,73543000000,0.1275
2018-06-30,94904000000,5.8738,53766000000,0.306
2018-03-31,99251000000,6.1335,43313000000,0.639
2017-12-31,82167000000,5.7402,86051000000,0.3629
2017-09-30,80886000000,5.9827,65227000000,0.5549
2017-06-30,73965000000,6.2274,41167000000,0.6202
2017-03-31,67245000000,6.0922,26426000000,0.6516
2016-12-31,57115000000,5.1398,63137000000,0.5439
2016-09-30,54179000000,4.9871,41950000000,0.726
