date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,285243124140.75,0.8963,,,,,0.0388,5.4618,,,,,0.6573,,,,,5.2902,,,,,0.8925,,,,
2026-07-02,285050717311.65,0.8957,,,,,0.0388,5.4581,,,,,0.6568,,,,,5.2866,,,,,0.8919,,,,
2026-07-01,288514040235.45,0.9066,,,,,0.0383,5.5244,,,,,0.6648,,,,,5.3509,,,,,0.9027,,,,
2026-06-30,274372138296.6,0.8621,,,,,0.0403,5.2537,,,,,0.6322,,,,,5.0886,,,,,0.8585,,,,
2026-06-29,282357021704.25,0.8872,,,,,0.0392,5.4065,,,,,0.6506,,,,,5.2367,,,,,0.8835,,,,
2026-06-26,273506307565.65,0.8594,,,,,0.0405,5.2371,,,,,0.6302,,,,,5.0725,,,,,0.8558,,,,
2026-06-25,289572277795.5,0.9099,,,,,0.0382,5.5447,,,,,0.6672,,,,,5.3705,,,,,0.9060,,,,
2026-06-24,286878582188.1,0.9014,,,,,0.0386,5.4931,,,,,0.6610,,,,,5.3205,,,,,0.8976,,,,
2026-06-23,294286245108.45,0.9247,,,,,0.0376,5.6350,,,,,0.6781,,,,,5.4579,,,,,0.9208,,,,
2026-06-22,304098993392.55,0.9555,,,,,0.0364,5.8229,,,,,0.7007,,,,,5.6399,,,,,0.9515,,,,
2026-06-18,288417836820.9,0.9063,,,,,0.0384,5.5226,,,,,0.6646,,,,,5.3491,,,,,0.9024,,,,
2026-06-17,309678791436.45,0.9731,,,,,0.0357,5.9297,,,,,0.7136,,,,,5.7434,,,,,0.9690,,,,
2026-06-16,312661097287.5,0.9825,,,,,0.0354,5.9868,,,,,0.7204,,,,,5.7987,,,,,0.9783,,,,
2026-06-15,319876353378.75,1.0051,,,,,0.0346,6.1250,,,,,0.7371,,,,,5.9325,,,,,1.0009,,,,
2026-06-12,316124420211.3,0.9933,,,,,0.0350,6.0531,,,,,0.7284,,,,,5.8630,,,,,0.9891,,,,
2026-06-11,308428147047.3001,0.9692,,,,,0.0359,5.9058,,,,,0.7107,,,,,5.7202,,,,,0.9650,,,,
2026-06-10,312757300702.05,0.9828,,,,,0.0354,5.9887,,,,,0.7207,,,,,5.8005,,,,,0.9786,,,,
2026-06-09,303521772905.25,0.9537,,,,,0.0365,5.8118,,,,,0.6994,,,,,5.6292,,,,,0.9497,,,,
2026-06-08,300154653396.0,0.9432,,,,,0.0369,5.7473,,,,,0.6916,,,,,5.5668,,,,,0.9392,,,,
