date,资产负债率
2026-03-31,0.8909
2025-12-31,0.8937
2025-09-30,0.8974
2025-06-30,0.8966
2025-03-31,0.9004
2024-12-31,0.8877
2024-09-30,0.8883
2024-06-30,0.885
2024-03-31,0.8868
2023-12-31,0.8858
2023-09-30,0.8919
2023-06-30,0.887
2023-03-31,0.8823
2022-12-31,0.8924
2022-09-30,0.8929
2022-06-30,0.8895
2022-03-31,0.8879
2021-12-31,0.8806
2021-09-30,0.8821
2021-06-30,0.882
2021-03-31,0.8755
2020-12-31,0.8753
2020-09-30,0.8802
2020-06-30,0.8803
2020-03-31,0.8815
2019-12-31,0.8801
2019-09-30,0.8829
2019-06-30,0.8867
2019-03-31,0.883
2018-12-31,0.8847
2018-09-30,0.8858
2018-06-30,0.8887
2018-03-31,0.8815
2017-12-31,0.8795
2017-09-30,0.8813
2017-06-30,0.8799
2017-03-31,0.8754
2016-12-31,0.868
2016-09-30,0.8664
