date,总资产收益率(ROA),净资产收益率(ROE),净利润率
2026-03-31,0.0181,0.1735,0.1285
2025-12-31,0.0185,0.1698,0.1273
2025-09-30,0.0188,0.1758,0.1234
2025-06-30,0.0177,0.1628,0.1205
2025-03-31,0.0166,0.1566,0.1102
2024-12-31,0.0179,0.1585,0.1149
2024-09-30,0.0177,0.1605,0.1154
2024-06-30,0.0147,0.1291,0.1021
2024-03-31,0.0122,0.1059,0.0865
2023-12-31,0.0123,0.1112,0.0862
2023-09-30,0.0128,0.1194,0.0802
2023-06-30,0.0141,0.1262,0.0808
2023-03-31,0.0151,0.131,0.0782
2022-12-31,0.0122,0.1082,0.0554
2022-09-30,0.0124,0.1106,0.0557
2022-06-30,0.0117,0.1029,0.0529
2022-03-31,0.0127,0.1076,0.056
2021-12-31,0.0149,0.1219,0.0627
2021-09-30,0.0156,0.1312,0.066
2021-06-30,0.0159,0.1342,0.065
2021-03-31,0.0149,0.1223,0.0587
2020-12-31,0.0154,0.1255,0.06
2020-09-30,0.0156,0.1313,0.0604
2020-06-30,0.0167,0.1433,0.066
2020-03-31,0.0206,0.1753,0.0803
2019-12-31,0.0198,0.1681,0.0736
2019-09-30,0.0207,0.1788,0.0767
2019-06-30,0.0192,0.1709,0.0716
2019-03-31,0.0152,0.1294,0.0556
2018-12-31,0.0147,0.1249,0.052
2018-09-30,0.0137,0.1178,0.0481
2018-06-30,0.014,0.1211,0.0484
2018-03-31,0.0145,0.1194,0.05
2017-12-31,0.0137,0.1087,0.0469
2017-09-30,0.0133,0.1059,0.0462
2017-06-30,0.0121,0.0962,0.0422
2017-03-31,0.0119,0.0893,0.0414
2016-12-31,0.0126,0.0908,0.046
2016-09-30,0.0123,0.0892,0.0439
