date,metric,value
2026-03-31,总资产收益率(ROA),0.1325
2026-03-31,营业收入,8140565321
2026-03-31,货币资金,366506177042.28
2026-03-31,自由现金流量,8530154219
2026-03-31,净资产收益率(ROE),0.1454
2026-03-31,速动比率,8.4531
2026-03-31,流动资产合计,0
2026-03-31,有息负债率,0.0009
2026-03-31,负债合计,7146776163
2026-03-31,经营活动产生的现金流量净额,786445901
2026-03-31,长期负债合计,0
2026-03-31,净利润率,0.2494
2026-03-31,基本每股收益,0.34
2026-03-31,资产合计,71293862441
2026-03-31,所有者权益合计,64147086278
2026-03-31,毛利率(GM),0.8653
2026-03-31,归属于母公司普通股股东的净利润,2282268233
2026-03-31,流动比率,9.2331
2026-03-31,应收账款,5021464385
2026-03-31,资产负债率,0.1002
2026-03-31,资本回报率(ROIC),0.1453
2026-03-31,流动负债合计,1454498612
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.4119
