date,总资产收益率(ROA),毛利率(GM),净利润率,资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.1325,0.8653,0.2494,0.1453,0.1454
2025-12-31,0.1286,0.8621,0.244,0.1431,0.1431
2025-09-30,0.1282,0.8641,0.2414,0.1434,0.1434
2025-06-30,0.1326,0.8643,0.2443,0.1441,0.1441
2025-03-31,0.1402,0.8639,0.2345,0.1523,0.1522
2024-12-31,0.1349,0.8625,0.2264,0.1454,0.1455
2024-09-30,0.1194,0.8576,0.2094,0.1287,0.1288
2024-06-30,0.1202,0.8563,0.2145,0.131,0.1311
2024-03-31,0.0996,0.8453,0.1891,0.1077,0.1077
2023-12-31,0.0993,0.8455,0.1875,0.106,0.1077
2023-09-30,0.1004,0.8445,0.1866,0.1077,0.1076
2023-06-30,0.0976,0.8394,0.1817,0.1062,0.1061
2023-03-31,0.0935,0.836,0.1804,0.1008,0.1007
2022-12-31,0.0935,0.8361,0.1793,0.1014,0.1031
2022-09-30,0.0856,0.8299,0.1565,0.094,0.0939
2022-06-30,0.1001,0.839,0.1703,0.1111,0.1111
2022-03-31,0.1105,0.8492,0.1716,0.1211,0.1212
2021-12-31,0.1212,0.8556,0.1731,0.135,0.1351
2021-09-30,0.1751,0.8705,0.2194,0.1978,0.198
2021-06-30,0.1895,0.8742,0.2126,0.2101,0.2103
2021-03-31,0.199,0.8793,0.2231,0.2211,0.2213
2020-12-31,0.2026,0.8793,0.2275,0.2264,0.2264
2020-09-30,0.1996,0.8787,0.2266,0.2259,0.2259
2020-06-30,0.2058,0.8803,0.2265,0.2293,0.2293
2020-03-31,0.2078,0.8752,0.228,0.2326,0.2326
2019-12-31,0.2134,0.8749,0.2287,0.2381,0.2381
2019-09-30,0.2071,0.8708,0.221,0.2311,0.2311
2019-06-30,0.2037,0.8664,0.2302,,0.2293
2019-03-31,0.2035,0.8657,0.2311,,0.2284
2018-12-31,0.201,0.866,0.2332,0.2273,0.2273
2018-09-30,0.2069,0.8661,0.238,,0.2297
2018-06-30,0.2036,0.8664,0.2389,,0.2287
2018-03-31,0.2022,0.8655,0.2381,,0.2255
2017-12-31,0.2035,0.8663,0.238,,0.2285
2017-09-30,0.2038,0.868,0.2383,,0.2263
2017-06-30,0.2043,0.8699,0.2391,,0.2264
2017-03-31,0.2006,0.8732,0.2379,,0.223
2016-12-31,0.204,0.8707,0.2374,,0.2268
2016-09-30,0.2091,0.8666,0.2394,,0.2332
