date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,361395533139.3001,46.7976,,,,,11.0979,,,,,5.8010,,,,,44.5109,,,,,0.0037,5.8010,,,,
2026-07-02,355023821260.26,45.9725,,,,,10.9022,,,,,5.6987,,,,,43.7261,,,,,0.0037,5.6987,,,,
2026-07-01,356948609223.7201,46.2218,,,,,10.9613,,,,,5.7296,,,,,43.9632,,,,,0.0037,5.7296,,,,
2026-06-30,345399881442.96,44.7263,,,,,10.6067,,,,,5.5442,,,,,42.5408,,,,,0.0038,5.5442,,,,
2026-06-29,351306989330.82,45.4913,,,,,10.7881,,,,,5.6391,,,,,43.2683,,,,,0.0038,5.6391,,,,
2026-06-26,323032517867.58,41.8299,,,,,9.9198,,,,,5.1852,,,,,39.7859,,,,,0.0041,5.1852,,,,
2026-06-25,332125481694.96,43.0074,,,,,10.1990,,,,,5.3312,,,,,40.9058,,,,,0.0040,5.3312,,,,
2026-06-24,333519293668.5,43.1879,,,,,10.2418,,,,,5.3535,,,,,41.0775,,,,,0.0040,5.3535,,,,
2026-06-23,325090049828.52,42.0964,,,,,9.9830,,,,,5.2182,,,,,40.0393,,,,,0.0041,5.2182,,,,
2026-06-22,327612185780.64,42.4230,,,,,10.0604,,,,,5.2587,,,,,40.3500,,,,,0.0041,5.2587,,,,
2026-06-18,321373217899.08,41.6151,,,,,9.8689,,,,,5.1586,,,,,39.5816,,,,,0.0041,5.1586,,,,
2026-06-17,311882022079.26,40.3861,,,,,9.5774,,,,,5.0062,,,,,38.4126,,,,,0.0043,5.0062,,,,
2026-06-16,314271414033.9,40.6955,,,,,9.6508,,,,,5.0446,,,,,38.7069,,,,,0.0042,5.0446,,,,
2026-06-15,317789129967.12,41.1510,,,,,9.7588,,,,,5.1010,,,,,39.1401,,,,,0.0042,5.1010,,,,
2026-06-12,321837821890.26,41.6752,,,,,9.8831,,,,,5.1660,,,,,39.6388,,,,,0.0041,5.1660,,,,
2026-06-11,311815650080.52,40.3775,,,,,9.5754,,,,,5.0052,,,,,38.4044,,,,,0.0043,5.0052,,,,
2026-06-10,312014766076.74,40.4032,,,,,9.5815,,,,,5.0084,,,,,38.4289,,,,,0.0043,5.0084,,,,
2026-06-09,307833330156.12,39.8618,,,,,9.4531,,,,,4.9412,,,,,37.9139,,,,,0.0043,4.9412,,,,
2026-06-08,304912962211.56,39.4836,,,,,9.3634,,,,,4.8944,,,,,37.5542,,,,,0.0044,4.8944,,,,
