date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,2282268233,0.2178,8140565321,0.34
2025-12-31,7711054812,0.2169,31629416194,1.19
2025-09-30,5751169538,0.245,23188081929,0.89
2025-06-30,4450106384,0.2967,15761193629,0.7
2025-03-31,1874055520,0.369,7205611123,0.3
2024-12-31,6336527015,0.4728,27984605342,1
2024-09-30,4619575874,0.3298,20189303845,0.73
2024-06-30,3431748098,0.4867,13600734115,0.54
2024-03-31,1368929248,0.1048,5997533912,0.21
2023-12-31,4302435930,0.1014,22819784741,0.68
2023-09-30,3473779151,0.0947,17013632175,0.55
2023-06-30,2308265048,0.0891,11168379006,0.36
2023-03-31,1239107494,0.0017,5492320140,0.19
2022-12-31,3906304391,-0.1377,21275270682,0.61
2022-09-30,3173389854,-0.2457,15945305398,0.5
2022-06-30,2119331681,-0.2055,10228041761,0.33
2022-03-31,1236949171,-0.1735,5478539091,0.19
2021-12-31,4530217550,-0.2841,25905526376,0.71
2021-09-30,4207201011,-0.0121,20198968493,0.66
2021-06-30,2667595056,0.0021,13297542736,0.42
2021-03-31,1496547606,0.1377,6929054894,0.28
2020-12-31,6328383220,0.1878,27734598748,1.19
2020-09-30,4258592129,0.1402,19413125068,0.8
2020-06-30,2661917190,0.1034,11308881923,0.5
2020-03-31,1315425922,0.103,5527015316,0.29
2019-12-31,5328027520,0.3105,23288576607,1.2
2019-09-30,3734893398,0.2826,16945046467,0.84
2019-06-30,2412461799,0.2632,10026300035,0.5428
2019-03-31,1192604210,0.2561,4966854059,0.27
2018-12-31,4065609716,0.2639,17417901050,1.1
2018-09-30,2911920929,0.251,12458768347,0.79
2018-06-30,1909767440,0.2138,7760749545,0.5159
2018-03-31,949451362,0.1695,3857128090,0.33
2017-12-31,3216647998,0.2425,13835629370,1.1373
2017-09-30,2327765909,0.207,10066119104,0.8274
2017-06-30,1573430938,0.1971,6344594703,0.5579
2017-03-31,811847640,0.1863,3169364959,0.3446
2016-12-31,2588952096,0.1922,11093724121,1.104
2016-09-30,1928591661,0.2271,8264073089,0.8212
