date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率
2026-07-03,96171278130.47,7.1838,,,,,0.3366,,,,,9.7418,,,,,0.3302,,,,,0.1313,,,,,0.0330
2026-07-02,95198212921.73,7.1112,,,,,0.3332,,,,,9.6433,,,,,0.3269,,,,,0.1300,,,,,0.0333
2026-07-01,94711680317.36,7.0748,,,,,0.3315,,,,,9.5940,,,,,0.3252,,,,,0.1293,,,,,0.0335
2026-06-30,92603372365.09,6.9173,,,,,0.3241,,,,,9.3804,,,,,0.3179,,,,,0.1264,,,,,0.0343
2026-06-29,94549502782.57,7.0627,,,,,0.3309,,,,,9.5776,,,,,0.3246,,,,,0.1291,,,,,0.0335
2026-06-26,93738615108.62,7.0021,,,,,0.3281,,,,,9.4954,,,,,0.3218,,,,,0.1280,,,,,0.0338
2026-06-25,95684745526.1,7.1475,,,,,0.3349,,,,,9.6926,,,,,0.3285,,,,,0.1306,,,,,0.0331
2026-06-24,96495633200.05,7.2081,,,,,0.3378,,,,,9.7747,,,,,0.3313,,,,,0.1318,,,,,0.0329
2026-06-23,98441763617.53,7.3534,,,,,0.3446,,,,,9.9718,,,,,0.3380,,,,,0.1344,,,,,0.0322
2026-06-22,99926315541.5,7.4643,,,,,0.3498,,,,,10.1222,,,,,0.3431,,,,,0.1364,,,,,0.0317
2026-06-18,99438076214.75,7.4279,,,,,0.3481,,,,,10.0728,,,,,0.3414,,,,,0.1358,,,,,0.0319
2026-06-17,103994976597.75,7.7683,,,,,0.3640,,,,,10.5344,,,,,0.3571,,,,,0.1420,,,,,0.0305
2026-06-16,100414554868.25,7.5008,,,,,0.3515,,,,,10.1717,,,,,0.3448,,,,,0.1371,,,,,0.0316
2026-06-15,102855751502.0,7.6832,,,,,0.3600,,,,,10.4190,,,,,0.3531,,,,,0.1404,,,,,0.0308
2026-06-12,102693005059.75,7.6710,,,,,0.3594,,,,,10.4025,,,,,0.3526,,,,,0.1402,,,,,0.0309
2026-06-11,102204765733.0,7.6345,,,,,0.3577,,,,,10.3530,,,,,0.3509,,,,,0.1395,,,,,0.0310
2026-06-10,100902794195.0,7.5373,,,,,0.3532,,,,,10.2211,,,,,0.3464,,,,,0.1378,,,,,0.0314
2026-06-09,100089061983.75,7.4765,,,,,0.3503,,,,,10.1387,,,,,0.3437,,,,,0.1367,,,,,0.0317
2026-06-08,99600822657.0,7.4400,,,,,0.3486,,,,,10.0892,,,,,0.3420,,,,,0.1360,,,,,0.0318
