date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,96171278130.47,0.3302,,,,,7.1838,,,,,0.0330,9.7418,,,,,0.1313,,,,,0.3366,,,,
2026-07-02,95198212921.73,0.3269,,,,,7.1112,,,,,0.0333,9.6433,,,,,0.1300,,,,,0.3332,,,,
2026-07-01,94711680317.36,0.3252,,,,,7.0748,,,,,0.0335,9.5940,,,,,0.1293,,,,,0.3315,,,,
2026-06-30,92603372365.09,0.3179,,,,,6.9173,,,,,0.0343,9.3804,,,,,0.1264,,,,,0.3241,,,,
2026-06-29,94549502782.57,0.3246,,,,,7.0627,,,,,0.0335,9.5776,,,,,0.1291,,,,,0.3309,,,,
2026-06-26,93738615108.62,0.3218,,,,,7.0021,,,,,0.0338,9.4954,,,,,0.1280,,,,,0.3281,,,,
2026-06-25,95684745526.1,0.3285,,,,,7.1475,,,,,0.0331,9.6926,,,,,0.1306,,,,,0.3349,,,,
2026-06-24,96495633200.05,0.3313,,,,,7.2081,,,,,0.0329,9.7747,,,,,0.1318,,,,,0.3378,,,,
2026-06-23,98441763617.53,0.3380,,,,,7.3534,,,,,0.0322,9.9718,,,,,0.1344,,,,,0.3446,,,,
2026-06-22,99926315541.5,0.3431,,,,,7.4643,,,,,0.0317,10.1222,,,,,0.1364,,,,,0.3498,,,,
2026-06-18,99438076214.75,0.3414,,,,,7.4279,,,,,0.0319,10.0728,,,,,0.1358,,,,,0.3481,,,,
2026-06-17,103994976597.75,0.3571,,,,,7.7683,,,,,0.0305,10.5344,,,,,0.1420,,,,,0.3640,,,,
2026-06-16,100414554868.25,0.3448,,,,,7.5008,,,,,0.0316,10.1717,,,,,0.1371,,,,,0.3515,,,,
2026-06-15,102855751502.0,0.3531,,,,,7.6832,,,,,0.0308,10.4190,,,,,0.1404,,,,,0.3600,,,,
2026-06-12,102693005059.75,0.3526,,,,,7.6710,,,,,0.0309,10.4025,,,,,0.1402,,,,,0.3594,,,,
2026-06-11,102204765733.0,0.3509,,,,,7.6345,,,,,0.0310,10.3530,,,,,0.1395,,,,,0.3577,,,,
2026-06-10,100902794195.0,0.3464,,,,,7.5373,,,,,0.0314,10.2211,,,,,0.1378,,,,,0.3532,,,,
2026-06-09,100089061983.75,0.3437,,,,,7.4765,,,,,0.0317,10.1387,,,,,0.1367,,,,,0.3503,,,,
2026-06-08,99600822657.0,0.3420,,,,,7.4400,,,,,0.0318,10.0892,,,,,0.1360,,,,,0.3486,,,,
2026-06-05,102204765733.0,0.3509,,,,,7.6345,,,,,0.0310,10.3530,,,,,0.1395,,,,,0.3577,,,,
2026-06-04,102204765733.0,0.3509,,,,,7.6345,,,,,0.0310,10.3530,,,,,0.1395,,,,,0.3577,,,,
2026-06-03,103506737271.0,0.3554,,,,,7.7318,,,,,0.0306,10.4849,,,,,0.1413,,,,,0.3623,,,,
2026-06-02,104645962366.75,0.3593,,,,,7.8169,,,,,0.0303,10.6003,,,,,0.1429,,,,,0.3663,,,,
2026-06-01,106110680347.0,0.3643,,,,,7.9263,,,,,0.0299,10.7487,,,,,0.1449,,,,,0.3714,,,,
2026-05-29,104971455251.25,0.3604,,,,,7.8412,,,,,0.0302,10.6333,,,,,0.1433,,,,,0.3674,,,,
