date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,178655965956.0,2.3358,,,,,18.5600,,,,,1.1973,,,,,0.0281,31.1750,,,,,2.3635,,,,
2026-07-02,178856702996.4,2.3384,,,,,18.5809,,,,,1.1987,,,,,0.0281,31.2101,,,,,2.3662,,,,
2026-07-01,180964441920.6,2.3659,,,,,18.7999,,,,,1.2128,,,,,0.0277,31.5779,,,,,2.3940,,,,
2026-06-30,178354860395.4,2.3318,,,,,18.5288,,,,,1.1953,,,,,0.0281,31.1225,,,,,2.3595,,,,
2026-06-29,184878814208.4,2.4171,,,,,19.2065,,,,,1.2391,,,,,0.0271,32.2609,,,,,2.4458,,,,
2026-06-26,180462599319.6,2.3594,,,,,18.7477,,,,,1.2095,,,,,0.0278,31.4903,,,,,2.3874,,,,
2026-06-25,182369601203.4,2.3843,,,,,18.9458,,,,,1.2222,,,,,0.0275,31.8231,,,,,2.4126,,,,
2026-06-24,188492080935.6,2.4644,,,,,19.5819,,,,,1.2633,,,,,0.0266,32.8914,,,,,2.4936,,,,
2026-06-23,193309769905.2,2.5273,,,,,20.0824,,,,,1.2956,,,,,0.0260,33.7321,,,,,2.5574,,,,
2026-06-22,199131144076.8,2.6034,,,,,20.6871,,,,,1.3346,,,,,0.0252,34.7479,,,,,2.6344,,,,
2026-06-18,194514192147.6,2.5431,,,,,20.2075,,,,,1.3036,,,,,0.0258,33.9423,,,,,2.5733,,,,
2026-06-17,201238883001.0,2.6310,,,,,20.9061,,,,,1.3487,,,,,0.0249,35.1157,,,,,2.6623,,,,
2026-06-16,208967259056.4,2.7320,,,,,21.7090,,,,,1.4005,,,,,0.0240,36.4643,,,,,2.7645,,,,
2026-06-15,211576840581.6,2.7662,,,,,21.9801,,,,,1.4180,,,,,0.0237,36.9197,,,,,2.7990,,,,
2026-06-12,230345753859.0,3.0115,,,,,23.9299,,,,,1.5438,,,,,0.0218,40.1948,,,,,3.0473,,,,
2026-06-11,231851281662.0,3.0312,,,,,24.0863,,,,,1.5539,,,,,0.0216,40.4575,,,,,3.0672,,,,
2026-06-10,235765653949.8,3.0824,,,,,24.4930,,,,,1.5801,,,,,0.0213,41.1405,,,,,3.1190,,,,
2026-06-09,247910244894.0,3.2412,,,,,25.7547,,,,,1.6615,,,,,0.0202,43.2597,,,,,3.2797,,,,
2026-06-08,252928670904.0,3.3068,,,,,26.2760,,,,,1.6951,,,,,0.0198,44.1355,,,,,3.3461,,,,
2026-06-05,251423143101.0,3.2871,,,,,26.1196,,,,,1.6850,,,,,0.0200,43.8727,,,,,3.3262,,,,
2026-06-04,273704954585.4,3.5784,,,,,28.4344,,,,,1.8344,,,,,0.0183,47.7609,,,,,3.6209,,,,
2026-06-03,260657046959.4,3.4078,,,,,27.0789,,,,,1.7469,,,,,0.0193,45.4840,,,,,3.4483,,,,
2026-06-02,239479289197.2,3.1310,,,,,24.8788,,,,,1.6050,,,,,0.0210,41.7886,,,,,3.1681,,,,
2026-06-01,240683711439.6,3.1467,,,,,25.0039,,,,,1.6131,,,,,0.0209,41.9987,,,,,3.1841,,,,
2026-05-29,218803374036.0,2.8606,,,,,22.7308,,,,,1.4664,,,,,0.0229,38.1807,,,,,2.8946,,,,
2026-05-28,215792318430.0,2.8213,,,,,22.4180,,,,,1.4462,,,,,0.0233,37.6552,,,,,2.8548,,,,
2026-05-27,212279420223.0,2.7753,,,,,22.0531,,,,,1.4227,,,,,0.0236,37.0423,,,,,2.8083,,,,
2026-05-26,207260994213.0,2.7097,,,,,21.5317,,,,,1.3891,,,,,0.0242,36.1666,,,,,2.7419,,,,
2026-05-25,208465416455.4,2.7255,,,,,21.6568,,,,,1.3971,,,,,0.0241,36.3767,,,,,2.7579,,,,
2026-05-22,200837408920.2,2.6258,,,,,20.8644,,,,,1.3460,,,,,0.0250,35.0457,,,,,2.6569,,,,
2026-05-21,203948833046.4,2.6664,,,,,21.1876,,,,,1.3669,,,,,0.0246,35.5886,,,,,2.6981,,,,
