date,metric,value
2026-03-31,长期负债合计,60484558000
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.4001
2026-03-31,资产负债率,0.621
2026-03-31,流动比率,0.9299
2026-03-31,流动资产合计,25130000
2026-03-31,净资产收益率(ROE),0.0998
2026-03-31,总资产收益率(ROA),0.0376
2026-03-31,应收账款,9432016000
2026-03-31,资产合计,468996510000
2026-03-31,自由现金流量,2994799000
2026-03-31,净利润率,0.1053
2026-03-31,资本回报率(ROIC),0.0669
2026-03-31,流动负债合计,6785856000
2026-03-31,有息负债率,0.2979
2026-03-31,负债合计,291252179000
2026-03-31,归属于母公司普通股股东的净利润,3954969000
2026-03-31,速动比率,0.8187
2026-03-31,营业收入,34588720000
2026-03-31,货币资金,194225248526.4
2026-03-31,经营活动产生的现金流量净额,6182253000
2026-03-31,毛利率(GM),0.2812
2026-03-31,所有者权益合计,177744331000
2026-03-31,基本每股收益,0.3955
