date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,178655965956.0,31.1750,,,,,0.0281,2.3635,,,,,1.1973,,,,,2.3358,,,,,18.5600,,,,
2026-07-02,178856702996.4,31.2101,,,,,0.0281,2.3662,,,,,1.1987,,,,,2.3384,,,,,18.5809,,,,
2026-07-01,180964441920.6,31.5779,,,,,0.0277,2.3940,,,,,1.2128,,,,,2.3659,,,,,18.7999,,,,
2026-06-30,178354860395.4,31.1225,,,,,0.0281,2.3595,,,,,1.1953,,,,,2.3318,,,,,18.5288,,,,
2026-06-29,184878814208.4,32.2609,,,,,0.0271,2.4458,,,,,1.2391,,,,,2.4171,,,,,19.2065,,,,
2026-06-26,180462599319.6,31.4903,,,,,0.0278,2.3874,,,,,1.2095,,,,,2.3594,,,,,18.7477,,,,
2026-06-25,182369601203.4,31.8231,,,,,0.0275,2.4126,,,,,1.2222,,,,,2.3843,,,,,18.9458,,,,
2026-06-24,188492080935.6,32.8914,,,,,0.0266,2.4936,,,,,1.2633,,,,,2.4644,,,,,19.5819,,,,
2026-06-23,193309769905.2,33.7321,,,,,0.0260,2.5574,,,,,1.2956,,,,,2.5273,,,,,20.0824,,,,
2026-06-22,199131144076.8,34.7479,,,,,0.0252,2.6344,,,,,1.3346,,,,,2.6034,,,,,20.6871,,,,
2026-06-18,194514192147.6,33.9423,,,,,0.0258,2.5733,,,,,1.3036,,,,,2.5431,,,,,20.2075,,,,
2026-06-17,201238883001.0,35.1157,,,,,0.0249,2.6623,,,,,1.3487,,,,,2.6310,,,,,20.9061,,,,
2026-06-16,208967259056.4,36.4643,,,,,0.0240,2.7645,,,,,1.4005,,,,,2.7320,,,,,21.7090,,,,
2026-06-15,211576840581.6,36.9197,,,,,0.0237,2.7990,,,,,1.4180,,,,,2.7662,,,,,21.9801,,,,
2026-06-12,230345753859.0,40.1948,,,,,0.0218,3.0473,,,,,1.5438,,,,,3.0115,,,,,23.9299,,,,
2026-06-11,231851281662.0,40.4575,,,,,0.0216,3.0672,,,,,1.5539,,,,,3.0312,,,,,24.0863,,,,
2026-06-10,235765653949.8,41.1405,,,,,0.0213,3.1190,,,,,1.5801,,,,,3.0824,,,,,24.4930,,,,
2026-06-09,247910244894.0,43.2597,,,,,0.0202,3.2797,,,,,1.6615,,,,,3.2412,,,,,25.7547,,,,
2026-06-08,252928670904.0,44.1355,,,,,0.0198,3.3461,,,,,1.6951,,,,,3.3068,,,,,26.2760,,,,
