date,资本回报率(ROIC),净资产收益率(ROE),净利润率,总资产收益率(ROA),毛利率(GM)
2026-03-31,0.0669,0.0998,0.1053,0.0376,0.2812
2025-12-31,0.0633,0.0936,0.0982,0.0351,0.2934
2025-09-30,0.0717,0.1133,0.1127,0.0389,0.321
2025-06-30,0.0806,0.1295,0.1335,0.0458,0.3458
2025-03-31,0.0924,0.1467,0.1486,0.053,0.3676
2024-12-31,0.1043,0.1666,0.1505,0.0587,0.358
2024-09-30,0.1176,0.1959,0.1881,0.0651,0.4362
2024-06-30,0.134,0.2103,0.1833,0.0761,0.4237
2024-03-31,0.1327,0.1964,0.1763,0.0772,0.4036
2023-12-31,0.1447,0.2204,0.181,0.0835,0.4064
2023-09-30,0.1459,0.2316,0.1413,0.0823,0.3555
2023-06-30,0.1638,0.2621,0.1621,0.0987,0.3739
2023-03-31,0.2043,0.3174,0.1873,0.1296,0.3962
2022-12-31,0.2202,0.3512,0.1964,0.1349,0.4094
2022-09-30,0.2178,0.378,0.2008,0.1384,0.3899
2022-06-30,0.1948,0.3554,0.1841,0.1204,0.37
2022-03-31,0.1511,0.2667,0.1508,0.0896,0.3264
2021-12-31,0.123,0.2107,0.1222,0.0678,0.2938
2021-09-30,0.095,0.1475,0.0747,0.0497,0.2494
2021-06-30,0.0592,0.0831,0.04,0.028,0.191
2021-03-31,0.0604,0.0913,0.0361,0.0305,0.1503
2020-12-31,0.0577,0.0837,0.0318,0.0293,0.1322
2020-09-30,0.0781,0.1173,0.0468,0.0459,0.1131
2020-06-30,0.0839,0.1243,0.0512,0.0497,0.1172
2020-03-31,0.0805,0.118,0.0503,0.0481,0.1301
2019-12-31,0.0904,0.1319,0.0554,0.054,0.1391
2019-09-30,0.1034,0.1469,0.0625,0.062,0.1479
2019-06-30,0.1136,0.1462,0.0624,0.0607,0.1585
2019-03-31,,0.1275,0.0611,0.0551,0.1777
2018-12-31,0.0928,0.1314,0.0654,0.0535,0.1949
2018-09-30,,0.1244,0.0649,0.0513,0.2174
2018-06-30,,0.1412,0.0673,0.0562,0.2125
2018-03-31,,0.1238,0.0598,0.0491,0.192
2017-12-31,,0.1225,0.052,0.0462,0.1662
2017-09-30,,0.1057,0.0427,0.04,0.1363
2017-06-30,,0.101,0.034,0.0361,0.1157
2017-03-31,,0.0801,0.0308,0.0277,0.1222
2016-12-31,,0.0488,0.0225,0.0161,0.1278
2016-09-30,,0.017,0.0082,0.0056,0.1
