date,负债合计,所有者权益合计,应收账款,流动负债合计,流动比率,资产负债率,流动资产合计,有息负债率,长期负债合计,速动比率,资产合计,货币资金
2026-03-31,291252179000,177744331000,9432016000,6785856000,0.9299,0.621,25130000,0.2979,60484558000,0.8187,468996510000,194225248526.4
2025-12-31,281847440000,171096833000,8612468000,6330233000,0.8427,0.6223,21198000,0.2956,57099723000,0.7426,452944273000,131992869153.6
2025-09-30,288964486000,142935895000,9702480000,9873426000,0.7432,0.6691,10011000,0.3203,62735119000,0.6263,431900381000,133598866040.64
2025-06-30,239224108000,136447010000,8285865000,6207203000,0.7829,0.6368,39676000,0.3173,43997759000,0.6831,375671118000,122156138220.48
2025-03-31,229549331000,137224676000,8949056000,5463744000,0.876,0.6259,80508000,0.319,57155069000,0.7622,366774007000,133730940554.64
2024-12-31,225544212000,133010259000,9261230000,4788213000,0.8307,0.629,79812000,0.3125,55699723000,0.7244,358554471000,142264821896.34
2024-09-30,233878983000,130475266000,6654699000,6529887000,0.8878,0.6419,10785000,0.3017,57469007000,0.7663,364354249000,167665668713.4
2024-06-30,235696426000,123766445000,5837549000,5679038000,0.913,0.6557,4597000,0.3077,71569033000,0.7842,359462871000,175543097644.2
2024-03-31,235914948000,125743077000,7751636000,6096798000,0.8857,0.6523,22475000,0.2844,63207075000,0.7612,361658025000,176982629428.8
2023-12-31,235944455000,118333684000,6945844000,5091445000,0.7812,0.666,20498000,0.2803,61355220000,0.6769,354278139000,147373933963.2
2023-09-30,234792800000,103066345000,7898704000,4966084000,0.7556,0.6949,4142000,0.3022,56762498000,0.6524,337859145000,150701324580
2023-06-30,188438325000,116702574000,6924545000,4529451000,0.9946,0.6175,0,0.2783,43091930000,0.8749,305140899000,148443905561.6
2023-03-31,166992722000,134982449000,6963271000,4287954000,1.138,0.553,0,0.2557,39656859000,0.9742,301975171000,176025388474.8
2022-12-31,167710253000,128085271000,6557802000,4833680000,1.0665,0.567,0,0.2557,38224094000,0.9097,295795524000,166177468231.2
2022-09-30,173428541000,122023016000,8930814000,5703407000,1.3355,0.587,0,0.2997,52262244000,1.1138,295451557000,248276461618.8
2022-06-30,190143161000,112152652000,8688969000,3992805000,1.1792,0.629,0,0.3285,53874854000,1.009,302295813000,195374819707.2
2022-03-31,182164669000,105900429000,5794251000,6199983000,1.0486,0.6324,0,0.335,47679782000,0.8596,288065098000,189733297557.6
2021-12-31,192208450000,96487092000,6179328000,4982639000,0.9353,0.6658,0,0.3411,50942032000,0.7959,288695542000,114689550931.8
2021-09-30,191137329000,88670454000,6107414000,5992357000,0.7886,0.6831,0,0.3575,41679639000,0.6279,279807783000,141302595899.4
2021-06-30,187828912000,81432859000,5268939000,3959228000,0.6556,0.6976,0,0.3784,40824392000,0.5188,269261771000,74867467161.6
2021-03-31,180178937000,77494550000,3990281000,3997837000,0.5876,0.6993,0,0.3863,42263993000,0.4718,257673487000,64470340262.16
2020-12-31,179127661000,79782380000,3979211000,3176540000,0.5689,0.6919,0,0.3678,34913441000,0.46,258910041000,48940200000
2020-09-30,139495587000,79424650000,7114242000,4060702000,0.9043,0.6372,0,0.3464,32773243000,0.7274,218920237000,45003600000
2020-06-30,135165811000,83205032000,7527449000,3566272000,0.8736,0.619,0,0.327,26686129000,0.6931,218370843000,42573600000
2020-03-31,135912580000,80974872000,8262159000,3565389000,0.9679,0.6267,0,0.3323,26934230000,0.7942,216887452000,42439818240
2019-12-31,124297241000,83524122000,4495398000,2717475000,0.8669,0.5981,0,0.2988,26133626000,0.7198,207821363000,51870888960
2019-09-30,114099867000,83473050000,4610044000,3043250000,1.0753,0.5775,0,0.2958,31676589000,0.806,197572917000,52312970400
2019-06-30,117420842000,84971803000,7085404000,4692136000,1.0997,0.5802,0,0.2896,30804917000,0.8541,202392645000,53393613920
2019-03-31,109305393000,87731713000,3783581000,2356109000,1.1889,0.5547,0,0.3075,31474882000,0.9661,197037106000,52116489760
2018-12-31,118726409000,84953491000,4728553000,2207641000,1.1152,0.5829,0,0.3114,33555869000,0.974,203679900000,43127500480
2018-09-30,112364047000,81879577000,0,2528186000,1.0724,0.5785,0,0.3156,31478676000,0.9074,194243624000,56586424320
2018-06-30,114285924000,79620131000,0,2510471000,1.0399,0.5894,0,0.3045,32327356000,0.8838,193906055000,64052688640
2018-03-31,115639233000,83713941000,4380920000,0,1.2042,0.5801,0,0.3077,34098519000,1.0534,199353174000,67638460320
2017-12-31,117605925000,77281366000,3845138000,0,1.047,0.6035,0,0.3027,31542621000,0.9369,194887291000,71322472320
2017-09-30,112823098000,75964429000,4077340000,0,1.1319,0.5976,0,0.3141,33601277000,1.0006,188787527000,64052688640
2017-06-30,97385689000,60389998000,2037959000,0,0.9393,0.6172,0,0.3088,22327548000,0.7982,157775687000,60123075840
2017-03-31,95794868000,55314178000,2776571000,0,0.8998,0.6339,0,0.3489,23980586000,0.7705,151109046000,55996982400
2016-12-31,94571353000,51051050000,2849858000,0,0.8191,0.6494,0,0.349,22453491000,0.7272,145622403000,53344493760
2016-09-30,94935708000,50536992000,3393580000,0,0.9426,0.6526,0,0.3565,27331757000,0.7665,145472700000,61154599200
