日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=49.0900,=49.0900,=49.0900,=49.0900,=888904145534.55,=523302594924.0,=476042714207.2901,,=0.0550
2026-07-02,=48.9200,=48.9200,=48.9200,=48.9200,=885825846395.4,=521490383860.0,=474394165390.5201,,=0.0552
2026-07-01,=49.5300,=49.5300,=49.5300,=49.5300,=896871508012.35,=527993023561.0,=480309546438.9301,,=0.0545
2026-06-30,=47.7400,=47.7400,=47.7400,=47.7400,=864458828841.3,=508911507062.0,=462951297132.9401,,=0.0566
2026-06-29,=48.6000,=48.6000,=48.6000,=48.6000,=880031400957.0,=518079163034.0,=471291014676.6001,,=0.0556
2026-06-26,=47.2300,=47.2300,=47.2300,=47.2300,=855223931423.85,=503474873870.0,=458005650682.6301,,=0.0572
2026-06-25,=49.3000,=49.3000,=49.3000,=49.3000,=892706750353.5,=525541208592.0,=478079156863.3,,=0.0548
2026-06-24,=49.1200,=49.1200,=49.1200,=49.1200,=889447374794.3999,=523622396877.0,=476333634586.7201,,=0.0550
2026-06-23,=50.4000,=50.4000,=50.4000,=50.4000,=912625156548.0,=537267280183.0,=488746237442.4001,,=0.0536
2026-06-22,=51.9800,=51.9800,=51.9800,=51.9800,=941235230900.1,=554110183014.0,=504068044092.3801,,=0.0519
2026-06-18,=49.3800,=49.3800,=49.3800,=49.3800,=894155361713.1001,=526394013799.0,=478854944541.7801,,=0.0547
2026-06-17,=52.7600,=52.7600,=52.7600,=52.7600,=955359191656.2,=562425033779.0,=511631973957.5601,,=0.0512
2026-06-16,=52.9900,=52.9900,=52.9900,=52.9900,=959523949315.05,=564876848748.0,=513862363533.1901,,=0.0510
2026-06-15,=54.2300,=54.2300,=54.2300,=54.2300,=981977425388.85,=578095329451.0,=525887072549.6301,,=0.0498
2026-06-12,=54.0100,=54.0100,=54.0100,=54.0100,=977993744149.95,=575750115133.0,=523753656433.8101,,=0.0500
2026-06-11,=52.6400,=52.6400,=52.6400,=52.6400,=953186274616.8,=561145825969.0,=510468292439.8401,,=0.0513
2026-06-10,=53.2200,=53.2200,=53.2200,=53.2200,=963688706973.9,=567328663717.0,=516092753108.8201,,=0.0507
2026-06-09,=53.9300,=53.9300,=53.9300,=53.9300,=976545132790.35,=574897309926.0,=522977868755.3301,,=0.0501
2026-06-08,=53.3800,=53.3800,=53.3800,=53.3800,=966585929693.1,=569034274131.0,=517644328465.7802,,=0.0506
2026-06-05,=53.4800,=53.4800,=53.4800,=53.4800,=968396693892.6,=570100280639.0,=518614063063.8801,,=0.0505
