date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,207050473597.68,4.4748,0.0899,10.8173,8.1805,5.3855,5.6910,0.0667,10.3778,7.8443,6.1879,0.0065,43.6757,0.5906,53.3588,41.1294,35.5462
2026-06-01,201716493828.0,4.3595,0.0572,10.8173,8.1877,5.3907,5.5444,0.0456,10.3778,7.8443,6.1923,0.0067,42.5506,0.5549,53.3588,41.1190,35.5462
2026-05-29,200254387698.24,4.3279,0.0534,10.8173,8.1898,5.3988,5.5042,0.0410,10.3778,7.8427,6.1923,0.0068,42.2422,0.5453,53.3588,41.0995,35.5458
2026-05-28,208350123490.8,4.5029,0.0965,10.8173,8.1917,5.4194,5.7267,0.0721,10.3778,7.8435,6.1926,0.0065,43.9499,0.6027,53.3588,41.0990,35.5458
2026-05-27,211463868026.4,4.5702,0.1131,10.8173,8.1938,5.4233,5.8123,0.0883,10.3778,7.8443,6.1932,0.0064,44.6067,0.6249,53.3588,41.0976,35.5458
2026-05-26,218978190341.52,4.7326,0.1426,10.8173,8.1967,5.4429,6.0188,0.1318,10.3778,7.8443,6.1932,0.0062,46.1918,0.6685,53.3588,41.0902,35.5403
2026-05-25,213427927109.57,4.6126,0.1194,10.8173,8.1997,5.4435,5.8663,0.0978,10.3778,7.8443,6.1962,0.0063,45.0210,0.6357,53.3588,41.0781,35.5280
2026-05-22,213861118386.21,4.6220,0.1213,10.8173,8.2054,5.4492,5.8782,0.1006,10.3778,7.8427,6.1973,0.0063,45.1124,0.6402,53.3588,41.0643,35.5182
2026-05-21,210558034901.83,4.5506,0.1077,10.8173,8.2057,5.4537,5.7874,0.0833,10.3778,7.8435,6.1985,0.0064,44.4156,0.6205,53.3588,41.0596,35.5182
2026-05-20,207823514968.04,4.4915,0.0937,10.8173,8.2061,5.4612,5.7122,0.0696,10.3778,7.8443,6.1991,0.0065,43.8388,0.5988,53.3588,41.0596,35.5182
