date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,3383368740,1.3422,94051225,-0.6418
2025-12-31,3705079904,1.2916,6681025417,-0.0721
2025-09-30,4401422555,1.3859,3930659054,0.0192
2025-06-30,5803359585,1.613,3020067332,0.6524
2025-03-31,5122609883,1.528,262550981,8.653
2024-12-31,5273934580,1.6566,7200440164,1.1367
2024-09-30,4249587517,1.1925,3856715362,1.6622
2024-06-30,2977578573,0.9205,1827740235,1.4423
2024-03-31,1679138802,0.644,27198894,-0.9014
2023-12-31,1864442128,0.7057,3369915897,0.0528
2023-09-30,1214822850,0.5588,1448720282,-0.31
2023-06-30,2272167508,0.9344,748367345,5.1362
2023-03-31,1778981478,0.8159,275714201,4.5341
2022-12-31,1542768397,0.7402,3200830471,0.8125
2022-09-30,1606429774,0.7729,2099652107,2.3371
2022-06-30,222156426,0.2975,-180932668,-1.4693
2022-03-31,546447325,0.3798,-78016309,-1.2821
2021-12-31,993196865,0.4798,1766024033,0.2035
2021-09-30,869570483,0.4728,629177327,0.0906
2021-06-30,896962020,0.4532,385499799,-0.2097
2021-03-31,1175812156,0.5942,276592197,0.8382
2020-12-31,1109920166,0.6726,1467347717,0.078
2020-09-30,1045698981,0.7388,576932681,0.0271
2020-06-30,1347695229,1.1874,487784300,1.4533
2020-03-31,1246636202,1.4129,150465138,6.0009
2019-12-31,1112383485,1.3475,1361181323,1.8882
2019-09-30,551440802,0.7756,561693380,2.023
2019-06-30,520095526,0.7144,198828821,2.5254
2019-03-31,296384413,0.5122,21492247,1.2275
2018-12-31,190802022,0.3899,471289818,-0.0415
2018-09-30,179867024,0.3171,185804020,-0.3892
2018-06-30,-81692737,0.104,-134894691,-1.5717
2018-03-31,183216187,0.3517,-94486215,-21.6972
2017-12-31,331948159,0.4505,491678218,0.1697
2017-09-30,391399230,0.5265,304205804,0.5694
2017-06-30,571881419,0.6608,235952321,13.468
2017-03-31,307347639,0.4087,4565160,-0.5436
2016-12-31,284045521,0.4289,420348137,-0.4757
2016-09-30,451100711,0.6453,193836438,-0.4941
2016-06-30,311592394,0.5571,-18924557,-1.0665
