日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=124.1200,=124.1200,=124.1200,=124.1200,=370343938078.6001,=306983544134.0,=306983544133.52,,=24.3857,,,,
2026-07-02,=121.3000,=121.3000,=121.3000,=121.3000,=361929742901.5,=300008893840.0,=300008893839.8,,=23.8317,,,,
2026-07-01,=125.2000,=125.2000,=125.2000,=125.2000,=373566395806.0,=309654686799.0,=309654686799.2,,=24.5979,,,,
2026-06-30,=124.5100,=124.5100,=124.5100,=124.5100,=371507603369.05,=307948123429.0,=307948123429.46,,=24.4623,,,,
2026-06-29,=126.1700,=126.1700,=126.1700,=126.1700,=376460640246.35,=312053768638.0,=312053768637.82,,=24.7885,,,,
2026-06-26,=118.1800,=118.1800,=118.1800,=118.1800,=352620420577.9,=292292259472.0,=292292259472.28,,=23.2187,,,,
2026-06-25,=117.2200,=117.2200,=117.2200,=117.2200,=349756013709.1,=289917910436.0,=289917910436.12,,=23.0301,,,,
2026-06-24,=115.4000,=115.4000,=115.4000,=115.4000,=344325575687.0,=285416540388.0,=285416540388.4,,=22.6725,,,,
2026-06-23,=106.3100,=106.3100,=106.3100,=106.3100,=317203223148.05,=262934422952.0,=262934422952.26,,=20.8866,,,,
2026-06-22,=106.8300,=106.8300,=106.8300,=106.8300,=318754776868.65,=264220528680.0,=264220528680.18,,=20.9888,,,,
2026-06-18,=102.7200,=102.7200,=102.7200,=102.7200,=306491534961.6,=254055346869.0,=254055346869.12,,=20.1813,,,,
2026-06-17,=98.2000,=98.2000,=98.2000,=98.2000,=293004952621.0,=242876120157.0,=242876120157.2,,=19.2933,,,,
2026-06-16,=98.1600,=98.1600,=98.1600,=98.1600,=292885602334.8,=242777188947.0,=242777188947.36,,=19.2854,,,,
