date,stockCode,成交量
2025-04-16T00:00:00+08:00,002475,181417800
2025-04-17T00:00:00+08:00,002475,100329300
2025-04-18T00:00:00+08:00,002475,99219900
2025-04-21T00:00:00+08:00,002475,119343600
2025-04-22T00:00:00+08:00,002475,103146000
2025-04-23T00:00:00+08:00,002475,201335400
2025-04-24T00:00:00+08:00,002475,107500100
2025-04-25T00:00:00+08:00,002475,162430400
2025-04-28T00:00:00+08:00,002475,100914600
2025-04-29T00:00:00+08:00,002475,88706600
2025-04-30T00:00:00+08:00,002475,123844300
2025-05-06T00:00:00+08:00,002475,137657700
2025-05-07T00:00:00+08:00,002475,163862700
2025-05-08T00:00:00+08:00,002475,210253600
2025-05-09T00:00:00+08:00,002475,131228000
2025-05-12T00:00:00+08:00,002475,275246600
2025-05-13T00:00:00+08:00,002475,286919600
2025-05-14T00:00:00+08:00,002475,182208000
2025-05-15T00:00:00+08:00,002475,119460100
2025-05-16T00:00:00+08:00,002475,83902800
2025-05-19T00:00:00+08:00,002475,103206100
2025-05-20T00:00:00+08:00,002475,95218100
2025-05-21T00:00:00+08:00,002475,95979400
2025-05-22T00:00:00+08:00,002475,67868300
2025-05-23T00:00:00+08:00,002475,94013500
2025-05-26T00:00:00+08:00,002475,110267900
2025-05-27T00:00:00+08:00,002475,98797800
2025-05-28T00:00:00+08:00,002475,66241300
2025-05-29T00:00:00+08:00,002475,148791300
2025-05-30T00:00:00+08:00,002475,110852100
2025-06-03T00:00:00+08:00,002475,58999300
2025-06-04T00:00:00+08:00,002475,83923900
2025-06-05T00:00:00+08:00,002475,142089300
2025-06-06T00:00:00+08:00,002475,85342300
2025-06-09T00:00:00+08:00,002475,96008200
2025-06-10T00:00:00+08:00,002475,119822200
2025-06-11T00:00:00+08:00,002475,98954000
2025-06-12T00:00:00+08:00,002475,71827300
2025-06-13T00:00:00+08:00,002475,80057500
2025-06-16T00:00:00+08:00,002475,96095800
2025-06-17T00:00:00+08:00,002475,153613100
2025-06-18T00:00:00+08:00,002475,118317500
2025-06-19T00:00:00+08:00,002475,106169200
2025-06-20T00:00:00+08:00,002475,119142700
2025-06-23T00:00:00+08:00,002475,93648700
2025-06-24T00:00:00+08:00,002475,100540600
2025-06-25T00:00:00+08:00,002475,104900800
2025-06-26T00:00:00+08:00,002475,83772500
2025-06-27T00:00:00+08:00,002475,154936400
2025-06-30T00:00:00+08:00,002475,126686300
2025-07-01T00:00:00+08:00,002475,78165800
2025-07-02T00:00:00+08:00,002475,71185800
2025-07-03T00:00:00+08:00,002475,191836300
2025-07-04T00:00:00+08:00,002475,86384600
2025-07-07T00:00:00+08:00,002475,88363300
2025-07-08T00:00:00+08:00,002475,88517200
2025-07-09T00:00:00+08:00,002475,84498700
2025-07-10T00:00:00+08:00,002475,83702400
2025-07-11T00:00:00+08:00,002475,80263500
2025-07-14T00:00:00+08:00,002475,50633100
2025-07-15T00:00:00+08:00,002475,145528700
2025-07-16T00:00:00+08:00,002475,118652500
2025-07-17T00:00:00+08:00,002475,169445300
2025-07-18T00:00:00+08:00,002475,135944100
2025-07-21T00:00:00+08:00,002475,102689900
2025-07-22T00:00:00+08:00,002475,91418800
2025-07-23T00:00:00+08:00,002475,68221900
2025-07-24T00:00:00+08:00,002475,98031500
2025-07-25T00:00:00+08:00,002475,81962700
2025-07-28T00:00:00+08:00,002475,93740800
2025-07-29T00:00:00+08:00,002475,95294000
2025-07-30T00:00:00+08:00,002475,92427300
2025-07-31T00:00:00+08:00,002475,100622200
2025-08-01T00:00:00+08:00,002475,75000400
2025-08-04T00:00:00+08:00,002475,80242600
2025-08-05T00:00:00+08:00,002475,56864800
2025-08-06T00:00:00+08:00,002475,63985400
2025-08-07T00:00:00+08:00,002475,183170500
2025-08-08T00:00:00+08:00,002475,74280400
2025-08-11T00:00:00+08:00,002475,141479700
2025-08-12T00:00:00+08:00,002475,76452600
2025-08-13T00:00:00+08:00,002475,105807000
2025-08-14T00:00:00+08:00,002475,97923500
2025-08-15T00:00:00+08:00,002475,87417000
2025-08-18T00:00:00+08:00,002475,153895900
2025-08-19T00:00:00+08:00,002475,108849600
2025-08-20T00:00:00+08:00,002475,132784700
2025-08-21T00:00:00+08:00,002475,200684400
2025-08-22T00:00:00+08:00,002475,140167300
2025-08-25T00:00:00+08:00,002475,152354500
2025-08-26T00:00:00+08:00,002475,222322000
2025-08-27T00:00:00+08:00,002475,200969000
2025-08-28T00:00:00+08:00,002475,165324100
2025-08-29T00:00:00+08:00,002475,173029400
2025-09-01T00:00:00+08:00,002475,140621000
2025-09-02T00:00:00+08:00,002475,148018300
2025-09-03T00:00:00+08:00,002475,100889900
2025-09-04T00:00:00+08:00,002475,200637700
2025-09-05T00:00:00+08:00,002475,228191500
2025-09-08T00:00:00+08:00,002475,289125500
2025-09-09T00:00:00+08:00,002475,188129300
2025-09-10T00:00:00+08:00,002475,201877300
2025-09-11T00:00:00+08:00,002475,284214400
2025-09-12T00:00:00+08:00,002475,425849200
2025-09-15T00:00:00+08:00,002475,249499800
2025-09-16T00:00:00+08:00,002475,200349000
2025-09-17T00:00:00+08:00,002475,194955200
2025-09-18T00:00:00+08:00,002475,315536200
2025-09-19T00:00:00+08:00,002475,319704000
2025-09-22T00:00:00+08:00,002475,90279400
2025-09-23T00:00:00+08:00,002475,554123900
2025-09-24T00:00:00+08:00,002475,451635600
2025-09-25T00:00:00+08:00,002475,331771500
2025-09-26T00:00:00+08:00,002475,332090900
2025-09-29T00:00:00+08:00,002475,262852500
2025-09-30T00:00:00+08:00,002475,229529100
2025-10-09T00:00:00+08:00,002475,261651000
2025-10-10T00:00:00+08:00,002475,260955100
2025-10-13T00:00:00+08:00,002475,267290300
2025-10-14T00:00:00+08:00,002475,248599100
2025-10-15T00:00:00+08:00,002475,242527400
2025-10-16T00:00:00+08:00,002475,256325500
2025-10-17T00:00:00+08:00,002475,179240200
2025-10-20T00:00:00+08:00,002475,162519600
2025-10-21T00:00:00+08:00,002475,292936600
2025-10-22T00:00:00+08:00,002475,132425000
2025-10-23T00:00:00+08:00,002475,109741000
2025-10-24T00:00:00+08:00,002475,234445800
2025-10-27T00:00:00+08:00,002475,233992100
2025-10-28T00:00:00+08:00,002475,142632800
2025-10-29T00:00:00+08:00,002475,180052800
2025-10-30T00:00:00+08:00,002475,178788400
2025-10-31T00:00:00+08:00,002475,173415200
2025-11-03T00:00:00+08:00,002475,140414300
2025-11-04T00:00:00+08:00,002475,128990600
2025-11-05T00:00:00+08:00,002475,112172900
2025-11-06T00:00:00+08:00,002475,132471300
2025-11-07T00:00:00+08:00,002475,105363400
2025-11-10T00:00:00+08:00,002475,153527600
2025-11-11T00:00:00+08:00,002475,108489700
2025-11-12T00:00:00+08:00,002475,135717500
2025-11-13T00:00:00+08:00,002475,93995300
2025-11-14T00:00:00+08:00,002475,101754400
2025-11-17T00:00:00+08:00,002475,74185600
2025-11-18T00:00:00+08:00,002475,105402900
2025-11-19T00:00:00+08:00,002475,93533000
2025-11-20T00:00:00+08:00,002475,95981200
2025-11-21T00:00:00+08:00,002475,149999600
2025-11-24T00:00:00+08:00,002475,95703000
2025-11-25T00:00:00+08:00,002475,145076000
2025-11-26T00:00:00+08:00,002475,159153900
2025-11-27T00:00:00+08:00,002475,126380400
2025-11-28T00:00:00+08:00,002475,96257800
2025-12-01T00:00:00+08:00,002475,137736200
2025-12-02T00:00:00+08:00,002475,181396500
2025-12-03T00:00:00+08:00,002475,108086600
2025-12-04T00:00:00+08:00,002475,103890900
