date,stockCode,融资偿还金额
2025-04-16T00:00:00+08:00,000333,103043286
2025-04-17T00:00:00+08:00,000333,81499586
2025-04-18T00:00:00+08:00,000333,97592126
2025-04-21T00:00:00+08:00,000333,83534414
2025-04-22T00:00:00+08:00,000333,75635265
2025-04-23T00:00:00+08:00,000333,58041258
2025-04-24T00:00:00+08:00,000333,103677421
2025-04-25T00:00:00+08:00,000333,66768025
2025-04-28T00:00:00+08:00,000333,72483801
2025-04-29T00:00:00+08:00,000333,125605944
2025-04-30T00:00:00+08:00,000333,171185238
2025-05-06T00:00:00+08:00,000333,97534645
2025-05-07T00:00:00+08:00,000333,123380403
2025-05-08T00:00:00+08:00,000333,111127183
2025-05-09T00:00:00+08:00,000333,107216537
2025-05-12T00:00:00+08:00,000333,105896083
2025-05-13T00:00:00+08:00,000333,74639116
2025-05-14T00:00:00+08:00,000333,116335550
2025-05-15T00:00:00+08:00,000333,62687295
2025-05-16T00:00:00+08:00,000333,85324894
2025-05-19T00:00:00+08:00,000333,100260478
2025-05-20T00:00:00+08:00,000333,117047651
2025-05-21T00:00:00+08:00,000333,70963466
2025-05-22T00:00:00+08:00,000333,111528984
2025-05-23T00:00:00+08:00,000333,107680727
2025-05-26T00:00:00+08:00,000333,84005172
2025-05-27T00:00:00+08:00,000333,49769516
2025-05-28T00:00:00+08:00,000333,93600131
2025-05-29T00:00:00+08:00,000333,82932306
2025-05-30T00:00:00+08:00,000333,92516456
2025-06-03T00:00:00+08:00,000333,112453133
2025-06-04T00:00:00+08:00,000333,103146470
2025-06-05T00:00:00+08:00,000333,96073698
2025-06-06T00:00:00+08:00,000333,81550975
2025-06-09T00:00:00+08:00,000333,138332130
2025-06-10T00:00:00+08:00,000333,121263287
2025-06-11T00:00:00+08:00,000333,90709911
2025-06-12T00:00:00+08:00,000333,160196435
2025-06-13T00:00:00+08:00,000333,88463713
2025-06-16T00:00:00+08:00,000333,66640108
2025-06-17T00:00:00+08:00,000333,101013674
2025-06-18T00:00:00+08:00,000333,58917417
2025-06-19T00:00:00+08:00,000333,73237956
2025-06-20T00:00:00+08:00,000333,107701267
2025-06-23T00:00:00+08:00,000333,52219955
2025-06-24T00:00:00+08:00,000333,113143862
2025-06-25T00:00:00+08:00,000333,126451248
2025-06-26T00:00:00+08:00,000333,70433311
2025-06-27T00:00:00+08:00,000333,85764900
2025-06-30T00:00:00+08:00,000333,69805347
2025-07-01T00:00:00+08:00,000333,90780694
2025-07-02T00:00:00+08:00,000333,107470558
2025-07-03T00:00:00+08:00,000333,100702398
2025-07-04T00:00:00+08:00,000333,151135528
2025-07-07T00:00:00+08:00,000333,103956589
2025-07-08T00:00:00+08:00,000333,126498301
2025-07-09T00:00:00+08:00,000333,120112382
2025-07-10T00:00:00+08:00,000333,122010496
2025-07-11T00:00:00+08:00,000333,211867623
2025-07-14T00:00:00+08:00,000333,121078466
2025-07-15T00:00:00+08:00,000333,91742084
2025-07-16T00:00:00+08:00,000333,82603585
2025-07-17T00:00:00+08:00,000333,103344193
2025-07-18T00:00:00+08:00,000333,104901822
2025-07-21T00:00:00+08:00,000333,100417087
2025-07-22T00:00:00+08:00,000333,199029962
2025-07-23T00:00:00+08:00,000333,178653551
2025-07-24T00:00:00+08:00,000333,140501597
2025-07-25T00:00:00+08:00,000333,115953861
2025-07-28T00:00:00+08:00,000333,149681839
2025-07-29T00:00:00+08:00,000333,183836087
2025-07-30T00:00:00+08:00,000333,284539634
2025-07-31T00:00:00+08:00,000333,196447239
2025-08-01T00:00:00+08:00,000333,138884828
2025-08-04T00:00:00+08:00,000333,82365056
2025-08-05T00:00:00+08:00,000333,149434999
2025-08-06T00:00:00+08:00,000333,158012785
2025-08-07T00:00:00+08:00,000333,97439850
2025-08-08T00:00:00+08:00,000333,75377307
2025-08-11T00:00:00+08:00,000333,87131959
2025-08-12T00:00:00+08:00,000333,125143261
2025-08-13T00:00:00+08:00,000333,115325463
2025-08-14T00:00:00+08:00,000333,240677714
2025-08-15T00:00:00+08:00,000333,146745778
2025-08-18T00:00:00+08:00,000333,191198556
