date,stockCode,PE-TTM
2025-04-16T00:00:00+08:00,002475,16.948
2025-04-17T00:00:00+08:00,002475,16.8735
2025-04-18T00:00:00+08:00,002475,17.1542
2025-04-21T00:00:00+08:00,002475,17.6811
2025-04-22T00:00:00+08:00,002475,17.3547
2025-04-23T00:00:00+08:00,002475,18.0592
2025-04-24T00:00:00+08:00,002475,17.6181
2025-04-25T00:00:00+08:00,002475,18.105
2025-04-28T00:00:00+08:00,002475,16.093
2025-04-29T00:00:00+08:00,002475,15.8746
2025-04-30T00:00:00+08:00,002475,16.041
2025-05-06T00:00:00+08:00,002475,16.5401
2025-05-07T00:00:00+08:00,002475,16.3893
2025-05-08T00:00:00+08:00,002475,17.0237
2025-05-09T00:00:00+08:00,002475,16.6805
2025-05-12T00:00:00+08:00,002475,17.7413
2025-05-13T00:00:00+08:00,002475,17.5749
2025-05-14T00:00:00+08:00,002475,17.4293
2025-05-15T00:00:00+08:00,002475,16.9821
2025-05-16T00:00:00+08:00,002475,16.8989
2025-05-19T00:00:00+08:00,002475,16.7585
2025-05-20T00:00:00+08:00,002475,16.9509
2025-05-21T00:00:00+08:00,002475,16.7013
2025-05-22T00:00:00+08:00,002475,16.5193
2025-05-23T00:00:00+08:00,002475,16.2749
2025-05-26T00:00:00+08:00,002475,16.2437
2025-05-27T00:00:00+08:00,002475,15.8694
2025-05-28T00:00:00+08:00,002475,15.8018
2025-05-29T00:00:00+08:00,002475,16.3321
2025-05-30T00:00:00+08:00,002475,15.807
2025-06-03T00:00:00+08:00,002475,15.7654
2025-06-04T00:00:00+08:00,002475,16.015
2025-06-05T00:00:00+08:00,002475,16.4465
2025-06-06T00:00:00+08:00,002475,16.2853
2025-06-09T00:00:00+08:00,002475,16.6025
2025-06-10T00:00:00+08:00,002475,16.5245
2025-06-11T00:00:00+08:00,002475,16.6233
2025-06-12T00:00:00+08:00,002475,16.5557
2025-06-13T00:00:00+08:00,002475,16.2489
2025-06-16T00:00:00+08:00,002475,16.5921
2025-06-17T00:00:00+08:00,002475,16.9873
2025-06-18T00:00:00+08:00,002475,17.1277
2025-06-19T00:00:00+08:00,002475,17.0133
