date,stockCode,公司收益率
2025-04-16T00:00:00+08:00,000333,0.1211
2025-04-17T00:00:00+08:00,000333,0.1212
2025-04-18T00:00:00+08:00,000333,0.1213
2025-04-21T00:00:00+08:00,000333,0.1201
2025-04-22T00:00:00+08:00,000333,0.1192
2025-04-23T00:00:00+08:00,000333,0.1189
2025-04-24T00:00:00+08:00,000333,0.1161
2025-04-25T00:00:00+08:00,000333,0.1166
2025-04-28T00:00:00+08:00,000333,0.1154
2025-04-29T00:00:00+08:00,000333,0.1131
2025-04-30T00:00:00+08:00,000333,0.1191
2025-05-06T00:00:00+08:00,000333,0.1181
2025-05-07T00:00:00+08:00,000333,0.1174
2025-05-08T00:00:00+08:00,000333,0.116
2025-05-09T00:00:00+08:00,000333,0.1142
2025-05-12T00:00:00+08:00,000333,0.1125
2025-05-13T00:00:00+08:00,000333,0.1114
2025-05-14T00:00:00+08:00,000333,0.1115
2025-05-15T00:00:00+08:00,000333,0.1127
2025-05-16T00:00:00+08:00,000333,0.1125
2025-05-19T00:00:00+08:00,000333,0.1104
2025-05-20T00:00:00+08:00,000333,0.1083
2025-05-21T00:00:00+08:00,000333,0.108
2025-05-22T00:00:00+08:00,000333,0.1069
2025-05-23T00:00:00+08:00,000333,0.1078
2025-05-26T00:00:00+08:00,000333,0.1091
2025-05-27T00:00:00+08:00,000333,0.1086
2025-05-28T00:00:00+08:00,000333,0.107
2025-05-29T00:00:00+08:00,000333,0.1077
2025-05-30T00:00:00+08:00,000333,0.1076
2025-06-03T00:00:00+08:00,000333,0.114
2025-06-04T00:00:00+08:00,000333,0.1147
2025-06-05T00:00:00+08:00,000333,0.1154
2025-06-06T00:00:00+08:00,000333,0.1139
2025-06-09T00:00:00+08:00,000333,0.1146
2025-06-10T00:00:00+08:00,000333,0.1154
2025-06-11T00:00:00+08:00,000333,0.1144
2025-06-12T00:00:00+08:00,000333,0.1221
2025-06-13T00:00:00+08:00,000333,0.1239
2025-06-16T00:00:00+08:00,000333,0.1245
2025-06-17T00:00:00+08:00,000333,0.1224
2025-06-18T00:00:00+08:00,000333,0.1223
2025-06-19T00:00:00+08:00,000333,0.1243
2025-06-20T00:00:00+08:00,000333,0.1216
2025-06-23T00:00:00+08:00,000333,0.1233
2025-06-24T00:00:00+08:00,000333,0.1209
2025-06-25T00:00:00+08:00,000333,0.122
2025-06-26T00:00:00+08:00,000333,0.1201
2025-06-27T00:00:00+08:00,000333,0.1221
2025-06-30T00:00:00+08:00,000333,0.1223
2025-07-01T00:00:00+08:00,000333,0.1226
2025-07-02T00:00:00+08:00,000333,0.1216
2025-07-03T00:00:00+08:00,000333,0.1206
2025-07-04T00:00:00+08:00,000333,0.1192
2025-07-07T00:00:00+08:00,000333,0.1215
2025-07-08T00:00:00+08:00,000333,0.1223
2025-07-09T00:00:00+08:00,000333,0.1233
2025-07-10T00:00:00+08:00,000333,0.1237
2025-07-11T00:00:00+08:00,000333,0.1216
2025-07-14T00:00:00+08:00,000333,0.1201
2025-07-15T00:00:00+08:00,000333,0.1199
2025-07-16T00:00:00+08:00,000333,0.1206
