date,stockCode,PS-TTM
2025-10-27T00:00:00+08:00,002475,1.6439
2025-10-28T00:00:00+08:00,002475,1.6253
2025-10-29T00:00:00+08:00,002475,1.6911
2025-10-30T00:00:00+08:00,002475,1.6348
2025-10-31T00:00:00+08:00,002475,1.4679
2025-11-03T00:00:00+08:00,002475,1.466
2025-11-04T00:00:00+08:00,002475,1.4105
2025-11-05T00:00:00+08:00,002475,1.4208
2025-11-06T00:00:00+08:00,002475,1.4366
2025-11-07T00:00:00+08:00,002475,1.3956
2025-11-10T00:00:00+08:00,002475,1.3607
2025-11-11T00:00:00+08:00,002475,1.3162
2025-11-12T00:00:00+08:00,002475,1.346
2025-11-13T00:00:00+08:00,002475,1.3369
2025-11-14T00:00:00+08:00,002475,1.3166
2025-11-17T00:00:00+08:00,002475,1.3176
2025-11-18T00:00:00+08:00,002475,1.319
2025-11-19T00:00:00+08:00,002475,1.3222
2025-11-20T00:00:00+08:00,002475,1.2989
2025-11-21T00:00:00+08:00,002475,1.2314
2025-11-24T00:00:00+08:00,002475,1.2407
2025-11-25T00:00:00+08:00,002475,1.2978
2025-11-26T00:00:00+08:00,002475,1.342
2025-11-27T00:00:00+08:00,002475,1.3271
2025-11-28T00:00:00+08:00,002475,1.3462
2025-12-01T00:00:00+08:00,002475,1.3656
2025-12-02T00:00:00+08:00,002475,1.398
2025-12-03T00:00:00+08:00,002475,1.3705
2025-12-04T00:00:00+08:00,002475,1.3893
2025-12-05T00:00:00+08:00,002475,1.3805
2025-12-08T00:00:00+08:00,002475,1.3998
2025-12-09T00:00:00+08:00,002475,1.4119
2025-12-10T00:00:00+08:00,002475,1.387
2025-12-11T00:00:00+08:00,002475,1.3572
2025-12-12T00:00:00+08:00,002475,1.4068
2025-12-15T00:00:00+08:00,002475,1.3365
2025-12-16T00:00:00+08:00,002475,1.3358
2025-12-17T00:00:00+08:00,002475,1.3667
2025-12-18T00:00:00+08:00,002475,1.3276
2025-12-19T00:00:00+08:00,002475,1.3229
2025-12-22T00:00:00+08:00,002475,1.3451
2025-12-23T00:00:00+08:00,002475,1.3525
2025-12-24T00:00:00+08:00,002475,1.3814
2025-12-25T00:00:00+08:00,002475,1.3847
2025-12-26T00:00:00+08:00,002475,1.3607
2025-12-29T00:00:00+08:00,002475,1.3565
2025-12-30T00:00:00+08:00,002475,1.353
