date,stockCode,PB
2025-04-16T00:00:00+08:00,002475,3.3457
2025-04-17T00:00:00+08:00,002475,3.331
2025-04-18T00:00:00+08:00,002475,3.3864
2025-04-21T00:00:00+08:00,002475,3.4905
2025-04-22T00:00:00+08:00,002475,3.426
2025-04-23T00:00:00+08:00,002475,3.5651
2025-04-24T00:00:00+08:00,002475,3.478
2025-04-25T00:00:00+08:00,002475,3.5741
2025-04-28T00:00:00+08:00,002475,3.1156
2025-04-29T00:00:00+08:00,002475,3.0733
2025-04-30T00:00:00+08:00,002475,3.1055
2025-05-06T00:00:00+08:00,002475,3.2022
2025-05-07T00:00:00+08:00,002475,3.173
2025-05-08T00:00:00+08:00,002475,3.2958
2025-05-09T00:00:00+08:00,002475,3.2293
2025-05-12T00:00:00+08:00,002475,3.4347
2025-05-13T00:00:00+08:00,002475,3.4025
2025-05-14T00:00:00+08:00,002475,3.3743
2025-05-15T00:00:00+08:00,002475,3.2877
2025-05-16T00:00:00+08:00,002475,3.2716
2025-05-19T00:00:00+08:00,002475,3.2444
2025-05-20T00:00:00+08:00,002475,3.2817
2025-05-21T00:00:00+08:00,002475,3.2334
2025-05-22T00:00:00+08:00,002475,3.1981
2025-05-23T00:00:00+08:00,002475,3.1508
2025-05-26T00:00:00+08:00,002475,3.1448
2025-05-27T00:00:00+08:00,002475,3.0723
2025-05-28T00:00:00+08:00,002475,3.0592
2025-05-29T00:00:00+08:00,002475,3.1619
2025-05-30T00:00:00+08:00,002475,3.0602
2025-06-03T00:00:00+08:00,002475,3.0522
2025-06-04T00:00:00+08:00,002475,3.1005
2025-06-05T00:00:00+08:00,002475,3.184
2025-06-06T00:00:00+08:00,002475,3.1528
2025-06-09T00:00:00+08:00,002475,3.2142
2025-06-10T00:00:00+08:00,002475,3.1991
2025-06-11T00:00:00+08:00,002475,3.2183
2025-06-12T00:00:00+08:00,002475,3.2052
2025-06-13T00:00:00+08:00,002475,3.1458
2025-06-16T00:00:00+08:00,002475,3.2122
2025-06-17T00:00:00+08:00,002475,3.2887
2025-06-18T00:00:00+08:00,002475,3.3159
2025-06-19T00:00:00+08:00,002475,3.2938
2025-06-20T00:00:00+08:00,002475,3.3431
2025-06-23T00:00:00+08:00,002475,3.3411
2025-06-24T00:00:00+08:00,002475,3.3451
2025-06-25T00:00:00+08:00,002475,3.3461
2025-06-26T00:00:00+08:00,002475,3.3189
2025-06-27T00:00:00+08:00,002475,3.4095
2025-06-30T00:00:00+08:00,002475,3.494
2025-07-01T00:00:00+08:00,002475,3.496
2025-07-02T00:00:00+08:00,002475,3.4164
2025-07-03T00:00:00+08:00,002475,3.6028
2025-07-04T00:00:00+08:00,002475,3.5544
2025-07-07T00:00:00+08:00,002475,3.5003
2025-07-08T00:00:00+08:00,002475,3.5618
2025-07-09T00:00:00+08:00,002475,3.5557
2025-07-10T00:00:00+08:00,002475,3.6021
2025-07-11T00:00:00+08:00,002475,3.6021
2025-07-14T00:00:00+08:00,002475,3.635
2025-07-15T00:00:00+08:00,002475,3.7809
2025-07-16T00:00:00+08:00,002475,3.8087
2025-07-17T00:00:00+08:00,002475,4.0503
2025-07-18T00:00:00+08:00,002475,3.9814
2025-07-21T00:00:00+08:00,002475,3.9742
2025-07-22T00:00:00+08:00,002475,3.9156
2025-07-23T00:00:00+08:00,002475,3.9022
2025-07-24T00:00:00+08:00,002475,3.893
2025-07-25T00:00:00+08:00,002475,3.9403
2025-07-28T00:00:00+08:00,002475,3.8817
2025-07-29T00:00:00+08:00,002475,3.8622
2025-07-30T00:00:00+08:00,002475,3.8796
2025-07-31T00:00:00+08:00,002475,3.7655
2025-08-01T00:00:00+08:00,002475,3.7666
2025-08-04T00:00:00+08:00,002475,3.7254
2025-08-05T00:00:00+08:00,002475,3.7491
2025-08-06T00:00:00+08:00,002475,3.7223
2025-08-07T00:00:00+08:00,002475,3.8056
2025-08-08T00:00:00+08:00,002475,3.746
2025-08-11T00:00:00+08:00,002475,3.9074
2025-08-12T00:00:00+08:00,002475,3.9238
2025-08-13T00:00:00+08:00,002475,3.9423
2025-08-14T00:00:00+08:00,002475,3.9557
2025-08-15T00:00:00+08:00,002475,3.967
2025-08-18T00:00:00+08:00,002475,4.0698
2025-08-19T00:00:00+08:00,002475,4.0194
2025-08-20T00:00:00+08:00,002475,4.1171
2025-08-21T00:00:00+08:00,002475,4.3371
2025-08-22T00:00:00+08:00,002475,4.3895
2025-08-25T00:00:00+08:00,002475,4.4152
2025-08-26T00:00:00+08:00,002475,4.457
2025-08-27T00:00:00+08:00,002475,4.3964
2025-08-28T00:00:00+08:00,002475,4.5059
2025-08-29T00:00:00+08:00,002475,4.4942
2025-09-01T00:00:00+08:00,002475,4.4248
2025-09-02T00:00:00+08:00,002475,4.2811
2025-09-03T00:00:00+08:00,002475,4.2244
2025-09-04T00:00:00+08:00,002475,4.3388
2025-09-05T00:00:00+08:00,002475,4.6134
2025-09-08T00:00:00+08:00,002475,4.8626
2025-09-09T00:00:00+08:00,002475,4.6633
2025-09-10T00:00:00+08:00,002475,4.7004
2025-09-11T00:00:00+08:00,002475,5.1705
2025-09-12T00:00:00+08:00,002475,5.152
