date,stockCode,成交金额
2025-04-16T00:00:00+08:00,000333,1890971340
2025-04-17T00:00:00+08:00,000333,1388823325
2025-04-18T00:00:00+08:00,000333,1094653676
2025-04-21T00:00:00+08:00,000333,1262930782
2025-04-22T00:00:00+08:00,000333,1626765493
2025-04-23T00:00:00+08:00,000333,1627423197
2025-04-24T00:00:00+08:00,000333,1684714693
2025-04-25T00:00:00+08:00,000333,1244078508
2025-04-28T00:00:00+08:00,000333,1755320152
2025-04-29T00:00:00+08:00,000333,1733740168
2025-04-30T00:00:00+08:00,000333,3548715615
2025-05-06T00:00:00+08:00,000333,2556249632
2025-05-07T00:00:00+08:00,000333,2239595605
2025-05-08T00:00:00+08:00,000333,2081094569
2025-05-09T00:00:00+08:00,000333,1861536387
2025-05-12T00:00:00+08:00,000333,2078979154
2025-05-13T00:00:00+08:00,000333,1963341233
2025-05-14T00:00:00+08:00,000333,2248759306
2025-05-15T00:00:00+08:00,000333,1571335906
2025-05-16T00:00:00+08:00,000333,1819974356
2025-05-19T00:00:00+08:00,000333,2031022754
2025-05-20T00:00:00+08:00,000333,2184604655
2025-05-21T00:00:00+08:00,000333,1619842976
2025-05-22T00:00:00+08:00,000333,1850376659
2025-05-23T00:00:00+08:00,000333,2385953118
2025-05-26T00:00:00+08:00,000333,1893696279
2025-05-27T00:00:00+08:00,000333,1620472097
2025-05-28T00:00:00+08:00,000333,1911343092
2025-05-29T00:00:00+08:00,000333,1988440748
2025-05-30T00:00:00+08:00,000333,1703126097
2025-06-03T00:00:00+08:00,000333,4293054877
2025-06-04T00:00:00+08:00,000333,2790934593
2025-06-05T00:00:00+08:00,000333,1776718063
2025-06-06T00:00:00+08:00,000333,2081019011
2025-06-09T00:00:00+08:00,000333,3500234348
2025-06-10T00:00:00+08:00,000333,2433498302
2025-06-11T00:00:00+08:00,000333,1986827774
2025-06-12T00:00:00+08:00,000333,2510413458
2025-06-13T00:00:00+08:00,000333,2148718105
2025-06-16T00:00:00+08:00,000333,1784037774
2025-06-17T00:00:00+08:00,000333,2362020250
2025-06-18T00:00:00+08:00,000333,1265648159
2025-06-19T00:00:00+08:00,000333,1512893148
2025-06-20T00:00:00+08:00,000333,1655767156
2025-06-23T00:00:00+08:00,000333,1510951196
2025-06-24T00:00:00+08:00,000333,1971805636
2025-06-25T00:00:00+08:00,000333,667286321
2025-06-26T00:00:00+08:00,000333,1658102065
2025-06-27T00:00:00+08:00,000333,1623349472
2025-06-30T00:00:00+08:00,000333,1394828333
2025-07-01T00:00:00+08:00,000333,1341760455
2025-07-02T00:00:00+08:00,000333,1929453681
2025-07-03T00:00:00+08:00,000333,1304399831
2025-07-04T00:00:00+08:00,000333,1548790547
2025-07-07T00:00:00+08:00,000333,1567324871
2025-07-08T00:00:00+08:00,000333,1856483047
2025-07-09T00:00:00+08:00,000333,1958489420
2025-07-10T00:00:00+08:00,000333,1656983409
2025-07-11T00:00:00+08:00,000333,2324470998
2025-07-14T00:00:00+08:00,000333,1702246963
2025-07-15T00:00:00+08:00,000333,1821265543
2025-07-16T00:00:00+08:00,000333,1514278424
2025-07-17T00:00:00+08:00,000333,1804135157
2025-07-18T00:00:00+08:00,000333,1596482224
2025-07-21T00:00:00+08:00,000333,2244011063
2025-07-22T00:00:00+08:00,000333,2602924271
2025-07-23T00:00:00+08:00,000333,2718700800
2025-07-24T00:00:00+08:00,000333,2134051794
2025-07-25T00:00:00+08:00,000333,1780421843
2025-07-28T00:00:00+08:00,000333,2725637108
2025-07-29T00:00:00+08:00,000333,2843589788
2025-07-30T00:00:00+08:00,000333,2964849148
2025-07-31T00:00:00+08:00,000333,4895784250
2025-08-01T00:00:00+08:00,000333,2019147913
2025-08-04T00:00:00+08:00,000333,1398398728
2025-08-05T00:00:00+08:00,000333,1365340860
2025-08-06T00:00:00+08:00,000333,1583549584
2025-08-07T00:00:00+08:00,000333,1456650768
2025-08-08T00:00:00+08:00,000333,1439938213
2025-08-11T00:00:00+08:00,000333,1282650770
2025-08-12T00:00:00+08:00,000333,1734351324
2025-08-13T00:00:00+08:00,000333,1827058280
2025-08-14T00:00:00+08:00,000333,3301054398
2025-08-15T00:00:00+08:00,000333,1980637245
2025-08-18T00:00:00+08:00,000333,3906936963
2025-08-19T00:00:00+08:00,000333,3916336802
2025-08-20T00:00:00+08:00,000333,2901846346
2025-08-21T00:00:00+08:00,000333,2436115382
2025-08-22T00:00:00+08:00,000333,2814332706
2025-08-25T00:00:00+08:00,000333,5110086586
2025-08-26T00:00:00+08:00,000333,3417986336
