date,stockCode,涨跌幅
2025-04-16T00:00:00+08:00,000333,-0.0067
2025-04-17T00:00:00+08:00,000333,-0.0007
2025-04-18T00:00:00+08:00,000333,-0.0004
2025-04-21T00:00:00+08:00,000333,0.0066
2025-04-22T00:00:00+08:00,000333,0.0046
2025-04-23T00:00:00+08:00,000333,0.0018
2025-04-24T00:00:00+08:00,000333,0.0153
2025-04-25T00:00:00+08:00,000333,-0.0027
2025-04-28T00:00:00+08:00,000333,0.0066
2025-04-29T00:00:00+08:00,000333,0.0132
2025-04-30T00:00:00+08:00,000333,-0.0078
2025-05-06T00:00:00+08:00,000333,0.0058
2025-05-07T00:00:00+08:00,000333,0.0042
2025-05-08T00:00:00+08:00,000333,0.0086
2025-05-09T00:00:00+08:00,000333,0.0107
2025-05-12T00:00:00+08:00,000333,0.0103
2025-05-13T00:00:00+08:00,000333,0.0069
2025-05-14T00:00:00+08:00,000333,-0.0003
2025-05-15T00:00:00+08:00,000333,-0.0077
2025-05-16T00:00:00+08:00,000333,0.0013
2025-05-19T00:00:00+08:00,000333,0.0128
2025-05-20T00:00:00+08:00,000333,0.0141
2025-05-21T00:00:00+08:00,000333,0.0017
2025-05-22T00:00:00+08:00,000333,0.0071
2025-05-23T00:00:00+08:00,000333,-0.0059
2025-05-26T00:00:00+08:00,000333,-0.0079
2025-05-27T00:00:00+08:00,000333,0.0027
2025-05-28T00:00:00+08:00,000333,0.0107
2025-05-29T00:00:00+08:00,000333,-0.0043
2025-05-30T00:00:00+08:00,000333,0.001
2025-06-03T00:00:00+08:00,000333,-0.0398
2025-06-04T00:00:00+08:00,000333,-0.0046
2025-06-05T00:00:00+08:00,000333,-0.0041
2025-06-06T00:00:00+08:00,000333,0.006
2025-06-09T00:00:00+08:00,000333,-0.004
2025-06-10T00:00:00+08:00,000333,-0.0046
2025-06-11T00:00:00+08:00,000333,0.0059
2025-06-12T00:00:00+08:00,000333,0.0026
2025-06-13T00:00:00+08:00,000333,-0.01
2025-06-16T00:00:00+08:00,000333,-0.0031
2025-06-17T00:00:00+08:00,000333,0.0112
2025-06-18T00:00:00+08:00,000333,0.0006
2025-06-19T00:00:00+08:00,000333,-0.0107
2025-06-20T00:00:00+08:00,000333,0.0147
