date,stockCode,自由流通市值
2025-04-16T00:00:00+08:00,000333,335228434466
2025-04-17T00:00:00+08:00,000333,334992358103.7
2025-04-18T00:00:00+08:00,000333,334850712286.32
2025-04-21T00:00:00+08:00,000333,337069830091.94
2025-04-22T00:00:00+08:00,000333,338627934083.12
2025-04-23T00:00:00+08:00,000333,339241732625.1
2025-04-24T00:00:00+08:00,000333,344435412595.7
2025-04-25T00:00:00+08:00,000333,343491107146.5
2025-04-28T00:00:00+08:00,000333,345757440224.58
2025-04-29T00:00:00+08:00,000333,350337321653.2
2025-04-30T00:00:00+08:00,000333,347598835850.52
2025-05-06T00:00:00+08:00,000333,349629092566.3
2025-05-07T00:00:00+08:00,000333,351092766012.56
2025-05-08T00:00:00+08:00,000333,354114543450
2025-05-09T00:00:00+08:00,000333,357891765246.8
2025-05-12T00:00:00+08:00,000333,361574556498.68
2025-05-13T00:00:00+08:00,000333,364076965939.06
2025-05-14T00:00:00+08:00,000333,363982535394.14
2025-05-15T00:00:00+08:00,000333,361196834319
2025-05-16T00:00:00+08:00,000333,361668987043.6
2025-05-19T00:00:00+08:00,000333,366296083744.68
2025-05-20T00:00:00+08:00,000333,371442548442.82
2025-05-21T00:00:00+08:00,000333,372056346984.8
2025-05-22T00:00:00+08:00,000333,374700402242.56
2025-05-23T00:00:00+08:00,000333,372481284436.94
2025-05-26T00:00:00+08:00,000333,369553937544.42
2025-05-27T00:00:00+08:00,000333,370545458266.08
2025-05-28T00:00:00+08:00,000333,374511541152.72
2025-05-29T00:00:00+08:00,000333,372906221889.08
2025-05-30T00:00:00+08:00,000333,373283944068.76
2025-06-03T00:00:00+08:00,000333,358411133243.86
2025-06-04T00:00:00+08:00,000333,356758598707.76
2025-06-05T00:00:00+08:00,000333,355294925261.5
2025-06-06T00:00:00+08:00,000333,357419612522.2
2025-06-09T00:00:00+08:00,000333,356003154348.4
2025-06-10T00:00:00+08:00,000333,354350619812.3
2025-06-11T00:00:00+08:00,000333,356428091800.54
2025-06-12T00:00:00+08:00,000333,340894267161.2
2025-06-13T00:00:00+08:00,000333,337494767544.08
2025-06-16T00:00:00+08:00,000333,336456031549.96
2025-06-17T00:00:00+08:00,000333,340233253346.76
2025-06-18T00:00:00+08:00,000333,340422114436.6
2025-06-19T00:00:00+08:00,000333,336786538457.18
2025-06-20T00:00:00+08:00,000333,341744142065.48
2025-06-23T00:00:00+08:00,000333,338627934083.12
2025-06-24T00:00:00+08:00,000333,343727183508.8
2025-06-25T00:00:00+08:00,000333,341508065703.18
2025-06-26T00:00:00+08:00,000333,345143641682.6
2025-06-27T00:00:00+08:00,000333,341271989340.88
2025-06-30T00:00:00+08:00,000333,340894267161.2
2025-07-01T00:00:00+08:00,000333,340469329709.06
2025-07-02T00:00:00+08:00,000333,342310725335
2025-07-03T00:00:00+08:00,000333,344152120960.94
2025-07-04T00:00:00+08:00,000333,346937822036.08
2025-07-07T00:00:00+08:00,000333,342546801697.3
2025-07-08T00:00:00+08:00,000333,340988697706.12
2025-07-09T00:00:00+08:00,000333,339005656262.8
2025-07-10T00:00:00+08:00,000333,338439072993.28
2025-07-11T00:00:00+08:00,000333,342216294790.08
2025-07-14T00:00:00+08:00,000333,345143641682.6
2025-07-15T00:00:00+08:00,000333,345663009679.66
2025-07-16T00:00:00+08:00,000333,344152120960.94
2025-07-17T00:00:00+08:00,000333,342924523876.98
2025-07-18T00:00:00+08:00,000333,343868829326.18
2025-07-21T00:00:00+08:00,000333,342546801697.3
2025-07-22T00:00:00+08:00,000333,345568579134.74
2025-07-23T00:00:00+08:00,000333,347032252581
2025-07-24T00:00:00+08:00,000333,347079467853.46
2025-07-25T00:00:00+08:00,000333,343538322418.96
2025-07-28T00:00:00+08:00,000333,339666670077.24
2025-07-29T00:00:00+08:00,000333,336361601005.04
2025-07-30T00:00:00+08:00,000333,340469329709.06
2025-07-31T00:00:00+08:00,000333,331403997396.74
2025-08-01T00:00:00+08:00,000333,334236913744.34
2025-08-04T00:00:00+08:00,000333,334945142831.24
2025-08-05T00:00:00+08:00,000333,337022614819.48
2025-08-06T00:00:00+08:00,000333,338533503538.2
2025-08-07T00:00:00+08:00,000333,337494767544.08
2025-08-08T00:00:00+08:00,000333,337966920268.68
2025-08-11T00:00:00+08:00,000333,338816795172.96
2025-08-12T00:00:00+08:00,000333,339619454804.78
2025-08-13T00:00:00+08:00,000333,339100086807.72
2025-08-14T00:00:00+08:00,000333,341508065703.18
2025-08-15T00:00:00+08:00,000333,341366419885.8
2025-08-18T00:00:00+08:00,000333,339194517352.64
2025-08-19T00:00:00+08:00,000333,343160600239.28
2025-08-20T00:00:00+08:00,000333,340988697706.12
2025-08-21T00:00:00+08:00,000333,339572239532.32
2025-08-22T00:00:00+08:00,000333,340374899164.14
2025-08-25T00:00:00+08:00,000333,347126683125.92
2025-08-26T00:00:00+08:00,000333,348448710754.8
2025-08-27T00:00:00+08:00,000333,343302246056.66
2025-08-28T00:00:00+08:00,000333,347032252581
2025-08-29T00:00:00+08:00,000333,348023773302.66
2025-09-01T00:00:00+08:00,000333,350531500401.28
2025-09-02T00:00:00+08:00,000333,360617034588.16
2025-09-03T00:00:00+08:00,000333,358060138597.12
2025-09-04T00:00:00+08:00,000333,357918088819.84
2025-09-05T00:00:00+08:00,000333,360901134142.72
2025-09-08T00:00:00+08:00,000333,364736478129.28
2025-09-09T00:00:00+08:00,000333,365446727015.6801
2025-09-10T00:00:00+08:00,000333,364689128203.52
2025-09-11T00:00:00+08:00,000333,364689128203.52
2025-09-12T00:00:00+08:00,000333,357823388968.32
2025-09-15T00:00:00+08:00,000333,355929391937.92
2025-09-16T00:00:00+08:00,000333,352567547208.96
2025-09-17T00:00:00+08:00,000333,352046698025.6
2025-09-18T00:00:00+08:00,000333,349158352554.24
2025-09-19T00:00:00+08:00,000333,352046698025.6
2025-09-22T00:00:00+08:00,000333,346885556117.76
2025-09-23T00:00:00+08:00,000333,348164004113.28
2025-09-24T00:00:00+08:00,000333,350862949881.6
2025-09-25T00:00:00+08:00,000333,344896859235.84
2025-09-26T00:00:00+08:00,000333,351336449139.2
2025-09-29T00:00:00+08:00,000333,349111002628.4801
2025-09-30T00:00:00+08:00,000333,344044560572.16
2025-10-09T00:00:00+08:00,000333,343902510794.88
2025-10-10T00:00:00+08:00,000333,344849509310.08
2025-10-13T00:00:00+08:00,000333,340019816882.56
2025-10-14T00:00:00+08:00,000333,343760461017.6
2025-10-15T00:00:00+08:00,000333,345275658641.92
2025-10-16T00:00:00+08:00,000333,346506756711.6801
2025-10-17T00:00:00+08:00,000333,344707459532.8
2025-10-20T00:00:00+08:00,000333,345038909013.12
2025-10-21T00:00:00+08:00,000333,345228308716.16
2025-10-22T00:00:00+08:00,000333,349821251514.88
2025-10-23T00:00:00+08:00,000333,354603594016.64
2025-10-24T00:00:00+08:00,000333,353277796095.36
2025-10-27T00:00:00+08:00,000333,354556244090.88
2025-10-28T00:00:00+08:00,000333,352330797580.16
2025-10-29T00:00:00+08:00,000333,352283447654.4
2025-10-30T00:00:00+08:00,000333,357729590692.8
2025-10-31T00:00:00+08:00,000333,362955388166.4
2025-11-03T00:00:00+08:00,000333,358157155940.64
2025-11-04T00:00:00+08:00,000333,357064489196.16
2025-11-05T00:00:00+08:00,000333,360770054677.44
2025-11-06T00:00:00+08:00,000333,365948344901.28
2025-11-07T00:00:00+08:00,000333,362005243171.2
2025-11-10T00:00:00+08:00,000333,367373562394.08
2025-11-11T00:00:00+08:00,000333,366898489896.4801
2025-11-12T00:00:00+08:00,000333,377635128342.24
2025-11-13T00:00:00+08:00,000333,378157708089.6
2025-11-14T00:00:00+08:00,000333,376399939848.4801
2025-11-17T00:00:00+08:00,000333,372551852617.92
2025-11-18T00:00:00+08:00,000333,367706113142.4
2025-11-19T00:00:00+08:00,000333,367706113142.4
2025-11-20T00:00:00+08:00,000333,370271504629.44
2025-11-21T00:00:00+08:00,000333,374119591860
2025-11-24T00:00:00+08:00,000333,373216954114.56
2025-11-25T00:00:00+08:00,000333,373882055611.2
2025-11-26T00:00:00+08:00,000333,379107853084.8
2025-11-27T00:00:00+08:00,000333,379107853084.8
2025-11-28T00:00:00+08:00,000333,379392896583.36
2025-12-01T00:00:00+08:00,000333,380057998080
2025-12-02T00:00:00+08:00,000333,387469129042.56
2025-12-03T00:00:00+08:00,000333,390367071277.92
2025-12-04T00:00:00+08:00,000333,389036868284.64
2025-12-05T00:00:00+08:00,000333,390652114776.4801
2025-12-08T00:00:00+08:00,000333,388656810286.56
2025-12-09T00:00:00+08:00,000333,381008143075.2
2025-12-10T00:00:00+08:00,000333,380390548828.32
2025-12-11T00:00:00+08:00,000333,376732490596.8
2025-12-12T00:00:00+08:00,000333,376827505096.32
2025-12-15T00:00:00+08:00,000333,382005795320.16
2025-12-16T00:00:00+08:00,000333,379867969080.96
2025-12-17T00:00:00+08:00,000333,382290838818.72
2025-12-18T00:00:00+08:00,000333,379250374834.08
2025-12-19T00:00:00+08:00,000333,377445099343.2
2025-12-22T00:00:00+08:00,000333,376067389100.16
2025-12-23T00:00:00+08:00,000333,378395244338.4
2025-12-24T00:00:00+08:00,000333,374357128108.8
2025-12-25T00:00:00+08:00,000333,373359475863.84
2025-12-26T00:00:00+08:00,000333,374689678857.12
2025-12-29T00:00:00+08:00,000333,372504345368.16
2025-12-30T00:00:00+08:00,000333,374594664357.6
2025-12-31T00:00:00+08:00,000333,371269156874.4
2026-01-05T00:00:00+08:00,000333,373787041111.6801
2026-01-06T00:00:00+08:00,000333,374547157107.84
2026-01-07T00:00:00+08:00,000333,377065041345.12
2026-01-08T00:00:00+08:00,000333,375449794853.28
2026-01-09T00:00:00+08:00,000333,378965331335.52
2026-01-12T00:00:00+08:00,000333,373501997613.12
2026-01-13T00:00:00+08:00,000333,362005243171.2
2026-01-14T00:00:00+08:00,000333,366518431898.4
2026-01-15T00:00:00+08:00,000333,366850982646.72
2026-01-16T00:00:00+08:00,000333,367278547894.56
2026-01-19T00:00:00+08:00,000333,368751272637.12
2026-01-20T00:00:00+08:00,000333,375307273104
2026-01-21T00:00:00+08:00,000333,369511388633.28
2026-01-22T00:00:00+08:00,000333,368133678390.24
2026-01-23T00:00:00+08:00,000333,364760663657.28
2026-01-26T00:00:00+08:00,000333,362717851917.6
2026-01-27T00:00:00+08:00,000333,361530170673.6
2026-01-28T00:00:00+08:00,000333,357919619691.84
2026-01-29T00:00:00+08:00,000333,369986461130.88
2026-01-30T00:00:00+08:00,000333,368608750887.84
2026-02-02T00:00:00+08:00,000333,369843939381.6
2026-02-03T00:00:00+08:00,000333,370128982880.16
2026-02-04T00:00:00+08:00,000333,379155360334.56
2026-02-05T00:00:00+08:00,000333,382195824319.2
2026-02-06T00:00:00+08:00,000333,377872664591.0401
2026-02-09T00:00:00+08:00,000333,376067389100.16
2026-02-10T00:00:00+08:00,000333,380960635825.44
2026-02-11T00:00:00+08:00,000333,378585273337.44
2026-02-12T00:00:00+08:00,000333,379107853084.8
2026-02-13T00:00:00+08:00,000333,375544809352.8
2026-02-24T00:00:00+08:00,000333,377777650091.52
2026-02-25T00:00:00+08:00,000333,378632780587.2
2026-02-26T00:00:00+08:00,000333,376494954348
2026-02-27T00:00:00+08:00,000333,373597012112.64
2026-03-02T00:00:00+08:00,000333,367943649391.2
2026-03-03T00:00:00+08:00,000333,363715504162.56
2026-03-04T00:00:00+08:00,000333,361815214172.16
2026-03-05T00:00:00+08:00,000333,362337793919.52
2026-03-06T00:00:00+08:00,000333,363525475163.52
2026-03-09T00:00:00+08:00,000333,358252170440.16
2026-03-10T00:00:00+08:00,000333,363905533161.6
2026-03-11T00:00:00+08:00,000333,367658605892.64
2026-03-12T00:00:00+08:00,000333,367706113142.4
2026-03-13T00:00:00+08:00,000333,365140721655.36
2026-03-16T00:00:00+08:00,000333,364095562160.64
2026-03-17T00:00:00+08:00,000333,363905533161.6
2026-03-18T00:00:00+08:00,000333,366090866650.56
2026-03-19T00:00:00+08:00,000333,361055098176
2026-03-20T00:00:00+08:00,000333,356874460197.12
2026-03-23T00:00:00+08:00,000333,348560691489.12
2026-03-24T00:00:00+08:00,000333,352646314968.4801
2026-03-25T00:00:00+08:00,000333,355354228204.8
2026-03-26T00:00:00+08:00,000333,353073880216.32
2026-03-27T00:00:00+08:00,000333,355259213705.28
2026-03-30T00:00:00+08:00,000333,342527270769.6
2026-03-31T00:00:00+08:00,000333,357068811465.9
2026-04-01T00:00:00+08:00,000333,359360412220.56
2026-04-02T00:00:00+08:00,000333,361839082424.58
2026-04-03T00:00:00+08:00,000333,357068811465.9
2026-04-07T00:00:00+08:00,000333,355993162132.08
2026-04-08T00:00:00+08:00,000333,358845971234.82
2026-04-09T00:00:00+08:00,000333,357863856625.68
2026-04-10T00:00:00+08:00,000333,357349415639.94
2026-04-13T00:00:00+08:00,000333,354403071812.52
2026-04-14T00:00:00+08:00,000333,358004158712.7
2026-04-15T00:00:00+08:00,000333,362400290772.66
2026-04-16T00:00:00+08:00,000333,364317752628.6001
