date,stockCode,PB
2025-04-16T00:00:00+08:00,000333,2.5078
2025-04-17T00:00:00+08:00,000333,2.5061
2025-04-18T00:00:00+08:00,000333,2.505
2025-04-21T00:00:00+08:00,000333,2.5216
2025-04-22T00:00:00+08:00,000333,2.5333
2025-04-23T00:00:00+08:00,000333,2.5379
2025-04-24T00:00:00+08:00,000333,2.5767
2025-04-25T00:00:00+08:00,000333,2.5696
2025-04-28T00:00:00+08:00,000333,2.5866
2025-04-29T00:00:00+08:00,000333,2.6209
2025-04-30T00:00:00+08:00,000333,2.4524
2025-05-06T00:00:00+08:00,000333,2.4668
2025-05-07T00:00:00+08:00,000333,2.4771
2025-05-08T00:00:00+08:00,000333,2.4984
2025-05-09T00:00:00+08:00,000333,2.5251
2025-05-12T00:00:00+08:00,000333,2.551
2025-05-13T00:00:00+08:00,000333,2.5687
2025-05-14T00:00:00+08:00,000333,2.568
2025-05-15T00:00:00+08:00,000333,2.5484
2025-05-16T00:00:00+08:00,000333,2.5517
2025-05-19T00:00:00+08:00,000333,2.5844
2025-05-20T00:00:00+08:00,000333,2.6207
2025-05-21T00:00:00+08:00,000333,2.625
2025-05-22T00:00:00+08:00,000333,2.6437
2025-05-23T00:00:00+08:00,000333,2.628
2025-05-26T00:00:00+08:00,000333,2.6073
2025-05-27T00:00:00+08:00,000333,2.6143
2025-05-28T00:00:00+08:00,000333,2.6423
2025-05-29T00:00:00+08:00,000333,2.6305
2025-05-30T00:00:00+08:00,000333,2.6332
2025-06-03T00:00:00+08:00,000333,2.5282
2025-06-04T00:00:00+08:00,000333,2.5166
2025-06-05T00:00:00+08:00,000333,2.5063
2025-06-06T00:00:00+08:00,000333,2.5287
2025-06-09T00:00:00+08:00,000333,2.5187
2025-06-10T00:00:00+08:00,000333,2.507
2025-06-11T00:00:00+08:00,000333,2.5217
2025-06-12T00:00:00+08:00,000333,2.6989
2025-06-13T00:00:00+08:00,000333,2.672
2025-06-16T00:00:00+08:00,000333,2.6637
2025-06-17T00:00:00+08:00,000333,2.6936
2025-06-18T00:00:00+08:00,000333,2.6951
2025-06-19T00:00:00+08:00,000333,2.6664
2025-06-20T00:00:00+08:00,000333,2.7056
2025-06-23T00:00:00+08:00,000333,2.6809
2025-06-24T00:00:00+08:00,000333,2.7174
2025-06-25T00:00:00+08:00,000333,2.6998
2025-06-26T00:00:00+08:00,000333,2.7286
2025-06-27T00:00:00+08:00,000333,2.698
2025-06-30T00:00:00+08:00,000333,2.695
2025-07-01T00:00:00+08:00,000333,2.6916
2025-07-02T00:00:00+08:00,000333,2.7062
2025-07-03T00:00:00+08:00,000333,2.7207
2025-07-04T00:00:00+08:00,000333,2.7428
2025-07-07T00:00:00+08:00,000333,2.708
2025-07-08T00:00:00+08:00,000333,2.6957
2025-07-09T00:00:00+08:00,000333,2.68
2025-07-10T00:00:00+08:00,000333,2.6756
2025-07-11T00:00:00+08:00,000333,2.7054
2025-07-14T00:00:00+08:00,000333,2.7286
2025-07-15T00:00:00+08:00,000333,2.7327
2025-07-16T00:00:00+08:00,000333,2.7207
2025-07-17T00:00:00+08:00,000333,2.711
2025-07-18T00:00:00+08:00,000333,2.7185
2025-07-21T00:00:00+08:00,000333,2.7098
2025-07-22T00:00:00+08:00,000333,2.7337
2025-07-23T00:00:00+08:00,000333,2.7452
2025-07-24T00:00:00+08:00,000333,2.7456
2025-07-25T00:00:00+08:00,000333,2.7176
2025-07-28T00:00:00+08:00,000333,2.6875
2025-07-29T00:00:00+08:00,000333,2.6613
2025-07-30T00:00:00+08:00,000333,2.6939
2025-07-31T00:00:00+08:00,000333,2.6221
2025-08-01T00:00:00+08:00,000333,2.6445
2025-08-04T00:00:00+08:00,000333,2.6501
2025-08-05T00:00:00+08:00,000333,2.6666
2025-08-06T00:00:00+08:00,000333,2.6785
2025-08-07T00:00:00+08:00,000333,2.6703
2025-08-08T00:00:00+08:00,000333,2.6741
2025-08-11T00:00:00+08:00,000333,2.6808
2025-08-12T00:00:00+08:00,000333,2.6871
2025-08-13T00:00:00+08:00,000333,2.683
2025-08-14T00:00:00+08:00,000333,2.7021
2025-08-15T00:00:00+08:00,000333,2.7009
2025-08-18T00:00:00+08:00,000333,2.6838
2025-08-19T00:00:00+08:00,000333,2.7151
2025-08-20T00:00:00+08:00,000333,2.698
2025-08-21T00:00:00+08:00,000333,2.6868
2025-08-22T00:00:00+08:00,000333,2.6931
2025-08-25T00:00:00+08:00,000333,2.7465
2025-08-26T00:00:00+08:00,000333,2.757
2025-08-27T00:00:00+08:00,000333,2.7163
2025-08-28T00:00:00+08:00,000333,2.7458
2025-08-29T00:00:00+08:00,000333,2.7536
2025-09-01T00:00:00+08:00,000333,2.6283
2025-09-02T00:00:00+08:00,000333,2.7039
2025-09-03T00:00:00+08:00,000333,2.6847
2025-09-04T00:00:00+08:00,000333,2.6837
2025-09-05T00:00:00+08:00,000333,2.706
2025-09-08T00:00:00+08:00,000333,2.7348
2025-09-09T00:00:00+08:00,000333,2.7401
2025-09-10T00:00:00+08:00,000333,2.7344
