date,负债合计,流动负债合计,应收账款,所有者权益合计,流动比率,有息负债率,资产负债率,速动比率,货币资金,资产合计,长期负债合计,流动资产合计
2026-03-31,70089974674,12204269402,22425525531,51774201203,1.6562,0.0599,0.5751,1.0931,312557354282.24,121864175877,3082901779,1471824081
2025-12-31,68907524405,10655117674,23499559286,49771867669,1.6675,0.0552,0.5806,1.1389,354602081960.96,118679392074,3064882286,1658609113
2025-09-30,72474918967,10006195182,27180068861,48199862473,1.669,0.0831,0.6006,1.1202,335818786459.52,120674781440,3838866315,1702442245
2025-06-30,72612004603,10279193602,27499171699,45781982509,1.6582,0.0885,0.6133,1.1,140501538204.48,118393987112,4345327464,1763213241
2025-03-31,78766042510,11276643481,25879923754,44006470110,1.6417,0.1033,0.6416,1.095,143901604939.84,122772512620,5840681185,1754162291
2024-12-31,74875023075,10026466202,27640236836,40198748048,1.578,0.0983,0.6507,1.063,153065199433.92,115073771123,4863434551,1615258950
2024-09-30,69441345913,8897058189,25313915266,36145360678,1.5801,0.1357,0.6577,0.9569,206450393601.92,105586706591,5059687334,2338673641
2024-06-30,61062684437,9041934008,24019100541,33356440052,1.6059,0.1373,0.6467,0.975,128601304630.72,94419124488,5034928814,2397622001
2024-03-31,53264564987,8180960666,20053409710,31619518015,1.6028,0.1168,0.6275,1.0108,154158672139.2,84884083002,4575709086,2264539093
2023-12-31,53422010434,6564810202,21097509472,29454496294,1.5082,0.1042,0.6446,0.9859,130084374688.56,82876506728,4179703100,2008704216
2023-09-30,53084931511,5481364545,16238270888,26955436349,1.5641,0.1291,0.6632,0.8643,132935864577.84,80040367860,6038715283,2386240458
2023-06-30,48220425404,5665088418,14480405515,24463936417,1.5299,0.1099,0.6634,0.8738,173217824463.92,72684361820,4847573100,2146103868
2023-03-31,42895406262,3914276978,14693106214,21274482158,1.5064,0.1347,0.6685,0.9204,155737126582.24,64169888421,4494489304,1456947597
2022-12-31,41889216326,3788439560,13804040263,19736995201,1.4659,0.1116,0.6797,0.8813,166044352011.2,61626211527,4161650000,1291527303
2022-09-30,37437011739,3069263258,10497056527,18137299333,1.4944,0.1293,0.6736,0.7699,164291826650.08,55574311072,4323488155,1280225219
2022-06-30,33125281121,3053311845,8822869067,16987277054,1.479,0.1169,0.661,0.8164,145922470428,50112558174,3222099600,1387848238
2022-03-31,26948170936,2102376886,8269793291,17153724576,1.5482,0.1072,0.611,0.9282,159304266443.84,44101895513,2033131433,1307486695
2021-12-31,26136452867,1713946572,8748141498,16703678049,1.5445,0.0912,0.6101,1.0131,216544490467.2,42840130915,1891445000,1364393136
2021-09-30,21241121106,1855544258,8548952198,16440786488,1.6863,0.0839,0.5637,1.0504,216159590793,37681907594,1679870000,1963281401
2021-06-30,18072204673,1927174019,7042514676,11867564876,1.5533,0.1001,0.6036,0.9652,167635441611,29939769549,1713108974,1960844771
2021-03-31,17373744880,2007567365,7541626678,11281996710,1.515,0.0903,0.6063,1.0589,104579106543,28655741590,1415628563,1320914586
2020-12-31,17138236880,1408025979,6585489222,10864697115,1.5474,0.0777,0.612,1.2045,105329079518,28002933995,1781240000,972128095
2020-09-30,16016580415,2117195705,6211254891,9882806616,1.4869,0.072,0.6184,1.0434,40073295966.5,25899387031,1554937946,1749065552
2020-06-30,14489421032,1477875020,6039251058,9121457804,1.4944,0.0793,0.6137,1.0608,20963536911.5,23610878835,1585262926,1470517286
2020-03-31,12832663630,1475232343,5539583052,8891107634,1.5846,0.0935,0.5907,1.1362,13856895943.5,21723771264,1667423644,1500687318
2019-12-31,14064317074,0,6671828451,8754811188,1.5115,0.0926,0.6163,1.2163,15343124530.5,22819128262,1596009522,0
2019-09-30,10049056757,0,6537631759,8450545667,1.6013,0.1169,0.5432,1.1945,16474084680,18499602424,1444906612,0
2019-06-30,10649856098,0,6613663236,8157566926,1.5924,0.1047,0.5663,1.195,13633689410,18807423024,1312947100,0
2019-03-31,10947292033,0,6695660771,8008342437,1.5537,0.1067,0.5775,1.1902,16032910964,18955634471,1165471768,0
2018-12-31,10697825718,0,6313125199,7794824364,1.5641,0.1069,0.5785,1.2802,12947501312,18492650082,1255030138,0
2018-09-30,9091055576,0,5461825969,7620734903,1.7708,0.1236,0.544,1.2821,10035106926,16711790480,1584225245,0
2018-06-30,8794895445,0,5703707824,7384815201,1.7248,0.1118,0.5436,1.2527,13026759642,16179710646,1337374558,0
2018-03-31,8048153663,0,5090922665,7235919481,1.8177,0.084,0.5266,1.3505,27777983548,15284073144,1250892426,0
2017-12-31,9224880818,0,5045615836,7023125154,1.6718,0.0759,0.5678,1.3607,27187567922,16248005973,1223420046,0
2017-09-30,8441808073,0,6651940995,6836773301,1.6652,0.0612,0.5525,1.3964,24382775538,15278581374,711232912,0
2017-06-30,7354239126,0,4684945101,6446255752,1.7221,0.0584,0.5329,1.1986,16066843774,13800494877,583484028,0
2017-03-31,5019361877,0,4179009441,6084979595,1.906,0.0388,0.452,1.5382,14312803032,11104341472,320224519,0
2016-12-31,5693134542,0,3763033162,5963664605,1.7691,0.0446,0.4884,1.4979,14907723300,11656799147,321200372,0
2016-09-30,4902312036,0,3407358801,5684503953,1.9699,0.048,0.4631,1.593,16446069486,10586815989,301699673,0
