date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,261556353251.84,5.5367,,,,,21.9309,,,,,3.0517,,,,,5.5718,,,,,0.0129,23.3845,,,,
2026-07-02,265039348444.16,5.6105,,,,,22.2229,,,,,3.0923,,,,,5.6460,,,,,0.0127,23.6959,,,,
2026-07-01,283864108174.08,6.0089,,,,,23.8013,,,,,3.3120,,,,,6.0470,,,,,0.0119,25.3790,,,,
2026-06-30,329682080644.4801,6.9788,,,,,27.6431,,,,,3.8465,,,,,7.0230,,,,,0.0102,29.4754,,,,
2026-06-29,322674626031.36,6.8305,,,,,27.0555,,,,,3.7648,,,,,6.8737,,,,,0.0104,28.8488,,,,
2026-06-26,313158585595.2,6.6291,,,,,26.2576,,,,,3.6538,,,,,6.6710,,,,,0.0108,27.9981,,,,
2026-06-25,316496455987.84,6.6997,,,,,26.5375,,,,,3.6927,,,,,6.7421,,,,,0.0106,28.2965,,,,
2026-06-24,320933128435.2,6.7936,,,,,26.9095,,,,,3.7445,,,,,6.8366,,,,,0.0105,28.6931,,,,
2026-06-23,315128136448.0,6.6708,,,,,26.4228,,,,,3.6767,,,,,6.7130,,,,,0.0107,28.1742,,,,
2026-06-22,338887139367.0401,7.1737,,,,,28.4149,,,,,3.9539,,,,,7.2191,,,,,0.0099,30.2983,,,,
2026-06-18,304720615099.52,6.4504,,,,,25.5501,,,,,3.5553,,,,,6.4913,,,,,0.0111,27.2437,,,,
2026-06-17,309219483889.6001,6.5457,,,,,25.9273,,,,,3.6078,,,,,6.5871,,,,,0.0109,27.6459,,,,
2026-06-16,316144010045.76,6.6923,,,,,26.5079,,,,,3.6886,,,,,6.7346,,,,,0.0107,28.2650,,,,
2026-06-15,309115823318.4,6.5435,,,,,25.9186,,,,,3.6066,,,,,6.5849,,,,,0.0109,27.6366,,,,
2026-06-12,308410931434.24,6.5286,,,,,25.8595,,,,,3.5984,,,,,6.5699,,,,,0.0109,27.5736,,,,
2026-06-11,304243776472.0,6.4404,,,,,25.5101,,,,,3.5497,,,,,6.4811,,,,,0.0111,27.2010,,,,
2026-06-10,297609499915.2,6.2999,,,,,24.9539,,,,,3.4723,,,,,6.3398,,,,,0.0113,26.6079,,,,
2026-06-09,316164742160.0,6.6927,,,,,26.5097,,,,,3.6888,,,,,6.7350,,,,,0.0107,28.2668,,,,
2026-06-08,304347437043.2,6.4425,,,,,25.5188,,,,,3.5510,,,,,6.4833,,,,,0.0111,27.2103,,,,
