date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,1208404186,-0.325,1.363,13550410385
2025-12-31,16917778579,0.4018,1.2501,13931471263
2025-09-30,9913690247,11.3314,1.367,18371348857
2025-06-30,3434473556,2.3191,1.2889,15028902088
2025-03-31,1790260757,4.6706,1.1078,11185067891
2024-12-31,12068326645,0.7285,1.0714,9283235873
2024-09-30,803937387,-0.8234,0.3232,555476104
2024-06-30,-2603706948,-1.5459,-0.0382,-2949112139
2024-03-31,-487736073,0.3857,0.7154,4612830097
2023-12-31,6981838977,4.7677,0.7266,4239191064
2023-09-30,4552303841,2.5716,0.9731,6086463544
2023-06-30,4769509834,4.7881,1.0103,4981904602
2023-03-31,-793931337,0.5281,0.4371,389723200
2022-12-31,1210498486,1.7387,0.3276,-306899549
2022-09-30,-2896672525,0.2486,-0.3057,-2304076511
2022-06-30,-1259081175,0.5977,0.125,-1494533811
2022-03-31,-1682576215,0.3224,-0.4827,-2678445134
2021-12-31,-1638632123,-1.5305,-0.9616,-3292131256
2021-09-30,-3854791122,-8.5843,-0.5375,-3115782608
2021-06-30,-3129899823,-32.241,0.0229,-1344948282
2021-03-31,-2483141098,-1.6415,0.7011,457890191
2020-12-31,3088658225,0.2452,1.5635,2135683767
2020-09-30,508261608,1.6475,2.4359,3191251668
2020-06-30,-94157775,0.8541,2.9553,2461565499
2020-03-31,-940033163,-0.3011,2.5236,1637956995
2019-12-31,2480423195,12.7129,2.7212,1798861697
2019-09-30,-784983219,0.5833,2.094,737234434
2019-06-30,-645335717,0.6991,2.1674,1095134658
2019-03-31,-722515278,0.4593,1.0049,-23849585
2018-12-31,180882222,-0.7885,0.2213,-658299176
2018-09-30,-2232926482,-4.8948,-1.132,-1193658329
2018-06-30,-2145011198,-1.2698,-0.3341,-908716579
2018-03-31,-1336316289,-1.0041,0.1704,-195090427
2017-12-31,855355842,-0.0121,0.8433,502348920
2017-09-30,-378793963,0.1068,0.9144,-374518175
2017-06-30,-945028919,-2.8788,0.2397,-1140696530
2017-03-31,-666793047,-0.5886,1.1254,-796396435
2016-12-31,865792599,3.6505,1.5853,-488398007
2016-09-30,-424103622,-17.271,-1.5832,-1382779750
