date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,261556353251.84,5.5367,,,,,3.0517,,,,,0.0129,21.9309,,,,,5.5718,,,,,23.3845,,,,
2026-07-02,265039348444.16,5.6105,,,,,3.0923,,,,,0.0127,22.2229,,,,,5.6460,,,,,23.6959,,,,
2026-07-01,283864108174.08,6.0089,,,,,3.3120,,,,,0.0119,23.8013,,,,,6.0470,,,,,25.3790,,,,
2026-06-30,329682080644.4801,6.9788,,,,,3.8465,,,,,0.0102,27.6431,,,,,7.0230,,,,,29.4754,,,,
2026-06-29,322674626031.36,6.8305,,,,,3.7648,,,,,0.0104,27.0555,,,,,6.8737,,,,,28.8488,,,,
2026-06-26,313158585595.2,6.6291,,,,,3.6538,,,,,0.0108,26.2576,,,,,6.6710,,,,,27.9981,,,,
2026-06-25,316496455987.84,6.6997,,,,,3.6927,,,,,0.0106,26.5375,,,,,6.7421,,,,,28.2965,,,,
2026-06-24,320933128435.2,6.7936,,,,,3.7445,,,,,0.0105,26.9095,,,,,6.8366,,,,,28.6931,,,,
2026-06-23,315128136448.0,6.6708,,,,,3.6767,,,,,0.0107,26.4228,,,,,6.7130,,,,,28.1742,,,,
2026-06-22,338887139367.0401,7.1737,,,,,3.9539,,,,,0.0099,28.4149,,,,,7.2191,,,,,30.2983,,,,
2026-06-18,304720615099.52,6.4504,,,,,3.5553,,,,,0.0111,25.5501,,,,,6.4913,,,,,27.2437,,,,
2026-06-17,309219483889.6001,6.5457,,,,,3.6078,,,,,0.0109,25.9273,,,,,6.5871,,,,,27.6459,,,,
2026-06-16,316144010045.76,6.6923,,,,,3.6886,,,,,0.0107,26.5079,,,,,6.7346,,,,,28.2650,,,,
2026-06-15,309115823318.4,6.5435,,,,,3.6066,,,,,0.0109,25.9186,,,,,6.5849,,,,,27.6366,,,,
2026-06-12,308410931434.24,6.5286,,,,,3.5984,,,,,0.0109,25.8595,,,,,6.5699,,,,,27.5736,,,,
2026-06-11,304243776472.0,6.4404,,,,,3.5497,,,,,0.0111,25.5101,,,,,6.4811,,,,,27.2010,,,,
2026-06-10,297609499915.2,6.2999,,,,,3.4723,,,,,0.0113,24.9539,,,,,6.3398,,,,,26.6079,,,,
2026-06-09,316164742160.0,6.6927,,,,,3.6888,,,,,0.0107,26.5097,,,,,6.7350,,,,,28.2668,,,,
2026-06-08,304347437043.2,6.4425,,,,,3.5510,,,,,0.0111,25.5188,,,,,6.4833,,,,,27.2103,,,,
2026-06-05,318756256440.0,6.7476,,,,,3.7191,,,,,0.0106,26.7270,,,,,6.7902,,,,,28.4985,,,,
2026-06-04,340732297534.4,7.2128,,,,,3.9755,,,,,0.0099,28.5696,,,,,7.2584,,,,,30.4633,,,,
2026-06-03,354104511219.2,7.4958,,,,,4.1315,,,,,0.0095,29.6908,,,,,7.5432,,,,,31.6588,,,,
2026-06-02,358043612924.8,7.5792,,,,,4.1775,,,,,0.0094,30.0211,,,,,7.6272,,,,,32.0110,,,,
2026-06-01,360738787776.0,7.6363,,,,,4.2089,,,,,0.0093,30.2471,,,,,7.6846,,,,,32.2520,,,,
2026-05-29,369010901357.76,7.8114,,,,,4.3054,,,,,0.0091,30.9407,,,,,7.8608,,,,,32.9916,,,,
2026-05-28,394096759588.1601,8.3424,,,,,4.5981,,,,,0.0086,33.0441,,,,,8.3952,,,,,35.2344,,,,
2026-05-27,381657491044.1601,8.0791,,,,,4.4530,,,,,0.0088,32.0011,,,,,8.1302,,,,,34.1222,,,,
2026-05-26,371084112781.76,7.8553,,,,,4.3296,,,,,0.0091,31.1145,,,,,7.9050,,,,,33.1769,,,,
2026-05-25,346723878549.76,7.3396,,,,,4.0454,,,,,0.0097,29.0720,,,,,7.3860,,,,,30.9990,,,,
2026-05-22,341064011362.24,7.2198,,,,,3.9793,,,,,0.0099,28.5974,,,,,7.2655,,,,,30.4930,,,,
2026-05-21,342867705301.12,7.2580,,,,,4.0004,,,,,0.0098,28.7487,,,,,7.3039,,,,,30.6542,,,,
2026-05-20,346640950092.8,7.3378,,,,,4.0444,,,,,0.0097,29.0650,,,,,7.3843,,,,,30.9916,,,,
2026-05-19,326282013909.12,6.9069,,,,,3.8069,,,,,0.0103,27.3580,,,,,6.9506,,,,,29.1714,,,,
