date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,1791501009685.8398,7.3152,,,,,0.0407,0.6561,,,,,7.3037,,,,,2.6650,,,,,0.6554,,,,
2026-07-02,1797945257922.12,7.3415,,,,,0.0406,0.6584,,,,,7.3299,,,,,2.6746,,,,,0.6578,,,,
2026-07-01,1820500126749.1,7.4336,,,,,0.0401,0.6667,,,,,7.4219,,,,,2.7082,,,,,0.6660,,,,
2026-06-30,1843054995576.08,7.5257,,,,,0.0396,0.6749,,,,,7.5138,,,,,2.7417,,,,,0.6743,,,,
2026-06-29,1868831988521.2,7.6310,,,,,0.0390,0.6844,,,,,7.6189,,,,,2.7801,,,,,0.6837,,,,
2026-06-26,1855943492048.64,7.5784,,,,,0.0393,0.6797,,,,,7.5664,,,,,2.7609,,,,,0.6790,,,,
2026-06-25,1865609864403.06,7.6178,,,,,0.0391,0.6832,,,,,7.6058,,,,,2.7753,,,,,0.6825,,,,
2026-06-24,1939718719120.28,7.9205,,,,,0.0376,0.7103,,,,,7.9079,,,,,2.8855,,,,,0.7096,,,,
2026-06-23,1978384208537.96,8.0783,,,,,0.0369,0.7245,,,,,8.0656,,,,,2.9430,,,,,0.7238,,,,
2026-06-22,1913941726175.16,7.8152,,,,,0.0381,0.7009,,,,,7.8028,,,,,2.8472,,,,,0.7002,,,,
2026-06-18,1862387740284.92,7.6047,,,,,0.0392,0.6820,,,,,7.5927,,,,,2.7705,,,,,0.6813,,,,
2026-06-17,1913941726175.16,7.8152,,,,,0.0381,0.7009,,,,,7.8028,,,,,2.8472,,,,,0.7002,,,,
2026-06-16,1946162967356.56,7.9468,,,,,0.0375,0.7127,,,,,7.9342,,,,,2.8951,,,,,0.7120,,,,
2026-06-15,1975162084419.82,8.0652,,,,,0.0369,0.7233,,,,,8.0524,,,,,2.9382,,,,,0.7226,,,,
2026-06-12,2026716070310.06,8.2757,,,,,0.0360,0.7422,,,,,8.2626,,,,,3.0149,,,,,0.7415,,,,
2026-06-11,1997716953246.8,8.1573,,,,,0.0365,0.7316,,,,,8.1444,,,,,2.9718,,,,,0.7309,,,,
2026-06-10,2004161201483.08,8.1836,,,,,0.0364,0.7339,,,,,8.1706,,,,,2.9814,,,,,0.7332,,,,
2026-06-09,1975162084419.82,8.0652,,,,,0.0369,0.7233,,,,,8.0524,,,,,2.9382,,,,,0.7226,,,,
2026-06-08,1978384208537.96,8.0783,,,,,0.0369,0.7245,,,,,8.0656,,,,,2.9430,,,,,0.7238,,,,
