date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,1791501009685.8398,0.6554,,,,,7.3037,,,,,2.6650,,,,,0.0407,0.6561,,,,,7.3152,,,,
2026-07-02,1797945257922.12,0.6578,,,,,7.3299,,,,,2.6746,,,,,0.0406,0.6584,,,,,7.3415,,,,
2026-07-01,1820500126749.1,0.6660,,,,,7.4219,,,,,2.7082,,,,,0.0401,0.6667,,,,,7.4336,,,,
2026-06-30,1843054995576.08,0.6743,,,,,7.5138,,,,,2.7417,,,,,0.0396,0.6749,,,,,7.5257,,,,
2026-06-29,1868831988521.2,0.6837,,,,,7.6189,,,,,2.7801,,,,,0.0390,0.6844,,,,,7.6310,,,,
2026-06-26,1855943492048.64,0.6790,,,,,7.5664,,,,,2.7609,,,,,0.0393,0.6797,,,,,7.5784,,,,
2026-06-25,1865609864403.06,0.6825,,,,,7.6058,,,,,2.7753,,,,,0.0391,0.6832,,,,,7.6178,,,,
2026-06-24,1939718719120.28,0.7096,,,,,7.9079,,,,,2.8855,,,,,0.0376,0.7103,,,,,7.9205,,,,
2026-06-23,1978384208537.96,0.7238,,,,,8.0656,,,,,2.9430,,,,,0.0369,0.7245,,,,,8.0783,,,,
2026-06-22,1913941726175.16,0.7002,,,,,7.8028,,,,,2.8472,,,,,0.0381,0.7009,,,,,7.8152,,,,
2026-06-18,1862387740284.92,0.6813,,,,,7.5927,,,,,2.7705,,,,,0.0392,0.6820,,,,,7.6047,,,,
2026-06-17,1913941726175.16,0.7002,,,,,7.8028,,,,,2.8472,,,,,0.0381,0.7009,,,,,7.8152,,,,
2026-06-16,1946162967356.56,0.7120,,,,,7.9342,,,,,2.8951,,,,,0.0375,0.7127,,,,,7.9468,,,,
2026-06-15,1975162084419.82,0.7226,,,,,8.0524,,,,,2.9382,,,,,0.0369,0.7233,,,,,8.0652,,,,
2026-06-12,2026716070310.06,0.7415,,,,,8.2626,,,,,3.0149,,,,,0.0360,0.7422,,,,,8.2757,,,,
2026-06-11,1997716953246.8,0.7309,,,,,8.1444,,,,,2.9718,,,,,0.0365,0.7316,,,,,8.1573,,,,
2026-06-10,2004161201483.08,0.7332,,,,,8.1706,,,,,2.9814,,,,,0.0364,0.7339,,,,,8.1836,,,,
2026-06-09,1975162084419.82,0.7226,,,,,8.0524,,,,,2.9382,,,,,0.0369,0.7233,,,,,8.0652,,,,
2026-06-08,1978384208537.96,0.7238,,,,,8.0656,,,,,2.9430,,,,,0.0369,0.7245,,,,,8.0783,,,,
2026-06-05,1949385091474.7,0.7132,,,,,7.9473,,,,,2.8999,,,,,0.0374,0.7139,,,,,7.9599,,,,
2026-06-04,1901053229702.6,0.6955,,,,,7.7503,,,,,2.8280,,,,,0.0384,0.6962,,,,,7.7626,,,,
2026-06-03,1917163850293.3,0.7014,,,,,7.8160,,,,,2.8520,,,,,0.0380,0.7021,,,,,7.8284,,,,
2026-06-02,1923608098529.58,0.7037,,,,,7.8422,,,,,2.8615,,,,,0.0379,0.7044,,,,,7.8547,,,,
2026-06-01,1910719602057.02,0.6990,,,,,7.7897,,,,,2.8424,,,,,0.0382,0.6997,,,,,7.8020,,,,
2026-05-29,1888164733230.04,0.6908,,,,,7.6977,,,,,2.8088,,,,,0.0386,0.6915,,,,,7.7099,,,,
2026-05-28,1872054112639.34,0.6849,,,,,7.6321,,,,,2.7849,,,,,0.0390,0.6856,,,,,7.6442,,,,
2026-05-27,1884942609111.9,0.6896,,,,,7.6846,,,,,2.8040,,,,,0.0387,0.6903,,,,,7.6968,,,,
