date,metric,value
2026-03-31,经营活动产生的现金流量净额,196208000000
2026-03-31,基本每股收益,0.18
2026-03-31,经营活动产生的现金流量净额对净利润的比率,4.0296
2026-03-31,净资产收益率(ROE),0.0837
2026-03-31,净利润率,0.3871
2026-03-31,总资产收益率(ROA),0.0069
2026-03-31,归属于母公司普通股股东的净利润,56631000000
2026-03-31,资产负债率,0.918
2026-03-31,自由现金流量,1003159000000
2026-03-31,营业收入,178846000000
