date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2025-12-31,58394766023,0.7212,61522204989,-0.3346
2025-09-30,82152627800,0.9253,38196802155,-0.1401
2025-06-30,64217891701,0.7404,13119061031,-0.6418
2025-03-31,87302397774,0.9985,8809195646,-0.0412
2024-12-31,87785695822,1.035,92463692168,0.3885
2024-09-30,57487186292,0.7117,44421386217,-0.1116
2024-06-30,70106313882,0.8736,36621833813,0.2052
2024-03-31,68050790926,0.8721,9187422415,0.7517
2023-12-31,63998440185,0.859,66593247721,0.8146
2023-09-30,72683972797,1.0461,50002007019,4.3163
2023-06-30,62072306029,0.9371,30387178195,2722.9042
2023-03-31,43830583940,0.7081,5244796294,1.7628
2022-12-31,31392404562,0.5614,36698595830,-0.4268
2022-09-30,32888268126,0.5873,9405337009,-0.7441
2022-06-30,39059675406,0.6978,-11163941,-1.0005
2022-03-31,55418992735,0.9955,-6876059094,-3.6307
2021-12-31,60622355089,1.1491,64028676147,0.2392
2021-09-30,60584812713,1.189,36752297356,0.4636
2021-06-30,57788919807,1.1731,21719470733,0.7209
2021-03-31,44795377443,0.9494,-1484892859,-1.6447
2020-12-31,49579795099,1.0433,51669068693,0.1429
2020-09-30,40270273417,0.9071,25111002820,-0.0807
2020-06-30,30756354398,0.7226,12620963440,-0.476
2020-03-31,43370705329,1.0089,2303109388,0.9367
2019-12-31,42061786052,1.0282,45210612633,0.0924
2019-09-30,37861038783,0.9269,27315401962,-0.0321
2019-06-30,45722221215,1.1338,24086920146,0.3582
2019-03-31,35997350036,0.9267,1189210085,-0.759
2018-12-31,39778484181,1.094,41385234407,0.8682
2018-09-30,26203054137,0.8063,28221285916,0.2385
2018-06-30,31592065377,0.9725,17735030962,1.5572
2018-03-31,19587291361,0.6641,4935500707,-0.1921
2017-12-31,21028035342,0.7637,22153036084,-0.4085
2017-09-30,26701814262,1.0671,22786767198,-0.2996
2017-06-30,29779094628,1.4945,6935360410,-0.4902
2017-03-31,35164694340,1.8753,6108975097,-0.1785
2016-12-31,36432163595,2.0887,37451249647,1.1479
2016-09-30,37531196689,2.183,32535332632,1.8481
2016-06-30,24865291735,1.4964,13603962284,1.7754
