date,资产负债率,速动比率,流动比率,有息负债率
2025-12-31,0.1642,3.8517,5.09,0.0601
2025-09-30,0.1281,5.1777,6.6193,0.0484
2025-06-30,0.1475,4.4461,5.7297,0.0715
2025-03-31,0.1414,4.8248,6.0749,0.0493
2024-12-31,0.1904,3.492,4.4541,0.0787
2024-09-30,0.1363,4.9105,6.1569,0.0445
2024-06-30,0.1832,3.6307,4.5714,0.0855
2024-03-31,0.1295,5.2007,6.481,0.0305
2023-12-31,0.1798,3.6696,4.6239,0.0453
2023-09-30,0.1414,4.8378,5.9588,0.0378
2023-06-30,0.1339,5.0715,6.3536,0.0401
2023-03-31,0.1236,5.6653,6.9427,0.0321
2022-12-31,0.1942,3.6052,4.4147,0.0524
2022-09-30,0.1385,5.1433,6.1942,0.0356
2022-06-30,0.1726,4.0928,4.948,0.0713
2022-03-31,0.1448,5.0339,5.9767,0.049
2021-12-31,0.2281,3.2286,3.8119,0.0869
2021-09-30,0.1953,3.7096,4.4324,0.0994
2021-06-30,0.2128,3.3484,4.0522,0.1135
2021-03-31,0.1521,4.8014,5.7487,0.0729
2020-12-31,0.214,3.413,4.0648,0.0667
2020-09-30,0.1647,4.2555,5.1796,0.0565
2020-06-30,0.1724,3.9725,4.8922,0.0561
2020-03-31,0.1425,5.0837,6.1169,0.0443
2019-12-31,0.2249,3.2168,3.8698,0.0604
2019-09-30,0.1952,3.6028,4.4177,0.0658
2019-06-30,0.2756,2.5775,3.1372,0.1427
2019-03-31,0.1912,3.6873,4.5107,0.0705
2018-12-31,0.2655,2.6668,3.2485,0.0718
2018-09-30,0.2786,2.4856,3.0465,0.127
2018-06-30,0.2572,2.5403,3.2262,0.1
2018-03-31,0.2177,3.0437,3.8229,0.0644
2017-12-31,0.2867,2.3176,2.9099,0.0777
2017-09-30,0.3083,2.1108,2.6611,0.0931
2017-06-30,0.3432,1.8294,2.3581,0.073
2017-03-31,0.307,2.0342,2.6264,0.0886
2016-12-31,0.3279,1.8507,2.436,0.0954
2016-09-30,0.3221,1.8731,2.4671,0.1187
2016-06-30,0.2951,1.9245,2.6245,0.0804
