date,速动比率,所有者权益合计,长期负债合计,流动资产合计,有息负债率,资产合计,资产负债率,负债合计,流动比率,流动负债合计
2026-03-31,0.4674,995014000000,187550000000,0,0.2723,2255913000000,0.5589,1260899000000,0.8154,128553000000
2025-12-31,0.4107,989772000000,182968000000,0,0.2497,2155617000000,0.5408,1165845000000,0.7483,126395000000
2025-09-30,0.4528,988361000000,167261000000,0,0.2483,2181557000000,0.5469,1193196000000,0.7894,134385000000
2025-06-30,0.4389,984432000000,165157000000,0,0.2437,2144939000000,0.541,1160507000000,0.8141,121862000000
2025-03-31,0.4584,990493000000,190570000000,0,0.2525,2123049000000,0.5335,1132556000000,0.8514,124923000000
2024-12-31,0.3884,976293000000,184934000000,0,0.231,2084771000000,0.5317,1108478000000,0.7791,127697000000
2024-09-30,0.4547,976417000000,176517000000,0,0.2259,2097633000000,0.5345,1121216000000,0.8559,137618000000
2024-06-30,0.44,986345000000,160693000000,0,0.2183,2141936000000,0.5395,1155591000000,0.8465,124512000000
2024-03-31,0.4654,991640000000,162714000000,0,0.2259,2094106000000,0.5265,1102466000000,0.8725,130048000000
2023-12-31,0.4304,958655000000,179347000000,0,0.2194,2026674000000,0.527,1068019000000,0.8259,127239000000
2023-09-30,0.4959,953686000000,187684000000,0,0.2359,2084435000000,0.5425,1130749000000,0.8987,138182000000
2023-06-30,0.423,949481000000,160017000000,0,0.2329,2026902000000,0.5316,1077421000000,0.8585,124359000000
2023-03-31,0.477,960213000000,129943000000,0,0.2282,2011153000000,0.5226,1050940000000,0.8716,123326000000
2022-12-31,0.406,937153000000,94964000000,0,0.1877,1948640000000,0.5191,1011487000000,0.7839,125444000000
2022-09-30,0.4873,925537000000,81873000000,0,0.1825,2050519000000,0.5486,1124982000000,0.863,145290000000
2022-06-30,0.5146,931672000000,77556000000,0,0.1874,2059814000000,0.5477,1128142000000,0.8901,124411000000
2022-03-31,0.5151,935808000000,64197000000,0,0.1911,2014107000000,0.5354,1078299000000,0.9313,123705000000
2021-12-31,0.5323,916041000000,49341000000,0,0.1702,1889255000000,0.5151,973214000000,0.8702,124622000000
2021-09-30,0.5844,911016000000,49167000000,0,0.179,1887282000000,0.5173,976266000000,0.9166,137168000000
2021-06-30,0.5543,907301000000,43149000000,0,0.1729,1852964000000,0.5104,945663000000,0.8869,127920000000
2021-03-31,0.5842,910732000000,45296000000,0,0.1867,1802144000000,0.4946,891412000000,0.929,128886000000
2020-12-31,0.5719,883876000000,45459000000,0,0.1754,1733805000000,0.4902,849929000000,0.8721,126160000000
2020-09-30,0.6157,869560000000,43015000000,0,0.2048,1799388000000,0.5167,929828000000,0.9158,136947000000
2020-06-30,0.512,831228000000,74795000000,0,0.2344,1821639000000,0.5437,990411000000,0.8081,132906000000
2020-03-31,0.4778,847666000000,52870000000,0,0.2464,1807539000000,0.531,959873000000,0.7759,137563000000
2019-12-31,0.4309,876905000000,39625000000,0,0.1937,1755071000000,0.5004,878166000000,0.7736,126735000000
2019-09-30,0.5245,872889000000,71119000000,0,0.2116,1826336000000,0.5221,953447000000,0.8949,135888000000
2019-06-30,0.5168,868312000000,67359000000,0,0.2156,1824845000000,0.5242,956533000000,0.8999,130002000000
2019-03-31,0.5404,882094000000,63763000000,0,0.2147,1813445000000,0.5136,931351000000,0.9366,129199000000
2018-12-31,0.5549,857659000000,61576000000,0,0.1063,1592308000000,0.4614,734649000000,0.8921,124793000000
2018-09-30,0.6253,862725000000,70972000000,0,0.1186,1662760000000,0.4811,800035000000,0.9861,138257000000
2018-06-30,0.5854,857311000000,79274000000,0,0.1172,1617304000000,0.4699,759993000000,0.9859,123567000000
2018-03-31,0.6119,877316000000,71724000000,0,0.119,1572527000000,0.4421,695211000000,0.9839,0
2017-12-31,0.5824,854070000000,67754000000,0,0.1131,1595504000000,0.4647,741434000000,0.913,0
2017-09-30,0.5991,845425000000,68934000000,0,0.1252,1476655000000,0.4275,631230000000,0.968,0
2017-06-30,0.5686,845826000000,68045000000,0,0.1233,1487538000000,0.4314,641712000000,0.9389,0
2017-03-31,0.5633,853607000000,67858000000,0,0.128,1478917000000,0.4228,625310000000,0.938,0
2016-12-31,0.519,832525000000,62461000000,0,0.1246,1498609000000,0.4445,666084000000,0.8491,0
2016-09-30,0.471,813502000000,66561000000,0,0.1404,1413148000000,0.4243,599646000000,0.8309,0
2016-06-30,0.4365,809983000000,54404000000,0,0.1506,1432624000000,0.4346,622641000000,0.7806,0
