date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,17006000000,0.2821,0.141,706695000000
2025-12-31,31809000000,-0.3678,0.262,2783583000000
2025-09-30,29984000000,-0.3223,0.247,2113441000000
2025-06-30,21483000000,-0.3983,0.177,1409052000000
2025-03-31,13264000000,-0.2758,0.109,735356000000
2024-12-31,50313000000,-0.1679,0.415,3074562000000
2024-09-30,44247000000,-0.1646,0.366,2366541000000
2024-06-30,35703000000,0.0169,0.296,1576131000000
2024-03-31,18316000000,-0.0888,0.153,789967000000
2023-12-31,60463000000,-0.0987,0.505,3212215000000
2023-09-30,52966000000,-0.0747,0.442,2469941000000
2023-06-30,35111000000,-0.2006,0.293,1593682000000
2023-03-31,20102000000,-0.1183,0.168,791331000000
2022-12-31,66302000000,-0.0689,0.548,3318168000000
2022-09-30,56660000000,-0.0561,0.468,2453322000000
2022-06-30,43530000000,0.1041,0.36,1612126000000
2022-03-31,22605000000,0.2448,0.187,771386000000
2021-12-31,71208000000,1.1402,0.588,2740884000000
2021-09-30,59892000000,1.5495,0.495,2003350000000
2021-06-30,39153000000,2.7022,0.323,1261603000000
2021-03-31,17929000000,1.9025,0.148,576982000000
2020-12-31,32924000000,-0.4286,0.272,2105984000000
2020-09-30,23507000000,-0.4569,0.194,1554617000000
2020-06-30,-22882000000,-1.7302,-0.189,1034246000000
2020-03-31,-19782000000,-2.34,-0.163,555502000000
2019-12-31,57591000000,-0.0871,0.476,2966193000000
2019-09-30,43281000000,-0.2784,0.357,2233305000000
2019-06-30,31338000000,-0.2467,0.259,1498996000000
2019-03-31,14763000000,-0.2135,0.122,717579000000
2018-12-31,63089000000,0.2342,0.521,2891179000000
2018-09-30,59980000000,0.5631,0.495,2072970000000
2018-06-30,41600000000,0.5355,0.344,1300252000000
2018-03-31,18770000000,0.1285,0.155,621251000000
2017-12-31,51119000000,0.1013,0.422,2360193000000
2017-09-30,38373000000,0.3157,0.317,1744955000000
2017-06-30,27092000000,0.4074,0.224,1165837000000
2017-03-31,16633000000,1.6871,0.137,582185000000
2016-12-31,46416000000,0.4379,0.383,1930911000000
2016-09-30,29166000000,0.1264,0.241,1363945000000
2016-06-30,19250000000,-0.2129,0.159,879220000000
