date,净利润率,总资产收益率(ROA),毛利率(GM),资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.0146,0.0184,0.1697,0.0378,0.0407
2025-12-31,0.0127,0.0166,0.1589,0.036,0.0359
2025-09-30,0.0145,0.0191,0.1586,0.0401,0.0415
2025-06-30,0.0138,0.0187,0.1525,0.0398,0.0408
2025-03-31,0.0168,0.024,0.1537,0.0467,0.0511
2024-12-31,0.0187,0.028,0.1547,0.0539,0.0595
2024-09-30,0.019,0.0283,0.1538,0.0545,0.0612
2024-06-30,0.0221,0.0338,0.1593,0.0633,0.0728
2024-03-31,0.0213,0.0334,0.1569,0.0607,0.0702
2023-12-31,0.0218,0.0352,0.1565,0.0667,0.0739
2023-09-30,0.0224,0.0361,0.1488,0.0692,0.0794
2023-06-30,0.0202,0.0327,0.1393,0.0632,0.0709
2023-03-31,0.0216,0.0358,0.1425,0.0678,0.0761
2022-12-31,0.0228,0.0395,0.1503,0.0753,0.0818
2022-09-30,0.0236,0.0382,0.1604,0.0741,0.0818
2022-06-30,0.0278,0.044,0.176,0.0828,0.0936
2022-03-31,0.0302,0.0464,0.1857,0.0864,0.096
2021-12-31,0.031,0.0469,0.1913,0.0859,0.0945
2021-09-30,0.0327,0.0453,0.2077,0.0802,0.0938
2021-06-30,0.0482,0.0612,0.2233,0.1027,0.1294
2021-03-31,0.0403,0.0475,0.2299,0.0726,0.0975
2020-12-31,0.0198,0.0239,0.1983,0.0375,0.0474
2020-09-30,0.0213,0.0268,0.1798,0.042,0.0559
2020-06-30,0.0044,0.006,0.1597,0.0094,0.0129
2020-03-31,0.0116,0.018,0.1471,0.0274,0.0377
2019-12-31,0.0243,0.0431,0.1609,0.0643,0.0832
2019-09-30,0.0193,0.0338,0.1527,0.0509,0.068
2019-06-30,0.0213,0.0383,0.1542,0.0571,0.0765
2019-03-31,0.0248,0.0439,0.1645,,0.0844
2018-12-31,0.0278,0.0504,0.1695,0.0779,0.0938
2018-09-30,0.0351,0.06,0.1885,,0.1103
2018-06-30,0.0351,0.0563,0.1989,,0.1027
2018-03-31,0.0305,0.0479,0.1975,,0.0845
2017-12-31,0.0298,0.0454,0.199,,0.0834
2017-09-30,0.0307,0.0491,0.1974,,0.0855
2017-06-30,0.0311,0.0472,0.202,,0.0832
2017-03-31,0.0342,0.0499,0.2163,,0.0871
2016-12-31,0.0306,0.0402,0.2272,,0.0731
2016-09-30,0.0265,0.0347,0.2319,,0.0611
2016-06-30,0.0211,0.027,0.2258,,0.049
